"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL104468"	""	"None"	"281.31"	"0"	"2.78"	"3"	"O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL832925"	"Inhibition of ATM kinase using rabbit polyclonal antisera; No inhibition observed at 100 uM"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141182"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL435507"	""	"None"	"295.34"	"0"	"3.17"	"48"	"CC1CN(c2cc(=O)c3ccc4ccccc4c3o2)CCO1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL832925"	"Inhibition of ATM kinase using rabbit polyclonal antisera; No inhibition observed at 100 uM"	"B"	"BAO_0000357"	"single protein format"	"Oryctolagus cuniculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141182"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL4217902"	""	"None"	"474.57"	"0"	"3.03"	"13"	"C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)c1ccn(C)n1"	"IC50"	"'='"	"3.9"	"nM"	"8.41"	""	""	"UO_0000065"	"17.72"	"0.33"	"5.38"	"6.78"	"0"	"CHEMBL4200456"	"Inhibition of ATM autophosphorylation at Ser1981 residue in human HT-29 cells measured after 1 hr by Hoechst staining based fluorescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HT-29"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4196159"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4218854"	""	"None"	"492.62"	"0"	"3.61"	"21"	"CNC(=O)c1nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc2c1N[C@@H](C)C1CCOCC1"	"IC50"	"'='"	"0.7"	"nM"	"9.15"	""	""	"UO_0000065"	"18.58"	"0.35"	"5.54"	"9.02"	"0"	"CHEMBL4200469"	"Inhibition of ATM (unknown origin) using p53 as substrate pretreated for 30 mins followed by substrate addition and measured after 2 hrs by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4196159"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL225273"	""	"None"	"329.35"	"0"	"2.21"	"126C"	"CC(=O)OCc1cccc(-c2cc(=O)cc(N3CCOCC3)o2)c1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
"CHEMBL426894"	""	"None"	"333.39"	"0"	"3.81"	"119C"	"O=c1cc(-c2ccc(-c3ccccc3)cc2)oc(N2CCOCC2)c1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
"CHEMBL389267"	""	"None"	"321.38"	"0"	"3.61"	"147C"	"Cc1ccc(-c2cc(=O)cc(N3CCOCC3)o2)c2ccccc12"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
"CHEMBL222745"	""	"None"	"296.33"	"0"	"2.62"	"141C"	"O=c1cc(-c2ccc3[nH]ccc3c2)oc(N2CCOCC2)c1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
"CHEMBL222577"	""	"None"	"305.36"	"0"	"2.41"	"140C"	"CC(=O)c1ccc(-c2cc(=O)cc(N3CCOCC3)o2)s1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
"CHEMBL221459"	""	"None"	"363.41"	"0"	"3.72"	"100C"	"O=c1cc(-c2ccccc2OCc2ccccc2)oc(N2CCOCC2)c1"	"IC50"	"'='"	"28500.0"	"nM"	"4.54"	""	""	"UO_0000065"	"12.51"	"0.23"	"0.83"	"8.76"	"0"	"CHEMBL916757"	"Inhibition of ATM kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3797"	"Serine-protein kinase ATM"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143005"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
