"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4444920"	""	"None"	"526.49"	"1"	"4.89"	"138"	"COC(=O)NC(c1cccc(N)c1)P(=O)(Oc1ccc(NC(C)=O)cc1)Oc1ccc(NC(C)=O)cc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4440311"	""	"None"	"593.50"	"2"	"6.20"	"130"	"COC(=O)NC(Cc1ccc(C(F)(F)F)cc1)P(=O)(Oc1ccc(NC(C)=O)cc1)Oc1ccc(NC(C)=O)cc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4449224"	""	"None"	"644.54"	"2"	"6.27"	"124"	"N=C(N)Nc1cccc(C(NC(=O)OCc2ccccc2)P(=O)(Oc2ccccc2)Oc2ccccc2)c1.O=C(O)C(F)(F)F"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4469016"	""	"None"	"453.48"	"1"	"6.64"	"82"	"CC(C)CC(NC(=O)OCc1ccccc1)P(=O)(Oc1ccccc1)Oc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4518610"	""	"None"	"505.48"	"2"	"6.97"	"15"	"O=C(NC(Cc1ccc(F)cc1)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4460911"	""	"None"	"296.33"	"0"	"2.75"	"29"	"N#C[C@H](Cc1ccc(O)cc1)NC(=O)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4544287"	""	"None"	"609.64"	"2"	"6.40"	"127"	"CN(C)c1ccc(C(NC(=O)OCc2ccccc2)P(=O)(Oc2ccccc2)Oc2ccccc2)cc1NS(C)(=O)=O"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4436418"	""	"None"	"568.52"	"2"	"8.02"	"118"	"O=C(NC(c1cccc2c([N+](=O)[O-])cccc12)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4451610"	""	"None"	"480.50"	"1"	"5.59"	"109"	"O=C(NC(C1CCNCC1)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4521529"	""	"None"	"566.59"	"2"	"8.18"	"97"	"CN(C)c1ccc(C(NC(=O)OCc2ccccc2)P(=O)(Oc2ccccc2)Oc2ccccc2)c2ccccc12"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4581574"	""	"None"	"501.52"	"2"	"7.22"	"93"	"O=C(NC(CCc1ccccc1)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4445302"	""	"None"	"517.52"	"2"	"6.81"	"84"	"O=C(NC(COCc1ccccc1)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4448811"	""	"None"	"492.42"	"1"	"6.45"	"72"	"COC(=O)NC(c1cccc2c([N+](=O)[O-])cccc12)P(=O)(Oc1ccccc1)Oc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4472140"	""	"None"	"546.52"	"2"	"7.13"	"70"	"O=C(NC(CCc1ccc([N+](=O)[O-])cc1)P(=O)(Oc1ccccc1)Oc1ccccc1)OCc1ccccc1"	"IC50"	"'='"	"13100.0"	"nM"	"4.88"	""	""	"UO_0000065"	"8.93"	"0.17"	"-2.25"	"4.17"	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4544896"	""	"None"	"518.51"	"2"	"6.42"	"59"	"Nc1ccc(C(NC(=O)OCCOc2ccccc2)P(=O)(Oc2ccccc2)Oc2ccccc2)cc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4532734"	""	"None"	"560.55"	"1"	"4.17"	"49"	"N=C(N)N1CCC(C(NC(=O)C#Cc2ccc3c(c2)OCO3)P(=O)(Oc2ccccc2)Oc2ccccc2)CC1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4513936"	""	"None"	"441.42"	"1"	"5.11"	"25"	"COP(=O)(Oc1ccccc1)C(Cc1ccc(O)cc1)NC(=O)OCc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4373201"	"Inhibition of Escherichia coli C-terminal His6-tagged ClpP expressed Escherichia coli SG1146a using Suc-LY-AMC as substrate preincubated for 10 mins followed by substrate addition and measured over 1 hr by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3341578"	"ATP-dependent Clp protease proteolytic subunit"	"Escherichia coli (strain K12)"	"SINGLE PROTEIN"	"CHEMBL4371075"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
