"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL2367874"	""	"None"	"578.78"	"1"	"3.87"	"5"	"CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)O[C@@H]1[C@H](O)[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)OC"	"IC50"	"'='"	"5000.0"	"nM"	"5.30"	""	""	"UO_0000065"	"9.16"	"0.18"	"1.43"	"3.42"	"0"	"CHEMBL766867"	"Inhibition of Akt (proto-oncogenic serine/threonine PKB) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133107"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL228133"	""	"None"	"389.89"	"0"	"4.34"	"20"	"Clc1ccc(C2(c3ccc(-c4ncnc5[nH]cnc45)cc3)CCNCC2)cc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL919352"	"Inhibition of GSK3-beta phosphorylation in HCT116 cells by ELISA"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HCT-116"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1139878"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"CHEMBL3308372"	""	""	""
"CHEMBL2367876"	""	"None"	"548.76"	"1"	"4.65"	"4"	"CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)C[C@H]1O)OC"	"IC50"	"'='"	"12500.0"	"nM"	"4.90"	""	""	"UO_0000065"	"8.93"	"0.18"	"0.25"	"3.63"	"0"	"CHEMBL766867"	"Inhibition of Akt (proto-oncogenic serine/threonine PKB) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133107"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL2368945"	""	"None"	"650.79"	"3"	"4.27"	"4"	"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@@H]1[C@H](O)[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)n1ccnc1"	"IC50"	"'='"	"20500.0"	"nM"	"4.69"	""	""	"UO_0000065"	"7.20"	"0.15"	"0.42"	"2.55"	"0"	"CHEMBL643087"	"Inhibition of Akt (proto-oncogenic serine/threonine) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133999"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL3941307"	""	"None"	"445.42"	"0"	"3.87"	"14"	"Cn1cc(-c2ccc(F)c(C(F)(F)F)c2)nc1C1CCN(c2ncnc(N)c2C#N)CC1"	"IC50"	"'='"	"260.0"	"nM"	"6.58"	""	""	"UO_0000065"	"14.78"	"0.28"	"2.72"	"6.81"	"0"	"CHEMBL4825321"	"Inhibition of Akt (unknown origin)"	"B"	"BAO_0000224"	"protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4823315"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2021"	"None"	""	"INHIBITOR"	""
"CHEMBL2368947"	""	"None"	"614.75"	"2"	"3.85"	"3"	"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@@H]1[C@H](O)[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)OC"	"IC50"	"'='"	"9100.0"	"nM"	"5.04"	""	""	"UO_0000065"	"8.20"	"0.17"	"1.19"	"2.87"	"0"	"CHEMBL766867"	"Inhibition of Akt (proto-oncogenic serine/threonine PKB) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133107"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL2368953"	""	"None"	"578.78"	"1"	"3.87"	"6"	"CCCCCCCCCCCCCCCCCCOC[C@H](COC(=O)O[C@@H]1[C@H](O)[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)OC"	"IC50"	"'='"	"5000.0"	"nM"	"5.30"	""	""	"UO_0000065"	"9.16"	"0.18"	"1.43"	"3.42"	"0"	"CHEMBL643087"	"Inhibition of Akt (proto-oncogenic serine/threonine) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133999"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL318804"	""	"None"	"565.10"	"2"	"5.50"	"10a"	"COc1cc2c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c(C#N)cnc2cc1OCCCN1CCOCC1"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL709030"	"Inhibition of Akt phosphorylation in LoVo cells"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"LoVo"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1146624"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"CHEMBL3307691"	""	""	""
"CHEMBL2368948"	""	"None"	"584.73"	"1"	"4.63"	"1"	"CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)(O)O[C@H]1[C@@H](O)[C@@H](O)[C@H](O)C[C@H]1O)OC"	"IC50"	"'='"	"1500.0"	"nM"	"5.82"	""	""	"UO_0000065"	"9.96"	"0.20"	"1.19"	"3.75"	"0"	"CHEMBL766867"	"Inhibition of Akt (proto-oncogenic serine/threonine PKB) kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133107"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL228133"	""	"None"	"389.89"	"0"	"4.34"	"20"	"Clc1ccc(C2(c3ccc(-c4ncnc5[nH]cnc45)cc3)CCNCC2)cc1"	"IC50"	"'='"	"6000.0"	"nM"	"5.22"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL919351"	"Inhibition of GSK3-beta phosphorylation in PC3M cells after 1 hr by ELISA"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"PC3M"	"None"	""	""	""	"CHEMBL2111353"	"Serine/threonine-protein kinase AKT"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1139878"	"1"	"Scientific Literature"	"J Med Chem"	"2007"	"None"	""	""	""
