"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3668385"	""	"None"	"402.47"	"0"	"4.76"	"BDBM167626"	"COc1ccc(F)cc1-c1ccnc2[nH]c(C3CCN(Cc4cccnc4)C3)cc12"	"IC50"	"'='"	"14.0"	"nM"	"7.85"	""	"311408"	"UO_0000065"	"19.51"	"0.36"	"3.09"	"14.53"	"0"	"CHEMBL3706310"	"LANCE ULight TR-FRET Kinase Assay: CDK9 enzyme activities were measured using LANCE ULight TR-FRET kinase assay reagents (PerkinElmer, Waltham, Mass.). Compounds were directly added in 100% DMSO to white low volume assay plates (Perkin Elmer Proxiplate 6008289) using a Labcyte Echo acoustic dispenser. Assay reagents in serine/threonine kinase assay buffer containing 20 mM HEPES, 10 mM MgCl2, 100 mM Na3VO4, and 0.0075% Triton X-100. were added for final reaction mixture concentrations of 1000 uM ATP, 100 nM U-light MBP peptide (Perkin Elmer TRF0109M) and reaction initiated with 4 nM CDK9/Cyclin T1 (Carna Biosciences 04-110). The kinase reaction was carried out for 30 minutes before addition of stopping buffer to a final of 20 mM EDTA and 0.5 nM of LANCE Ultra Europium anti-phospho-MBP antibody (PerkinElmer TRF0201M) in LANCE detection buffer (PerkinElmer CR97-100). The reaction was equilibrated for 1 hour and the signal read in the Perkin Elmer Envision in TR-FRET mode."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639207"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL4649135"	""	"None"	"456.50"	"0"	"3.35"	"58"	"CCn1cnc2c(NCc3nc4ccc(F)c(F)c4[nH]3)nc(N3CCCC[C@H]3CCO)nc21"	"IC50"	"'='"	"1090.0"	"nM"	"5.96"	""	""	"UO_0000065"	"13.06"	"0.25"	"2.61"	"5.53"	"0"	"CHEMBL4613415"	"Inhibition of CDK9 (unknown origin) in presence of high ATP"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4613207"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4455718"	""	"None"	"394.48"	"0"	"2.61"	"4"	"COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1"	"IC50"	"'='"	"370.0"	"nM"	"6.43"	""	""	"UO_0000065"	"16.30"	"0.30"	"3.82"	"6.81"	"0"	"CHEMBL4323546"	"Inhibition of CDK9 (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4321825"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4062803"	""	"None"	"320.36"	"0"	"3.73"	"19"	"Cc1n[nH]c2cc(Nc3nc(NC4CC4)c4occc4n3)ccc12"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4007695"	"Inhibition of CDK9 (unknown origin) after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4007384"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2016"	"None"	""	""	""
"CHEMBL189963"	"PALBOCICLIB"	"4.0"	"447.54"	"0"	"2.97"	"SGCV1170, PD0332991"	"CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O"	"IC50"	"'='"	"794.33"	"nM"	"6.10"	""	""	"UO_0000065"	"13.63"	"0.25"	"3.13"	"5.81"	"0"	"CHEMBL2422672"	"Inhibition of CDK9 (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2417410"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL3673434"	""	"None"	"385.44"	"0"	"3.53"	"BDBM164883"	"COc1cc(F)ccc1-c1ccnc(NC(=O)[C@H]2CCC[C@@H](NC(C)=O)C2)c1"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	"308356"	"UO_0000065"	"22.11"	"0.42"	"4.99"	"10.61"	"0"	"CHEMBL3707939"	"In Vitro Kinase Inhibition Assay: In vitro kinase assay analysis may be performed using standard techniques described in the art. These techniques are also used by commercial services providers in order to offer in vitro kinase activity assay services, e.g. the assays offered by Millipore Inc. (worldwide website www(dot)millipore.com), ProQinase GmbH (worldwide website www(dot)proqinase.de) and others. All kinase assays were performed in 96-well FlashPlates from Perkin Elmer/NEN (Boston, Mass., USA) in a 50ul reaction volume. The reaction mixture was pipetted in four steps in the following order: 20ul of assay buffer (standard buffer),5ul of ATP solution (in H2O, 5 ul of test compound (in 10% DMSO), 10ul of substrate/10ul of enzyme solution (premixed)The assay for all enzymes contained 60 mM HEPES-NaOH (pH 7.5), 3 mM MgCl2, 3 mM MnCl2, 3uM Na-Orthovanadate, 1.2 mM DTT, 50 ug/ml PEG2000, 1 uM [33P]-ATP (approx. 5x1005 cpm per well)."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638701"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3960677"	""	"None"	"434.47"	"0"	"4.36"	"BDBM180828"	"COc1cc(CS(C)(=N)=O)cc(Nc2ncc(F)c(-c3ccc(F)cc3OC)n2)c1"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	"327496"	"UO_0000065"	"19.62"	"0.39"	"4.16"	"8.77"	"0"	"CHEMBL3887262"	"CDK9/CycT1 Kinase Assay: Recombinant full-length His-tagged human CDK9 and CycT1, expressed in insect cells and purified by Ni-NTA affinity chromatography, were purchased from Invitrogen (Cat. No PV4131). As substrate for the kinase reaction biotinylated peptide biotin-Ttds-YISPLKSPYKISEG (C-terminus in amid form) was used which can be purchased e.g. form the company JERINI Peptide Technologies (Berlin, Germany) For the assay 50 nl of a 100 fold concentrated solution of the test compound in DMSO was pipetted into a black low volume 384 well microtiter plate (Greiner Bio-One, Frickenhausen, Germany), 2 ul of a solution of CDK9/CycT1 in aqueous assay buffer [50 mM Tris/HCl pH 8.0, 10 mM MgCl2, 1.0 mM dithiothreitol, 0.1 mM sodium ortho-vanadate, 0.01% (v/v) Nonidet-P40 (Sigma)] were added and the mixture was incubated for 15 min at 22 C. to allow pre-binding of the test compounds to the enzyme before the start of the kinase reaction."	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886246"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3589663"	""	"None"	"292.29"	"0"	"3.58"	"5k"	"COc1cccc2c1[nH]c1c3ccccc3nc(C(=O)O)c21"	"IC50"	"'='"	"120.0"	"nM"	"6.92"	""	""	"UO_0000065"	"23.68"	"0.43"	"3.34"	"9.20"	"0"	"CHEMBL3591180"	"Inhibition of human recombinant CDK9 expressed in insect cells using CDK7/9 tide as substrate after 30 mins by scintillation counting analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3588821"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""	""
"CHEMBL3589667"	""	"None"	"418.19"	"0"	"4.18"	"5o"	"COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(I)c3[nH]c21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3591180"	"Inhibition of human recombinant CDK9 expressed in insect cells using CDK7/9 tide as substrate after 30 mins by scintillation counting analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3588821"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""	""
"CHEMBL451570"	""	"None"	"275.29"	"0"	"1.24"	"R-89"	"Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1"	"IC50"	"'='"	"96.0"	"nM"	"7.02"	""	""	"UO_0000065"	"25.49"	"0.48"	"5.78"	"7.26"	"0"	"CHEMBL1019786"	"Inhibition of CDK9"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3116"	"Cyclin-dependent kinase 9"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139384"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
