"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL572006"	""	"None"	"506.56"	"1"	"4.68"	"18"	"COc1ccc(/C=C/C(=O)Nc2cc(-c3[nH]c([S+](C)[O-])nc3-c3ccc(F)cc3)ccn2)c(OC)c1"	"IC50"	"'='"	"11.0"	"nM"	"7.96"	""	""	"UO_0000065"	"15.71"	"0.30"	"3.28"	"7.09"	"0"	"CHEMBL1045464"	"Inhibition of GST-fused rat CK1delta by Cherenkov counting in presence of 20 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL1155278"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL220227"	""	"None"	"282.32"	"0"	"4.67"	"1"	"CC(C)c1onc(-c2ccc(F)cc2)c1-c1ccncc1"	"IC50"	"'='"	"230.0"	"nM"	"6.64"	""	""	"UO_0000065"	"23.51"	"0.43"	"1.97"	"17.06"	"0"	"CHEMBL1045464"	"Inhibition of GST-fused rat CK1delta by Cherenkov counting in presence of 20 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL1155278"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL3337848"	""	"None"	"348.27"	"0"	"2.54"	"4"	"COc1cc(C(=O)Nc2nc3cc4c(cc3[nH]2)OC(F)(F)O4)ccn1"	"IC50"	"'='"	"570.0"	"nM"	"6.24"	""	""	"UO_0000065"	"17.93"	"0.34"	"3.70"	"6.35"	"0"	"CHEMBL3386213"	"Inhibition of GST-tagged rat CK1delta expressed in Escherichia coli using GST-p53 (1 to 64 residues) by SDS-PAGE based autoradiography"	"B"	"BAO_0000019"	"assay format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL3352555"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3337846"	""	"None"	"347.28"	"0"	"3.15"	"2"	"COc1cccc(C(=O)Nc2nc3cc4c(cc3[nH]2)OC(F)(F)O4)c1"	"IC50"	"'='"	"34.0"	"nM"	"7.47"	""	""	"UO_0000065"	"21.51"	"0.41"	"4.32"	"8.74"	"0"	"CHEMBL3386826"	"Inhibition of rat CK1delta by radiometric protein kinase filter binding assay"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL3352555"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL585533"	""	"None"	"339.37"	"0"	"4.62"	"10"	"CC(=O)Nc1cc(-c2c(-c3ccc(F)cc3)noc2C(C)C)ccn1"	"IC50"	"'='"	"330.0"	"nM"	"6.48"	""	""	"UO_0000065"	"19.10"	"0.35"	"1.86"	"9.53"	"0"	"CHEMBL1045464"	"Inhibition of GST-fused rat CK1delta by Cherenkov counting in presence of 20 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL1155278"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL571142"	""	"None"	"487.53"	"1"	"6.34"	"15"	"COc1ccc(/C=C/C(=O)Nc2cc(-c3c(-c4ccc(F)cc4)noc3C(C)C)ccn2)c(OC)c1"	"IC50"	"'='"	"47.0"	"nM"	"7.33"	""	""	"UO_0000065"	"15.03"	"0.28"	"0.99"	"8.47"	"0"	"CHEMBL1045464"	"Inhibition of GST-fused rat CK1delta by Cherenkov counting in presence of 20 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL1155278"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL4212803"	""	"None"	"534.61"	"2"	"5.30"	"18"	"O=C(CSc1nc2c(c(=O)n1Cc1ccccc1)SCC2)Nc1nc2ccc(C(F)(F)F)cc2s1"	"IC50"	"'='"	"1060.0"	"nM"	"5.97"	""	""	"UO_0000065"	"11.18"	"0.23"	"0.67"	"7.77"	"0"	"CHEMBL4189208"	"Inhibition of full-length rat GST-tagged CK1delta using alpha-casein as substrate after 30 mins in presence of [gamma-32P]-ATP by Cherenkov counting method"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL4184315"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL3337854"	""	"None"	"515.40"	"2"	"5.44"	"Bischof-5"	"O=C(Nc1nc2ccc(C(F)(F)F)cc2[nH]1)c1csc(NC(=O)c2ccccc2OC(F)(F)F)n1"	"IC50"	"'='"	"40.0"	"nM"	"7.40"	""	""	"UO_0000065"	"14.35"	"0.29"	"1.96"	"6.79"	"1"	"CHEMBL4189244"	"Inhibition of rat recombinant GST-tagged CK1delta using GST-tagged mouse p53 (1 to 64 residues) as substrate in presence of radiolabelled-ATP by Cherenkov counting method"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL4184315"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL2324266"	""	"None"	"520.58"	"2"	"5.24"	"17"	"O=C(CSc1nc2c(c(=O)n1-c1ccccc1)SCC2)Nc1nc2ccc(C(F)(F)F)cc2s1"	"IC50"	"'='"	"400.0"	"nM"	"6.40"	""	""	"UO_0000065"	"12.29"	"0.26"	"1.16"	"8.32"	"0"	"CHEMBL4189207"	"Inhibition of rat recombinant CK1delta kinase domain using alpha-casein as substrate after 30 mins in presence of [gamma-32P]-ATP by Cherenkov counting method"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL4184315"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4213046"	""	"None"	"594.66"	"2"	"5.32"	"20"	"COc1cccc(Cn2c(SCC(=O)Nc3nc4ccc(C(F)(F)F)cc4s3)nc3c(c2=O)SCC3)c1OC"	"IC50"	"'='"	"210.0"	"nM"	"6.68"	""	""	"UO_0000065"	"11.23"	"0.23"	"1.36"	"7.00"	"0"	"CHEMBL4189209"	"Inhibition of rat GST-tagged CK1delta M82F mutant at 10 uM using alpha-casein as substrate after 30 mins in presence of [gamma-32P]-ATP by Cherenkov counting method"	"B"	"BAO_0000357"	"single protein format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	"Q06486"	"M82F"	"CHEMBL4484"	"Casein kinase I delta"	"Rattus norvegicus"	"SINGLE PROTEIN"	"CHEMBL4184315"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
