"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL164858"	""	"None"	"556.35"	"0"	"3.31"	"3"	"Nc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(N)cc4)cc3)cc2)cc1.[Br-].[Br-]"	"IC50"	"'='"	"23000.0"	"nM"	"4.64"	""	""	"UO_0000065"	"11.70"	"0.21"	"1.33"	"7.76"	"0"	"CHEMBL662981"	"Compound was tested ex vivo for inhibition against purified choline kinase obtained from yeast"	"B"	"BAO_0000357"	"single protein format"	"Saccharomyces cerevisiae"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133498"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2000"	"None"	""	""	""
"CHEMBL349401"	""	"None"	"576.34"	"0"	"3.89"	"7"	"N#Cc1cc[n+](Cc2ccc(CCc3ccc(C[n+]4ccc(C#N)cc4)cc3)cc2)cc1.[Br-].[Br-]"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL662981"	"Compound was tested ex vivo for inhibition against purified choline kinase obtained from yeast"	"B"	"BAO_0000357"	"single protein format"	"Saccharomyces cerevisiae"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133498"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2000"	"None"	""	""	""
"CHEMBL193262"	""	"None"	"894.80"	"2"	"9.77"	"48"	"Cc1c(N)ccc2c(N(C)c3ccccc3)cc[n+](Cc3ccc(CCc4ccc(C[n+]5ccc(N(C)c6ccccc6)c6ccc(N)c(C)c65)cc4)cc3)c12.[Br-].[Br-]"	"IC50"	"'='"	"133000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL832433"	"Ex vivo inhibitory concentration against human choline kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144422"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL125434"	""	"None"	"554.33"	"0"	"3.90"	"3"	"[Br-].[Br-].c1cc2ccc1CNc1cc[n+](cc1)Cc1ccc(cc1)C[n+]1ccc(cc1)NC2"	"IC50"	"'='"	"2100.0"	"nM"	"5.68"	""	""	"UO_0000065"	"14.39"	"0.26"	"1.78"	"17.84"	"0"	"CHEMBL662980"	"Ex vivo inhibitory activity against human choline kinase was determined"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145059"	"1"	"Scientific Literature"	"J Med Chem"	"2003"	"None"	""	""	""
"CHEMBL121973"	""	"None"	"554.33"	"0"	"3.90"	"4"	"[Br-].[Br-].c1cc2cc(c1)CNc1cc[n+](cc1)Cc1cccc(c1)C[n+]1ccc(cc1)NC2"	"IC50"	"'='"	"13200.0"	"nM"	"4.88"	""	""	"UO_0000065"	"12.37"	"0.22"	"0.98"	"15.33"	"0"	"CHEMBL662980"	"Ex vivo inhibitory activity against human choline kinase was determined"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1145059"	"1"	"Scientific Literature"	"J Med Chem"	"2003"	"None"	""	""	""
"CHEMBL1909961"	""	"None"	"939.53"	"2"	"9.14"	"3d"	"OCC[n+]1ccc(-c2nc(-c3ccc(-c4ccc(-c5nc(-c6cc[n+](CCO)cc6)c(C(F)(F)C(F)(F)C(F)(F)F)o5)cc4)cc3)oc2C(F)(F)C(F)(F)C(F)(F)F)cc1.[Cl-].[Cl-]"	"IC50"	"'='"	"17300.0"	"nM"	"4.76"	""	""	"UO_0000065"	"5.48"	"0.11"	"-4.38"	"4.75"	"0"	"CHEMBL1912789"	"Inhibition of recombinant human Choline kinase alpha using [methyl-14C]choline chloride as substrate after 30 mins by autoradiography"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909613"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2011"	"None"	""	""	""
"CHEMBL1771556"	""	"None"	"696.53"	"1"	"4.93"	"56"	"COc1cc2c(cc1OC)CN(c1cc[n+](Cc3ccc(C[n+]4ccc(N5CCCCC5)cc4)cc3)cc1)CC2.[Br-].[Br-]"	"IC50"	"'='"	"8430.0"	"nM"	"5.07"	""	""	"UO_0000065"	"9.45"	"0.17"	"0.14"	"15.52"	"0"	"CHEMBL1772322"	"Inhibition of ChoK in HT29 cells using [methyl-14C]choline chloride as substrate after 14 hrs by radiography"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HT-29"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1770085"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"CHEMBL3307768"	""	""	""
"CHEMBL125148"	""	"None"	"554.33"	"0"	"3.90"	"52"	"[Br-].[Br-].c1cc2cc(c1)CNc1cc[n+](cc1)Cc1ccc(cc1)C[n+]1ccc(cc1)NC2"	"IC50"	"'='"	"300.0"	"nM"	"6.52"	""	""	"UO_0000065"	"16.53"	"0.30"	"2.62"	"20.50"	"1"	"CHEMBL1772322"	"Inhibition of ChoK in HT29 cells using [methyl-14C]choline chloride as substrate after 14 hrs by radiography"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HT-29"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1770085"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"CHEMBL3307768"	""	""	""
"CHEMBL1909973"	""	"None"	"745.51"	"2"	"5.12"	"3p"	"CN(C)C(=O)C[n+]1ccc(-c2nc(-c3ccc(-c4nc(-c5cc[n+](CC(=O)N(C)C)cc5)c(C(F)(F)F)o4)cc3)oc2C(F)(F)F)cc1.[Cl-].[Cl-]"	"IC50"	"'='"	"1350.0"	"nM"	"5.87"	""	""	"UO_0000065"	"8.70"	"0.17"	"0.75"	"5.84"	"0"	"CHEMBL1912789"	"Inhibition of recombinant human Choline kinase alpha using [methyl-14C]choline chloride as substrate after 30 mins by autoradiography"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1909613"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2011"	"None"	""	""	""
"CHEMBL3763993"	""	"None"	"233.36"	"0"	"1.28"	"11"	"CN1CCCN(Cc2ccc(CN)cc2)CC1"	"IC50"	"'='"	"87000.0"	"nM"	"4.06"	""	""	"UO_0000065"	"17.40"	"0.33"	"2.78"	"12.49"	"0"	"CHEMBL3769133"	"Inhibition of human N-terminal truncated ChoKalpha1 (75 to 457 residues) using choline chloride as substrate measured over 10 to 30 mins by coupled ATP regeneration assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3117"	"Choline kinase alpha"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3763032"	"1"	"Scientific Literature"	"J Med Chem"	"2016"	"None"	""	""	""
