"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4777342"	""	"None"	"418.79"	"0"	"3.64"	"21"	"Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1"	"IC50"	"'='"	"4.7"	"nM"	"8.33"	""	""	"UO_0000065"	"19.89"	"0.39"	"4.69"	"9.65"	"0"	"CHEMBL4666933"	"Inhibition of JAK in human BEAS-2B cells assessed as reduction in IL13-induced STAT6 phosphorylation incubated for 1 hr followed by IL13 addition and measured after 15 mins by immunofluorescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BEAS-2B"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4665643"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2019"	"None"	"TIME = 1.0 hr"	"INHIBITOR"	""
"CHEMBL3667519"	""	"None"	"399.86"	"0"	"4.08"	"25"	"COc1ccc(Cl)cc1-c1nc(C)sc1NC(=O)c1cnn2cccnc12"	"IC50"	"'='"	"58.0"	"nM"	"7.24"	""	""	"UO_0000065"	"18.10"	"0.37"	"3.16"	"8.89"	"0"	"CHEMBL4666933"	"Inhibition of JAK in human BEAS-2B cells assessed as reduction in IL13-induced STAT6 phosphorylation incubated for 1 hr followed by IL13 addition and measured after 15 mins by immunofluorescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BEAS-2B"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4665643"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2019"	"None"	"TIME = 1.0 hr"	"INHIBITOR"	""
"CHEMBL4068357"	""	"None"	"342.45"	"0"	"2.32"	"3"	"C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12"	"IC50"	"'='"	"27.0"	"nM"	"7.57"	""	""	"UO_0000065"	"22.10"	"0.41"	"5.25"	"11.07"	"0"	"CHEMBL4003456"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/ mouse anti-human CD3 stimulated STAT5 phosphorylation at tyrosine residue preincubated for 1 hr followed by IL2/CD3 stimulation after 30 mins by immunofluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4086057"	""	"None"	"304.35"	"0"	"3.89"	"12"	"CCc1cc(O)ccc1-c1ccc2c(-c3ncc[nH]3)n[nH]c2c1"	"IC50"	"'='"	"10.4"	"nM"	"7.98"	""	""	"UO_0000065"	"26.23"	"0.47"	"4.09"	"10.29"	"0"	"CHEMBL4003459"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/mouse anti-human CD3 stimulated IFNgamma production preincubated for 1 hr followed by IL2/CD3 stimulation measured after 18 hrs by by ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4567359"	""	"None"	"303.34"	"0"	"2.31"	"2"	"CS(=O)(=O)Nc1cc(-c2ccc(O)cc2)cc2[nH]ncc12"	"IC50"	"'='"	"3981.07"	"nM"	"5.40"	""	""	"UO_0000065"	"17.80"	"0.35"	"3.09"	"5.68"	"0"	"CHEMBL4478767"	"Inhibition of JAK in human B lymphocyte cells assessed as suppression of IL4-induced STAT6 phosphorylation preincubated for 1 hr followed by IL4 addition measured after 41/2 to 5 hrs by STAT6 reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4477220"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2016"	"None"	""	""	""
"CHEMBL3644620"	""	"None"	"566.64"	"2"	"5.01"	"2; PF-06263276"	"CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1"	"IC50"	"'='"	"70.3"	"nM"	"7.15"	""	""	"UO_0000065"	"12.62"	"0.23"	"2.14"	"5.64"	"0"	"CHEMBL4003459"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/mouse anti-human CD3 stimulated IFNgamma production preincubated for 1 hr followed by IL2/CD3 stimulation measured after 18 hrs by by ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4074855"	""	"None"	"309.37"	"0"	"3.20"	"15"	"CCc1cc(O)ccc1-c1ccc2c(C(=O)N(C)C)n[nH]c2c1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4003459"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/mouse anti-human CD3 stimulated IFNgamma production preincubated for 1 hr followed by IL2/CD3 stimulation measured after 18 hrs by by ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL3928932"	""	"None"	"354.41"	"1"	"5.04"	"5"	"CCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1"	"IC50"	"'='"	"10.5"	"nM"	"7.98"	""	""	"UO_0000065"	"22.51"	"0.40"	"2.94"	"10.28"	"0"	"CHEMBL4003459"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/mouse anti-human CD3 stimulated IFNgamma production preincubated for 1 hr followed by IL2/CD3 stimulation measured after 18 hrs by by ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4093813"	""	"None"	"401.47"	"0"	"3.79"	"19"	"CCc1cc(O)ccc1-c1ccc2c(-c3nc4c([nH]3)CN(C(C)=O)CC4)n[nH]c2c1"	"IC50"	"'='"	"4.5"	"nM"	"8.35"	""	""	"UO_0000065"	"20.79"	"0.38"	"4.56"	"8.53"	"0"	"CHEMBL4003459"	"Inhibition of JAK in human PBMC assessed as reduction in human recombinant IL-2/mouse anti-human CD3 stimulated IFNgamma production preincubated for 1 hr followed by IL2/CD3 stimulation measured after 18 hrs by by ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4002590"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL3545215"	"BMS-911543"	"2.0"	"432.53"	"0"	"3.50"	"1; BMS-911543"	"CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4666933"	"Inhibition of JAK in human BEAS-2B cells assessed as reduction in IL13-induced STAT6 phosphorylation incubated for 1 hr followed by IL13 addition and measured after 15 mins by immunofluorescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BEAS-2B"	"None"	""	""	""	"CHEMBL2363062"	"Janus Kinase (JAK)"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4665643"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2019"	"None"	"TIME = 1.0 hr"	""	""
