"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL589845"	""	"None"	"405.50"	"0"	"3.00"	"42"	"N#Cc1ccc(NC(=O)NCc2cccc(C(=O)NCCC3CCNCC3)c2)cc1"	"IC50"	"'='"	"65000.0"	"nM"	"4.19"	""	""	"UO_0000065"	"10.33"	"0.19"	"1.19"	"3.95"	"0"	"CHEMBL1071707"	"Inhibition of human ROCK2 by homogenous luciferase assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157712"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL602437"	""	"None"	"505.92"	"2"	"5.48"	"36"	"CN(C)Cc1ccc(NC(=O)c2cccc(CNC(=O)c3ccc(OC(F)(F)F)c(Cl)c3)c2)cc1"	"IC50"	"'='"	"1300.0"	"nM"	"5.89"	""	""	"UO_0000065"	"11.63"	"0.23"	"0.41"	"8.33"	"0"	"CHEMBL1066168"	"Inhibition of human ROCK2 by IMAP assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157712"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL3694788"	""	"None"	"391.40"	"0"	"3.35"	"BDBM128294"	"NCC1(c2ccc(OC(F)(F)F)cc2)CCN(c2ncnc3[nH]ccc23)CC1"	"IC50"	"'<'"	"30.0"	"nM"	""	""	"259196"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3706000"	"Inhibition Assay: In a final reaction volume of 25 ul, ROCK-II (h) (5-10 mU) is incubated with 50 mM Tris pH 7.5, 0.1 mM EGTA, 30 uM KEAKEKRQEQIAKRRRLSSLRASTSKSGGSQK (SEQ ID NO:1), 10 mM MgAcetate and [gamma-33P-ATP] (specific activity approx. 500 cpm/pmol, concentration as required). The reaction is initiated by the addition of the MgATP mix. After incubation for 40 minutes at room temperature, the reaction is stopped by the addition of 5 ul of a 3% phosphoric acid solution. 10 ul of the reaction is then spotted onto a P30 filtermat and washed three times for 5 minutes in 75 mM phosphoric acid and once in methanol prior to drying and scintillation counting."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639337"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL598194"	""	"None"	"384.87"	"0"	"2.23"	"BDBM50307942"	"NC1(C(=O)NCc2ccc(Cl)cc2)CCN(c2ncnc3[nH]ccc23)CC1"	"IC50"	"'='"	"143.0"	"nM"	"6.84"	""	"259198"	"UO_0000065"	"17.78"	"0.35"	"4.61"	"6.85"	"0"	"CHEMBL3706000"	"Inhibition Assay: In a final reaction volume of 25 ul, ROCK-II (h) (5-10 mU) is incubated with 50 mM Tris pH 7.5, 0.1 mM EGTA, 30 uM KEAKEKRQEQIAKRRRLSSLRASTSKSGGSQK (SEQ ID NO:1), 10 mM MgAcetate and [gamma-33P-ATP] (specific activity approx. 500 cpm/pmol, concentration as required). The reaction is initiated by the addition of the MgATP mix. After incubation for 40 minutes at room temperature, the reaction is stopped by the addition of 5 ul of a 3% phosphoric acid solution. 10 ul of the reaction is then spotted onto a P30 filtermat and washed three times for 5 minutes in 75 mM phosphoric acid and once in methanol prior to drying and scintillation counting."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639337"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL1922040"	""	"None"	"473.60"	"0"	"3.85"	"30"	"COc1cccc(CN(CC[N+]2(C)CCCC2)C(=O)c2cc3ccc(-c4cn[nH]c4)nc3n2C)c1"	"IC50"	"'='"	"1900.0"	"nM"	"5.72"	""	""	"UO_0000065"	"12.08"	"0.22"	"1.87"	"7.52"	"0"	"CHEMBL1924421"	"Inhibition of ROCK2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1921670"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL1922136"	""	"None"	"361.41"	"0"	"2.90"	"48"	"COc1cccc(CNC(=O)c2cn(C)c3nc(-c4cn[nH]c4)ccc23)c1"	"IC50"	"'<'"	"1.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1924421"	"Inhibition of ROCK2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1921670"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL481889"	""	"None"	"363.42"	"0"	"3.58"	"45"	"COc1cc(NC(=O)C2COc3ccc(C)cc3C2)ccc1-c1cn[nH]c1"	"IC50"	"'='"	"12.0"	"nM"	"7.92"	""	""	"UO_0000065"	"21.80"	"0.40"	"4.34"	"10.39"	"0"	"CHEMBL942694"	"Inhibition of ROCK2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141010"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL481735"	""	"None"	"420.51"	"0"	"3.52"	"47"	"Cc1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)cc1OCCN(C)C)CO2"	"IC50"	"'='"	"16.0"	"nM"	"7.80"	""	""	"UO_0000065"	"18.54"	"0.34"	"4.28"	"9.81"	"0"	"CHEMBL942698"	"Inhibition of ROCK2 assessed as myosin light chain phosphorylation by cell-based assay"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141010"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL475601"	""	"None"	"349.39"	"0"	"3.28"	"26"	"COc1ccc2c(c1)CC(C(=O)Nc1ccc(-c3cn[nH]c3)cc1)CO2"	"IC50"	"'='"	"38.0"	"nM"	"7.42"	""	""	"UO_0000065"	"21.24"	"0.39"	"4.14"	"9.73"	"0"	"CHEMBL942698"	"Inhibition of ROCK2 assessed as myosin light chain phosphorylation by cell-based assay"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141010"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL1085141"	""	"None"	"327.77"	"0"	"2.82"	"2"	"NC(C(=O)Nc1cc2cc[nH]c(=O)c2cc1Cl)c1ccccc1"	"IC50"	"'='"	"26.0"	"nM"	"7.58"	""	""	"UO_0000065"	"23.14"	"0.45"	"4.77"	"8.62"	"0"	"CHEMBL1228286"	"Inhibition of ROCK2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2973"	"Rho-associated protein kinase 2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1221307"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""
