"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL1086580"	""	"None"	"312.32"	"0"	"3.66"	"1, XAV-939"	"Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2"	"IC50"	"'='"	"3.6"	"nM"	"8.44"	""	""	"UO_0000065"	"27.04"	"0.55"	"4.78"	"18.35"	"0"	"CHEMBL3382565"	"Inhibition of GST-tagged human recombinant TNKS2 incubated for 1 hr using NAD+, biotinylated NAD+ and activated DNA by luminescence based assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3351316"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL2431805"	""	"None"	"312.32"	"0"	"3.25"	"XAV939"	"O=c1[nH]c(-c2ccc(C(F)(F)F)cc2)nc2c1CCSC2"	"IC50"	"'='"	"2.344"	"nM"	"8.63"	""	""	"UO_0000065"	"27.63"	"0.56"	"5.38"	"18.86"	"0"	"CHEMBL2433124"	"Inhibition of TNKS2 (873 to 1161) (unknown origin) expressed in Escherichia coli Rosetta2(DE3) using NAD+ as substrate by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2429767"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL2381631"	""	"None"	"253.28"	"0"	"3.64"	"9"	"Cc1cc(=O)[nH]c2cc(-c3ccc(F)cc3)ccc12"	"IC50"	"'='"	"310.0"	"nM"	"6.51"	""	""	"UO_0000065"	"25.70"	"0.47"	"2.87"	"19.81"	"0"	"CHEMBL2382496"	"Inhibition of auto-PARsylation of GST-tagged TNKS2 PARP domain (947 to 1162) (unknown origin) expressed in Escherichia coli BL21(DE3) after 2 hrs by LC/MS analysis"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2380224"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL147552"	""	"None"	"238.24"	"0"	"3.17"	"7"	"O=c1cc(-c2cccc(O)c2)oc2ccccc12"	"IC50"	"'='"	"316.23"	"nM"	"6.50"	""	""	"UO_0000065"	"27.28"	"0.49"	"3.33"	"12.89"	"0"	"CHEMBL2341186"	"Inhibition of human 6XHis-tagged TNKS2 ART domain (946 to 1161 amino acid residues) expressed in Escherichia coli Rosetta2 (DE3) by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331472"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL301624"	""	"None"	"270.24"	"0"	"2.58"	"6"	"O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)ccc12"	"IC50"	"'='"	"870.96"	"nM"	"6.06"	""	""	"UO_0000065"	"22.42"	"0.41"	"3.48"	"6.67"	"0"	"CHEMBL2341186"	"Inhibition of human 6XHis-tagged TNKS2 ART domain (946 to 1161 amino acid residues) expressed in Escherichia coli Rosetta2 (DE3) by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331472"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL151"	"LUTEOLIN"	"2.0"	"286.24"	"0"	"2.28"	"3"	"O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12"	"IC50"	"'='"	"1100.0"	"nM"	"5.96"	""	""	"UO_0000065"	"20.82"	"0.39"	"3.68"	"5.36"	"0"	"CHEMBL2341186"	"Inhibition of human 6XHis-tagged TNKS2 ART domain (946 to 1161 amino acid residues) expressed in Escherichia coli Rosetta2 (DE3) by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2331472"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL1086580"	""	"None"	"312.32"	"0"	"3.66"	"1, XAV939"	"Oc1nc(-c2ccc(C(F)(F)F)cc2)nc2c1CSCC2"	"IC50"	"'='"	"5.3"	"nM"	"8.28"	""	""	"UO_0000065"	"26.50"	"0.54"	"4.62"	"17.99"	"1"	"CHEMBL2428872"	"Inhibition of N-terminal GST-tagged TNKS2 (unknown origin) expressed in baculovirus infected sf21 cells after 60 mins by LC-MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf21"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2424545"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"CHEMBL4106362"	""	""	""
"CHEMBL562310"	""	"None"	"409.45"	"0"	"3.80"	"1, IWR1"	"O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@@H]2C=C[C@H]3C2)cc1"	"IC50"	"'='"	"39.0"	"nM"	"7.41"	""	""	"UO_0000065"	"18.09"	"0.33"	"3.61"	"9.33"	"0"	"CHEMBL2384486"	"Inhibition of tankyrase2 (unknown origin) after 60 mins in presence of NAD"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2380263"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL3589281"	""	"None"	"240.31"	"0"	"2.42"	"17a"	"CN1CCCc2c1cc(-c1ccccc1)[nH]c2=O"	"IC50"	"'='"	"189.0"	"nM"	"6.72"	""	""	"UO_0000065"	"27.98"	"0.51"	"4.30"	"18.62"	"0"	"CHEMBL3591898"	"Inhibition of human TNKS2 catalytic activity"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3588759"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2015"	"None"	""	""	""
"CHEMBL2425813"	""	"None"	"343.24"	"0"	"3.26"	"33"	"O=C(CCc1ccc(Cl)cc1Cl)Nc1nnc2n1CCS2"	"IC50"	"'='"	"5.0"	"nM"	"8.30"	""	""	"UO_0000065"	"24.18"	"0.54"	"5.04"	"13.88"	"0"	"CHEMBL2428872"	"Inhibition of N-terminal GST-tagged TNKS2 (unknown origin) expressed in baculovirus infected sf21 cells after 60 mins by LC-MS analysis"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf21"	"None"	""	""	""	"CHEMBL6154"	"Tankyrase-2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2424545"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"CHEMBL4106362"	""	""	""
