"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL41584"	""	"None"	"242.23"	"0"	"-0.90"	"10"	"CO[C@@H]1O[C@@H](n2cc(C)c(=O)[nH]c2=O)C[C@H]1O"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL814147"	"Inhibition of HSV-1 Thymidine kinase"	"B"	"BAO_0000357"	"single protein format"	"Human alphaherpesvirus 1"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126526"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1993"	"None"	""	""	""
"CHEMBL240717"	""	"None"	"462.30"	"0"	"-0.42"	"10"	"NCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(/C=C/Br)c(=O)[nH]c1=O"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL886766"	"Inhibition of human TK1 assessed as [methyl-3H]dThd phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139173"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL101135"	""	"None"	"438.53"	"0"	"4.41"	"10"	"Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O"	"IC50"	"'='"	"180.0"	"nM"	"6.75"	""	""	"UO_0000065"	"15.38"	"0.28"	"2.33"	"10.52"	"0"	"CHEMBL814781"	"Inhibitory activity against HSV-1 Thymidine kinase in OST-TK-/HSV-1 TK+ cell line in combination with gancicclovir"	"B"	"BAO_0000219"	"cell-based format"	"Human alphaherpesvirus 1"	"None"	"None"	"OST-TK-/HSV-1 TK+"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135443"	"1"	"Scientific Literature"	"J Med Chem"	"2002"	"None"	""	""	""
"CHEMBL101135"	""	"None"	"438.53"	"0"	"4.41"	"10"	"Cc1cn(C/C=C\COC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O"	"IC50"	"'='"	"2200.0"	"nM"	"5.66"	""	""	"UO_0000065"	"12.90"	"0.23"	"1.25"	"8.83"	"0"	"CHEMBL816094"	"Inhibitory activity against HSV-1 Thymidine kinase in OST-TK-/HSV-1 TK+ cell line in combination with BVAraU"	"B"	"BAO_0000219"	"cell-based format"	"Human alphaherpesvirus 1"	"None"	"None"	"OST-TK-/HSV-1 TK+"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135443"	"1"	"Scientific Literature"	"J Med Chem"	"2002"	"None"	""	""	""
"CHEMBL1823506"	""	"None"	"212.21"	"0"	"-0.88"	"25"	"Cc1cn([C@H]2C[C@@H](O)CO2)c(=O)[nH]c1=O"	"IC50"	"'='"	"200.0"	"ug.mL-1"	""	"Outside typical range"	""	"UO_0000274"	""	""	""	""	"0"	"CHEMBL1827424"	"Inhibition of human recombinant cytosolic TK1 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1821600"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2011"	"None"	""	""	""
"CHEMBL39080"	""	"None"	"284.31"	"0"	"0.27"	"16"	"Cc1cn([C@H]2C[C@@H](O)[C@H](OC(C)(C)C)O2)c(=O)[nH]c1=O"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL814147"	"Inhibition of HSV-1 Thymidine kinase"	"B"	"BAO_0000357"	"single protein format"	"Human alphaherpesvirus 1"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1126526"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1993"	"None"	""	""	""
"CHEMBL1091719"	""	"None"	"370.37"	"0"	"0.02"	"8h"	"Cc1cn([C@H]2C[C@H](n3cc(-c4ccccn4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"316000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1111767"	"Inhibition of human recombinant cytosolic thymidine kinase 1 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156937"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL487410"	""	"None"	"333.44"	"0"	"-0.17"	"22"	"Cc1cn([C@H]2C[C@H](SSCCN)[C@@H](CO)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"10000.0"	"nM"	"5.00"	""	""	"UO_0000065"	"15.00"	"0.33"	"5.17"	"4.53"	"0"	"CHEMBL948341"	"Inhibition of recombinant TK1-mediated phosphorylation of [CH3-3H]deoxythymidine"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155006"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2008"	"None"	""	""	""
"CHEMBL441814"	""	"None"	"354.45"	"0"	"1.22"	"15"	"Cc1cn(C/C=C\CN2CCN(Cc3ccccc3)CC2)c(=O)[nH]c1=O"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL816579"	"Inhibitory concentration on phosphorylation of [methyl-3H]-dTh by HSV-1 Thymidine Kinase"	"F"	"BAO_0000019"	"assay format"	"Human alphaherpesvirus 1"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1144975"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"None"	""	""	""
"CHEMBL400410"	""	"None"	"440.54"	"0"	"1.93"	"8g"	"CCCCCCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(C)c(=O)[nH]c1=O"	"IC50"	"'>='"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL886766"	"Inhibition of human TK1 assessed as [methyl-3H]dThd phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2883"	"Thymidine kinase, cytosolic"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139173"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
