Molecule ChEMBL ID	Molecule Name	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Value	Standard Units	pChEMBL Value	Data Validity Comment	Comment	Uo Units	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay ChEMBL ID	Assay Description	Assay Type	BAO Format ID	BAO Label	Assay Organism	Assay Tissue ChEMBL ID	Assay Tissue Name	Assay Cell Type	Assay Subcellular Fraction	Assay Parameters	Assay Variant Accession	Assay Variant Mutation	Target ChEMBL ID	Target Name	Target Organism	Target Type	Document ChEMBL ID	Source ID	Source Description	Document Journal	Document Year	Cell ChEMBL ID	Properties	Action Type	Standard Text Value
CHEMBL286160		None	377.8	0	4.2	3	COCCOc1cc2ncnc(Nc3ccc(Cl)cc3F)c2cc1OC	IC50	'='	40	nM	7.4			UO_0000065					0	CHEMBL691874	Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1135889	1	Scientific Literature	J Med Chem	2002	None			
CHEMBL1744349		None	479.38	1	5.21	10	COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OC/C=C/CN1CCCC1.Cl	IC50	'='	40	nM	7.4			UO_0000065					0	CHEMBL691874	Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1135889	1	Scientific Literature	J Med Chem	2002	None			
CHEMBL422758		None	448.9	1	5.03	19	COc1cc2c(Nc3c(F)cc(Cl)cc3F)ncnc2cc1OCC1CCN(C)CC1	IC50	'='	60	nM	7.22			UO_0000065					0	CHEMBL691874	Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1135889	1	Scientific Literature	J Med Chem	2002	None			
CHEMBL1202477		None	540.87	1	4.3	5	COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN1CCN(C)CC1.Cl	IC50	'='	30	nM	7.52			UO_0000065					0	CHEMBL691874	Inhibition of human endothelial cell growth stimulate by vascular endothelial growth factor	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1135889	1	Scientific Literature	J Med Chem	2002	None			
CHEMBL45752		None	341.42	0	4.69	2d	Cc1cc(C)cc(Nc2nccc(-n3ccnc3-c3ccccc3)n2)c1	IC50	'='	19	nM	7.72			UO_0000065					0	CHEMBL699032	Inhibition of VEGFstimulated mitogenesis in human umbilical vein endothelial cells.	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1136377	1	Scientific Literature	Bioorg Med Chem Lett	2003	None			
CHEMBL324153		None	401.47	0	3.17	4h	c1cc(-c2cnn3cc(-c4ccc(OCCN5CCOCC5)cc4)cnc23)ccn1	IC50	'='	31	nM	7.51			UO_0000065					0	CHEMBL673902	Inhibition of VEGF-stimulated mitogenesis in endothelial cells	F	BAO_0000219	cell-based format	None	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1135002	1	Scientific Literature	Bioorg Med Chem Lett	2002	None			
CHEMBL120077		None	325.34	0	3.88	"17, JNJ-10198409"	COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2	IC50	'='	3100	nM	5.51			UO_0000065	16.93	0.31	1.63	9.31	0	CHEMBL861476	Inhibitory activity against VEGFR	B	BAO_0000224	protein format	None	None	None	None	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1140423	1	Scientific Literature	J Med Chem	2005	None			
CHEMBL186080		None	276.7	0	3.57	11	Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnn2c1	IC50	'>'	2500000	nM		Outside typical range		UO_0000065					0	CHEMBL835731	Inhibition of VEGF-stimulated human umbilical vein endothelial cell proliferation	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1138664	1	Scientific Literature	J Med Chem	2004	None			
CHEMBL179311	GW580509X	None	388.45	0	3.9	27	CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(OC)c3)o2)c1	IC50	'='	1650	nM	5.78			UO_0000065					0	CHEMBL825163	Inhibition of VEGF-induced proliferation of human umbilical vein endothelial cells	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1142709	1	Scientific Literature	J Med Chem	2005	None			
CHEMBL46694		None	467.58	0	4.05	3d	CC(=O)N1CCN(Cc2cc(C)cc(Nc3nccc(-n4ccnc4-c4ccccc4)n3)c2)CC1	IC50	'='	396	nM	6.4			UO_0000065					0	CHEMBL698867	Inhibition of VEGFstimulated mitogenesis in human umbilical vein endothelial cells	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1136377	1	Scientific Literature	Bioorg Med Chem Lett	2003	None			
CHEMBL365095		None	375.19	0	3.02	50	O=C(NS(=O)(=O)c1cccc([N+](=O)[O-])c1)c1ccc(Cl)cc1Cl	IC50	'='	910	nM	6.04			UO_0000065					0	CHEMBL835746	Inhibition of vascular endothelial growth factor (VEGF)-stimulated human umbilical vein endothelial cell proliferation	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1138791	1	Scientific Literature	J Med Chem	2004	None			
CHEMBL187977		None	373.26	0	3.18	52	CN(C)c1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1	IC50	'='	930	nM	6.03			UO_0000065					0	CHEMBL835746	Inhibition of vascular endothelial growth factor (VEGF)-stimulated human umbilical vein endothelial cell proliferation	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1138791	1	Scientific Literature	J Med Chem	2004	None			
CHEMBL188610		None	390.24	0	3.13	57	COc1ccc(S(=O)(=O)NC(=O)c2ccc(Cl)cc2Cl)cc1OC	IC50	'='	3900	nM	5.41			UO_0000065					0	CHEMBL835746	Inhibition of vascular endothelial growth factor (VEGF)-stimulated human umbilical vein endothelial cell proliferation	F	BAO_0000219	cell-based format	Homo sapiens	None	None	Endothelial cell	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1138791	1	Scientific Literature	J Med Chem	2004	None			
CHEMBL199725		None	633.15	1	4.41	13b	COc1cc2c(Nc3ccc(Cl)cc3F)ncnc2cc1OCCOCCNC(=O)CCCCC1SCC2NC(=O)NC21	IC50	'='	1900	nM	5.72			UO_0000065					0	CHEMBL864486	Inhibitory activity against VEGF-stimulated proliferation in HUVEC	F	BAO_0000019	assay format	Homo sapiens	None	None	None	None				CHEMBL2095227	Vascular endothelial growth factor receptor	Homo sapiens	PROTEIN FAMILY	CHEMBL1148542	1	Scientific Literature	Bioorg Med Chem Lett	2006	None			
