Smiles,Target Name,Standard Value
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c1,Rho-associated protein kinase 2,6894.0
O=C(Nc1cccc(-c2cnc3cc(-c4nncs4)ccn23)c1)NC1CC1,Vascular endothelial growth factor receptor 2,173.0
CC(C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)N[C@H]1CC[C@](F)(c2nccn2C)CC1,Interleukin-1 receptor-associated kinase 4,4.3
O=c1[nH]c([C@@H]2CNC[C@H]2c2ccccc2)nc2ccc(-c3cn[nH]c3)cc12,Rho-associated protein kinase 2,1.0
COc1cc2c(cnc3[nH]nc(C4CC4)c32)cc1-c1c(F)ccc(NS(=O)(=O)CCCF)c1Cl,Serine/threonine-protein kinase B-raf,7.0
Cn1c(=O)n(C2CNC2)c2c3cc(-c4cnc5[nH]ccc5c4)ccc3ncc21,Serine-protein kinase ATM,3460.0
CN1CCN(C(=O)c2cc(Nc3ncc4cc(-c5cnn(Cc6ccccc6)c5)n(C5CCCC5)c4n3)cn2C)CC1,Cyclin-dependent kinase 1,2000.0
COc1cc2c(=O)n([C@@H]3CCCN(C(=O)CC#N)C3)c3c4cc[nH]c4ncc3c2cc1OC,Tyrosine-protein kinase JAK3,2.55
CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCCC5)CC4)cc23)ccc1=O,Cyclin-dependent kinase 1,140.0
O=C(NCC(F)(F)F)Nc1cc(Br)cc(-c2cnc3cc(-c4ccnc(C(F)(F)F)n4)ccn23)c1,Vascular endothelial growth factor receptor 2,500.0
COC(=O)N[C@@H](C)CNc1nccc(-c2nc(C3CC3)[nH]c2-c2cc(F)cc(NS(=O)(=O)C3CC3)c2Cl)n1,Serine/threonine-protein kinase B-raf,0.3
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(N5CCN(C6CC6)CC5)nc34)c2)cc1C(F)(F)F,Serine/threonine-protein kinase B-raf,7.0
O=C(Nc1ncc(C2CCC2)s1)Nc1cccc2ccncc12,Cyclin-dependent kinase 5,5.0
CCN(C)S(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3[nH]ccc3c2)c1F,Serine/threonine-protein kinase B-raf,400.0
Cc1n[nH]c2sc(C(=O)NCc3ccccc3)cc12,Vascular endothelial growth factor receptor 2,12000.0
CC(C)Nc1cc(Nc2ccc3nsnc3c2)ncc1-c1nnc(C(=O)N2CC[C@@H](O)C2)s1,Interleukin-1 receptor-associated kinase 4,2.5
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cccc(-n5ccnc5)c4)c3)cc2C1,Rho-associated protein kinase 2,14.5
Fc1ccc(-c2cn(-c3ccc(C(F)(F)F)cc3)nc2-c2ccncc2)cc1,Serine/threonine-protein kinase B-raf,2700.0
O=C(Nc1cccc(C(F)(F)F)c1)c1cccc(N2CCc3c(cnc4ccccc34)C2)c1,Vascular endothelial growth factor receptor 2,46.0
CC(C)CC(O)[C@H](C)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,10.9
CCN(CC)CCNC(=O)c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,Cyclin-dependent kinase 2,40.0
COC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnc4ccc(C#N)cc34)CC2)CC1,Interleukin-1 receptor-associated kinase 4,37.0
Nc1cccc(-c2nc3sccn3c2-c2ccnc(NCCCCNS(=O)(=O)c3ccc(Cl)cc3)n2)c1,Serine/threonine-protein kinase B-raf,20.4
CC[C@H]1Nc2ccc3ncc(n3n2)C(=O)NC2(CC2)COc2ccc(F)cc21,ALK tyrosine kinase receptor,2.6
CN(C)CCNC(=O)c1sc2cnccc2c1Nc1ccc2c(c1)CC/C2=N/O,Serine/threonine-protein kinase B-raf,52.0
COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,Tyrosine-protein kinase ABL,86.0
Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4cccc(OCCC5CCNCC5)c4)c3)cc12,Serine/threonine-protein kinase AKT,290.0
Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,Cyclin-dependent kinase 1,22.0
CCCS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]ncc3n2)C1,Tyrosine-protein kinase JAK3,0.1269
Cn1cnc(NCc2ccncc2)c1-c1nnc(Nc2ccc(Cl)c(Cl)c2)o1,Vascular endothelial growth factor receptor 2,260.0
CC(CCF)Nc1cc(-n2ccc3cc(C#N)cnc32)ncc1C(=O)NC[C@@H](F)C(C)(C)O,Interleukin-1 receptor-associated kinase 4,1.6
COc1cc2ncnc(Nc3cc(F)cc(O)c3C)c2cc1OC,Vascular endothelial growth factor receptor 2,5900.0
