"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3975454"	""	"None"	"520.68"	"2"	"7.72"	"BDBM245231"	"CN1CCN(c2ccc(-c3ccc4[nH]c5nccc(/C(=C/c6ccccc6)c6ccccc6)c5c4c3)cc2)CC1"	"IC50"	"'='"	"1600.0"	"nM"	"5.80"	""	"427414"	"UO_0000065"	"11.13"	"0.20"	"-1.92"	"16.48"	"0"	"CHEMBL3888985"	"ELISA-Based In Vitro Kinase Assay: GST-tagged recombinant wild-type or L1196M mutated ALK kinase (rALK) was expressed in Sf9 insect cells using the pBacPAK baculovirus vector system (Clontech) and purified using Glutathione Sepharose 4B affinity beads (GE Healthcare). Recombinant 3C protease was used to remove the GST tag. Purified ALK was used to screen inhibitors in the ELISA-based kinase assay, as follows: Nunc-Immuno 96-well plates were incubated overnight at 30° C. with coating solution containing 2 μg of a specific ALK peptide substrate (ARDIYRASFFRKGGCAMLPVK) in PBS. Wells were then washed with 200 μL of wash buffer (PBS-Tween 0.05%) and incubated with 4% BSA in PBS for at least 2 h at 30° C. The kinase reaction was performed in the presence of 50 mM Tris pH 7.5, 5 mM MnCl2, 5 mM MgCl2, 0.3 mM ATP and purified rALK in a total volume of 100 μL/well at 30° C. for 15 min. For inhibitor testing the reaction mix was preincubated with inhibitor or vehicle for 10 min at room temperature before transferring to the ELISA plate. After the reaction, the wells were washed 5 times with 200 μL of wash buffer. Phosphorylated peptide was detected using 100 μL/well of a mouse monoclonal anti-phosphotyrosine antibody (clone 4G10 UpstateBiotech Ltd) diluted 1:2000 in PBS+4% BSA. After 30 min incubation at room temperature the antibody was removed and wells were washed as described above. 100 μL of a secondary antibody (anti-mouse IgG, Horseradish Peroxidase linked whole antibody, Amersham Pharmacia Biotech) diluted 1:1000 in PBS+4% BSA was added to each well and the plate was incubated again for 30 min at room temperature before washing as above. The plate was developed using 100 μL/well TMB Substrate Solution (Pierce) and the reaction was stopped by adding an equal volume of 1M H2SO4. Finally, the absorbance was read at 450 nm using an ELISA plate reader (Bio-Rad)."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886908"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3938221"	""	"None"	"524.83"	"None"	"None"	"BDBM245238"	"CC(C)[Si](/C=C/c1ccnc2[nH]c3ccc(-c4ccc(N5CCN(C)CC5)cc4)cc3c12)(C(C)C)C(C)C"	"IC50"	"'='"	"7100.0"	"nM"	"5.15"	""	"427421"	"UO_0000065"	"9.81"	"None"	"None"	"None"	"0"	"CHEMBL3888985"	"ELISA-Based In Vitro Kinase Assay: GST-tagged recombinant wild-type or L1196M mutated ALK kinase (rALK) was expressed in Sf9 insect cells using the pBacPAK baculovirus vector system (Clontech) and purified using Glutathione Sepharose 4B affinity beads (GE Healthcare). Recombinant 3C protease was used to remove the GST tag. Purified ALK was used to screen inhibitors in the ELISA-based kinase assay, as follows: Nunc-Immuno 96-well plates were incubated overnight at 30° C. with coating solution containing 2 μg of a specific ALK peptide substrate (ARDIYRASFFRKGGCAMLPVK) in PBS. Wells were then washed with 200 μL of wash buffer (PBS-Tween 0.05%) and incubated with 4% BSA in PBS for at least 2 h at 30° C. The kinase reaction was performed in the presence of 50 mM Tris pH 7.5, 5 mM MnCl2, 5 mM MgCl2, 0.3 mM ATP and purified rALK in a total volume of 100 μL/well at 30° C. for 15 min. For inhibitor testing the reaction mix was preincubated with inhibitor or vehicle for 10 min at room temperature before transferring to the ELISA plate. After the reaction, the wells were washed 5 times with 200 μL of wash buffer. Phosphorylated peptide was detected using 100 μL/well of a mouse monoclonal anti-phosphotyrosine antibody (clone 4G10 UpstateBiotech Ltd) diluted 1:2000 in PBS+4% BSA. After 30 min incubation at room temperature the antibody was removed and wells were washed as described above. 100 μL of a secondary antibody (anti-mouse IgG, Horseradish Peroxidase linked whole antibody, Amersham Pharmacia Biotech) diluted 1:1000 in PBS+4% BSA was added to each well and the plate was incubated again for 30 min at room temperature before washing as above. The plate was developed using 100 μL/well TMB Substrate Solution (Pierce) and the reaction was stopped by adding an equal volume of 1M H2SO4. Finally, the absorbance was read at 450 nm using an ELISA plate reader (Bio-Rad)."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886908"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3939763"	""	"None"	"392.45"	"1"	"5.33"	"BDBM60617"	"CC1(C)c2cc(OCCCCCC(=O)O)ccc2C(=O)c2c1oc1ccccc21"	"IC50"	"'='"	"5934.6"	"nM"	"5.23"	""	"273503"	"UO_0000065"	"13.32"	"0.25"	"-0.10"	"6.81"	"0"	"CHEMBL3887074"	"Inhibition Assay: ALK-inhibiting activity was measured by following an activity of inhibiting phosphorylation by biotinylated peptide (EGPWLEEEEEAYGWMDF). For the detection of phosphorylation of the biotinylated peptide, time-resolved fluorescence measurement was performed using an anti-phosphorylated tyrosine antibody labeled with europium cryptate and streptavidin conjugated to XL665, i.e., an allophycocyanin derivative."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886150"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3651864"	""	"None"	"648.83"	"2"	"5.48"	"BDBM107067"	"Cc1cc(Nc2nc(Nc3ccccc3S(=O)(=O)C(C)C)c3c(C)[nH]nc3n2)c(OC(C)C)cc1C1CCN(CCC(N)=O)CC1"	"IC50"	"'='"	"18.0"	"nM"	"7.75"	""	"226279"	"UO_0000065"	"11.94"	"0.23"	"2.26"	"4.60"	"0"	"CHEMBL3705165"	"Enzyme Assay: The inhibition of ALK tyrosine kinase activity may be demonstrated using known methods, for example using the recombinant kinase domain of the ALK in analogy to the VEGF-R kinase assay described in J. Wood et al. Cancer Res. 60, 2178-2189 (2000)."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638924"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
"CHEMBL3651871"	""	"None"	"655.85"	"2"	"4.87"	"BDBM107074"	"COc1cc(C2CCN(CCS(C)(=O)=O)CC2)c(C)cc1Nc1nc(Nc2ccccc2S(=O)(=O)C(C)C)c2c(C)[nH]nc2n1"	"IC50"	"'='"	"43.0"	"nM"	"7.37"	""	"226286"	"UO_0000065"	"11.23"	"0.22"	"2.50"	"4.63"	"0"	"CHEMBL3705165"	"Enzyme Assay: The inhibition of ALK tyrosine kinase activity may be demonstrated using known methods, for example using the recombinant kinase domain of the ALK in analogy to the VEGF-R kinase assay described in J. Wood et al. Cancer Res. 60, 2178-2189 (2000)."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638924"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
"CHEMBL3687192"	""	"None"	"409.49"	"0"	"2.48"	"BDBM144284"	"CCc1nc(C(N)=O)c(Nc2ccc3cnn(C)c3c2)nc1N[C@H]1CC[C@H](O)CC1"	"IC50"	"'='"	"76.0"	"nM"	"7.12"	""	"280585"	"UO_0000065"	"17.39"	"0.32"	"4.64"	"5.44"	"0"	"CHEMBL3706338"	"Inhibition Assay: A recombinant retrovirus was created from expression plasmid FLAG-EML4-ALKv1/pMX-iresCD8 in which cDNA for EMLA-ALK fusion protein v1 was integrated, and injected into mouse lymphoid cell line BA/F3 cells. Using a magnetic bead reagent for cell separation and a purification column (anti-CD8 monoclonal antibody immobilized on magnetic beads and a MiniMACS purification column; both are products of MilteDyi Biotec Inc.), cell surface CD8-expressing cells were purified to establish EML4-ALK fusion protein v1-expressing BA/F3 cells. From the cells, EML4-ALK fusion protein v1 was purified and subjected to kinase activity evaluation. EML4-ALK fusion protein v1 was investigated for its phosphorylation activity toward a peptide substrate by using a kinase activity detection kit (HTRF KinEASE-TK; Cisbio Inc.). Test compounds were each added to a reaction solution containing the enzyme protein to give 8 final concentrations from 1000 nM to 0.3 nM, followed by addition of ATP."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"lymphoid"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639105"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3687199"	""	"None"	"440.55"	"0"	"2.43"	"BDBM144291"	"CCc1nc(C(N)=O)c(Nc2ccc(N3CCOCC3)cc2)nc1N[C@H]1CC[C@H](O)CC1"	"IC50"	"'='"	"17.0"	"nM"	"7.77"	""	"280592"	"UO_0000065"	"17.64"	"0.33"	"5.34"	"6.18"	"0"	"CHEMBL3706338"	"Inhibition Assay: A recombinant retrovirus was created from expression plasmid FLAG-EML4-ALKv1/pMX-iresCD8 in which cDNA for EMLA-ALK fusion protein v1 was integrated, and injected into mouse lymphoid cell line BA/F3 cells. Using a magnetic bead reagent for cell separation and a purification column (anti-CD8 monoclonal antibody immobilized on magnetic beads and a MiniMACS purification column; both are products of MilteDyi Biotec Inc.), cell surface CD8-expressing cells were purified to establish EML4-ALK fusion protein v1-expressing BA/F3 cells. From the cells, EML4-ALK fusion protein v1 was purified and subjected to kinase activity evaluation. EML4-ALK fusion protein v1 was investigated for its phosphorylation activity toward a peptide substrate by using a kinase activity detection kit (HTRF KinEASE-TK; Cisbio Inc.). Test compounds were each added to a reaction solution containing the enzyme protein to give 8 final concentrations from 1000 nM to 0.3 nM, followed by addition of ATP."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"lymphoid"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639105"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3301622"	"GILTERITINIB"	"4.0"	"552.72"	"1"	"2.70"	"Gilteritinib"	"CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1"	"IC50"	"'='"	"1.5"	"nM"	"8.82"	""	"280616"	"UO_0000065"	"15.96"	"0.30"	"6.12"	"7.29"	"0"	"CHEMBL3706338"	"Inhibition Assay: A recombinant retrovirus was created from expression plasmid FLAG-EML4-ALKv1/pMX-iresCD8 in which cDNA for EMLA-ALK fusion protein v1 was integrated, and injected into mouse lymphoid cell line BA/F3 cells. Using a magnetic bead reagent for cell separation and a purification column (anti-CD8 monoclonal antibody immobilized on magnetic beads and a MiniMACS purification column; both are products of MilteDyi Biotec Inc.), cell surface CD8-expressing cells were purified to establish EML4-ALK fusion protein v1-expressing BA/F3 cells. From the cells, EML4-ALK fusion protein v1 was purified and subjected to kinase activity evaluation. EML4-ALK fusion protein v1 was investigated for its phosphorylation activity toward a peptide substrate by using a kinase activity detection kit (HTRF KinEASE-TK; Cisbio Inc.). Test compounds were each added to a reaction solution containing the enzyme protein to give 8 final concentrations from 1000 nM to 0.3 nM, followed by addition of ATP."	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"lymphoid"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639105"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3934533"	""	"None"	"423.47"	"0"	"2.81"	"BDBM60620"	"CC1(C)c2cc(OCC(=O)NCCOCCO)ccc2C(=O)c2c1oc1ccccc21"	"IC50"	"'='"	"7045.1"	"nM"	"5.15"	""	"273505"	"UO_0000065"	"12.17"	"0.23"	"2.34"	"5.26"	"0"	"CHEMBL3887074"	"Inhibition Assay: ALK-inhibiting activity was measured by following an activity of inhibiting phosphorylation by biotinylated peptide (EGPWLEEEEEAYGWMDF). For the detection of phosphorylation of the biotinylated peptide, time-resolved fluorescence measurement was performed using an anti-phosphorylated tyrosine antibody labeled with europium cryptate and streptavidin conjugated to XL665, i.e., an allophycocyanin derivative."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886150"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3398173"	""	"None"	"502.58"	"1"	"2.79"	"19"	"COc1cc([C@@H]2CCN(CC(N)=O)C[C@@H]2O)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1"	"IC50"	"'='"	"15.0"	"nM"	"7.82"	""	""	"UO_0000065"	"15.57"	"0.29"	"5.03"	"6.15"	"0"	"CHEMBL3398705"	"Inhibition of ALK (unknown origin) by enzymatic assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4247"	"ALK tyrosine kinase receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3396997"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
