"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL602074"	""	"None"	"315.38"	"0"	"4.19"	"29"	"Cc1cc(C)c(/C=C2\C(=O)Nc3ccc(-c4cccnc4)cc32)[nH]1"	"IC50"	"'='"	"17000.0"	"nM"	"4.77"	""	""	"UO_0000065"	"15.12"	"0.27"	"0.58"	"8.25"	"0"	"CHEMBL1071419"	"Inhibition of ABL by ELISA-based kinase assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156925"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"None"	""	""	""
"CHEMBL597754"	""	"None"	"530.66"	"1"	"0.41"	"59"	"CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1072187"	"Inhibition of cABL"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157561"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL436137"	""	"None"	"453.59"	"1"	"5.84"	"42"	"Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(OCCN4CCCC4)cc3)nnc2c1"	"IC50"	"'='"	"5990.0"	"nM"	"5.22"	""	""	"UO_0000065"	"11.51"	"0.21"	"-0.62"	"8.27"	"0"	"CHEMBL908994"	"Inhibition of Abl T315I mutant"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	"P00519"	"T315I"	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139689"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL3926819"	""	"None"	"404.35"	"0"	"4.09"	"BDBM222522"	"CCOc1ncc(C(=O)Nc2ccc(OC(F)(F)F)cc2)cc1-c1cncnc1"	"IC50"	"'='"	"9.4"	"nM"	"8.03"	""	"389320"	"UO_0000065"	"19.85"	"0.38"	"3.94"	"9.31"	"0"	"CHEMBL3888309"	"Caliper Assay: All assays were performed in 384-well microtiter plates. Each assay plate contained 8-point serial dilutions for 40 test compounds, as well as four 8-point serial dilutions of staurosporine as a reference compound, plus 16 high and 16 low controls. Liquid handling and incubation steps were done on a Thermo CatX workstation equipped with Innovadyne Nanodrop Express. Between pipetting steps, tips were cleaned in wash cycles using wash buffer. The assay plates were prepared by addition of 50 nL per well of compound solution in 90% DMSO. The kinase reactions were started by stepwise addition of 4.5 μL per well of peptide/ATP-solution (50 mM HEPES, pH 7.5, 1 mM DTT, 0.02% BSA, 0.6% DMSO, 10 mM beta-glycerophosphate, and 10 μM sodium orthovanadate, 20 mM MgCl2, 2 mM MnCl2, 4 μM ATP, 4 μM peptide (FITC-Ahx-EAIYAAPFAKKK-NH2)) and 4.5 μL per well of enzyme solution (50 mM HEPES, pH 7.5, 1 mM DTT, 0.02% BSA, 0.6% DMSO, 10 mM beta-glycerophosphate, and 10 μM sodium orthovanadate, 20 mM MgCl2, 2 mM MnCl2, 3.5 nM ABL (ABL(64-515), produced in-house from E. coli)). Kinase reactions were incubated at 30 °C. for 60 minutes and subsequently terminated by addition of 16 μL per well of stop solution (100 mM HEPES pH 7.5, 5% DMSO, 0.1% Caliper coating reagent, 10 mM EDTA, and 0.015% Brij35). Plates with terminated kinase reactions were transferred to the Caliper LC3000 workstations for reading. Phosphorylated and unphosphorylated peptides were separated using the Caliper microfluidic mobility shift technology. Briefly, samples from terminated kinase reactions were applied to the chip. Analytes are transported through the chip by constant buffer flow and the migration of the substrate peptide is monitored by the fluorescence signal of its label. Phosphorylated peptide (product) and unphosphorylated peptide (substrate) are separated in an electric field by their charge/mass ratio."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886649"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL202831"	""	"None"	"492.58"	"0"	"3.48"	"9h"	"COc1cc(-c2cnc(O)c(C(=O)Nc3ccc(CN4CCN(C)CC4)cc3)c2)cc(OC)c1OC"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL865227"	"Inhibitory activity against Abl"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149386"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL1642"	"IMATINIB MESYLATE"	"4.0"	"589.72"	"0"	"4.59"	"1, Gleevec"	"CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1"	"IC50"	"'='"	"430.0"	"nM"	"6.37"	""	""	"UO_0000065"	"12.90"	"0.23"	"1.78"	"7.38"	"0"	"CHEMBL871418"	"Inhibition of c-ABL"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137421"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL521652"	""	"None"	"445.50"	"0"	"4.63"	"54b"	"Cc1ccc(NC(=O)c2ccc(C(=O)NO)cc2)cc1Nc1ncc(-c2cccnc2)s1"	"IC50"	"'='"	"8800.0"	"nM"	"5.06"	""	""	"UO_0000065"	"11.35"	"0.22"	"0.43"	"4.35"	"0"	"CHEMBL1022423"	"Inhibition of c-Abl T315I mutant by liquid scintillation counting"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	"P00519"	"T315I"	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153406"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL121190"	""	"None"	"260.69"	"0"	"2.28"	"6"	"Nc1[nH]cnc2nnc(Nc3cccc(Cl)c3)c1-2"	"IC50"	"'='"	"410.0"	"nM"	"6.39"	""	""	"UO_0000065"	"24.50"	"0.48"	"4.11"	"6.90"	"0"	"CHEMBL847373"	"Inhibitory activity against v-Abl tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1130217"	"1"	"Scientific Literature"	"J Med Chem"	"1997"	"None"	""	""	""
"CHEMBL2403815"	""	"None"	"507.60"	"2"	"5.67"	"3c"	"CC(C)(C)c1cc(NC(=O)Nc2ccc(Nc3ncnc4ccc(N)cc34)cc2)n(-c2cccc(N)c2)n1"	"IC50"	"'='"	"73.0"	"nM"	"7.14"	""	""	"UO_0000065"	"14.06"	"0.26"	"1.47"	"4.80"	"0"	"CHEMBL2406231"	"Inhibition of human wild-type ABL (Ser229 to Gln513)-mediated phosphorylation of biotinylated poly-Glu-Tyr expressed in Escherichia coli BL21(DE3) preincubated for 30 to 60 mins prior to substrate addition by TR-FRET assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2401695"	"1"	"Scientific Literature"	"J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL225519"	""	"None"	"213.24"	"0"	"1.36"	"1, PHA-767491"	"O=C1NCCc2[nH]c(-c3ccncc3)cc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1226921"	"Inhibition of c-Abl"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1862"	"Tyrosine-protein kinase ABL"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1221210"	"1"	"Scientific Literature"	"Nat Chem Biol"	"2008"	"None"	""	""	""
