"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4866187"	""	"None"	"372.41"	"0"	"4.14"	"10"	"CN(C)c1nccn2c(-c3ccc4[nH]ncc4c3)c(-c3ccc(F)cc3)nc12"	"IC50"	"'='"	"2080.0"	"nM"	"5.68"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4814487"	"Inhibition of recombinant human CK1 epsilon expressed in baculovirus infected Sf9 cells using RRKHAAIGSpAYSITA as substrate"	"A"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4813913"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2021"	"None"	""	"INHIBITOR"	""
"CHEMBL4877608"	""	"None"	"352.40"	"0"	"3.30"	"22"	"CSc1nccc(-c2c(-c3ccc(F)cc3)nc3c(N)nccn23)n1"	"IC50"	"'='"	"180.0"	"nM"	"6.75"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4814487"	"Inhibition of recombinant human CK1 epsilon expressed in baculovirus infected Sf9 cells using RRKHAAIGSpAYSITA as substrate"	"A"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4813913"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2021"	"None"	""	"INHIBITOR"	""
"CHEMBL3337854"	""	"None"	"515.40"	"2"	"5.44"	"11"	"O=C(Nc1nc2ccc(C(F)(F)F)cc2[nH]1)c1csc(NC(=O)c2ccccc2OC(F)(F)F)n1"	"IC50"	"'='"	"199.0"	"nM"	"6.70"	""	""	"UO_0000065"	"13.00"	"0.26"	"1.26"	"6.15"	"1"	"CHEMBL3766974"	"Inhibition of recombinant human CK1epsilon using GST-p53 (1 to 64 residues) as substrate by SDS-PAGE based autoradiography"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3763068"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"None"	""	""	""
"CHEMBL2391123"	""	"None"	"402.48"	"1"	"5.47"	"8h"	"c1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)cc1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2393652"	"Inhibition of human recombinant CK1epsilon by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2390816"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL2391125"	""	"None"	"457.51"	"1"	"5.35"	"8f"	"COc1ccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCCO5)o3)cc2)c(C#N)c1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2393652"	"Inhibition of human recombinant CK1epsilon by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2390816"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL3952882"	""	"None"	"516.51"	"1"	"3.56"	"BDBM255184"	"Cn1nc(-c2ccc(F)cc2)c(-c2ccc3nc(NC(=O)c4ccnc(F)c4)cn3n2)c1N1CCOCC1"	"IC50"	"'='"	"3.7"	"nM"	"8.43"	""	"444191"	"UO_0000065"	"16.32"	"0.30"	"4.87"	"8.23"	"0"	"CHEMBL3889261"	"Kinase Assay: The kinase assay was performed in V-bottom 384-well plates. The final assay volume was 30 ul prepared from 15 ul additions of enzyme, substrates (fluoresceinated peptide FL-AHA-KRRRAL-PSER-VASLPGL-OH and ATP) and test compounds in assay buffer (20 mM HEPES pH 7.4, 30 mM MgCl2, 0.015% Brij35 and 4 mM DTT). The reaction was incubated at room temperature for 22 hours and terminated by adding 45 ul of 35 mM EDTA to each sample. The reaction mixture was analyzed on the Caliper LABCHIPÂ®3000 (Caliper, Hopkinton, Mass.) by electrophoretic separation of the unphosphorylated substrate and phosphorylated product Inhibition data were calculated by comparison of the no enzyme control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentration of reagents in the assay were 200 pM CK1ε or CK1δ, 50 uM ATP, 1.5 uM FL-AHA-KRRRAL-PSER-VASLPGL-OH, and 1.6% DMSO. Dose response curves were generated to determine the concentration required to inhibit 50% of the kinase activity (IC50). Compounds were dissolved at 10 mM in dimethylsulfoxide (DMSO) and evaluated at eleven concentrations. IC50 values were derived by non-linear regression analysis."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3887015"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3902838"	""	"None"	"581.66"	"1"	"3.89"	"BDBM255201"	"Cn1nc(-c2ccc(F)cc2)c(-c2ccc3nc(NC(=O)c4ccnc(N5CCOCC5)c4)cn3n2)c1C1CCNCC1"	"IC50"	"'='"	"1.0"	"nM"	"9.00"	""	"444207"	"UO_0000065"	"15.47"	"0.29"	"5.11"	"7.86"	"0"	"CHEMBL3889261"	"Kinase Assay: The kinase assay was performed in V-bottom 384-well plates. The final assay volume was 30 ul prepared from 15 ul additions of enzyme, substrates (fluoresceinated peptide FL-AHA-KRRRAL-PSER-VASLPGL-OH and ATP) and test compounds in assay buffer (20 mM HEPES pH 7.4, 30 mM MgCl2, 0.015% Brij35 and 4 mM DTT). The reaction was incubated at room temperature for 22 hours and terminated by adding 45 ul of 35 mM EDTA to each sample. The reaction mixture was analyzed on the Caliper LABCHIPÂ®3000 (Caliper, Hopkinton, Mass.) by electrophoretic separation of the unphosphorylated substrate and phosphorylated product Inhibition data were calculated by comparison of the no enzyme control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentration of reagents in the assay were 200 pM CK1ε or CK1δ, 50 uM ATP, 1.5 uM FL-AHA-KRRRAL-PSER-VASLPGL-OH, and 1.6% DMSO. Dose response curves were generated to determine the concentration required to inhibit 50% of the kinase activity (IC50). Compounds were dissolved at 10 mM in dimethylsulfoxide (DMSO) and evaluated at eleven concentrations. IC50 values were derived by non-linear regression analysis."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3887015"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3893731"	""	"None"	"593.69"	"2"	"5.48"	"BDBM255215"	"Cc1nc(-c2cccnc2)sc1C(=O)Nc1cn2nc(-c3c(-c4ccc(F)cc4)nn(C)c3C3CCNCC3)ccc2n1"	"IC50"	"'='"	"1.8"	"nM"	"8.74"	""	"444221"	"UO_0000065"	"14.73"	"0.28"	"3.26"	"7.61"	"0"	"CHEMBL3889261"	"Kinase Assay: The kinase assay was performed in V-bottom 384-well plates. The final assay volume was 30 ul prepared from 15 ul additions of enzyme, substrates (fluoresceinated peptide FL-AHA-KRRRAL-PSER-VASLPGL-OH and ATP) and test compounds in assay buffer (20 mM HEPES pH 7.4, 30 mM MgCl2, 0.015% Brij35 and 4 mM DTT). The reaction was incubated at room temperature for 22 hours and terminated by adding 45 ul of 35 mM EDTA to each sample. The reaction mixture was analyzed on the Caliper LABCHIPÂ®3000 (Caliper, Hopkinton, Mass.) by electrophoretic separation of the unphosphorylated substrate and phosphorylated product Inhibition data were calculated by comparison of the no enzyme control reactions for 100% inhibition and vehicle-only reactions for 0% inhibition. The final concentration of reagents in the assay were 200 pM CK1ε or CK1δ, 50 uM ATP, 1.5 uM FL-AHA-KRRRAL-PSER-VASLPGL-OH, and 1.6% DMSO. Dose response curves were generated to determine the concentration required to inhibit 50% of the kinase activity (IC50). Compounds were dissolved at 10 mM in dimethylsulfoxide (DMSO) and evaluated at eleven concentrations. IC50 values were derived by non-linear regression analysis."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3887015"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL2391121"	""	"None"	"413.46"	"1"	"5.30"	"9b"	"N#Cc1cccc(-c2ccc(CSc3nnc(-c4ccc5c(c4)OCO5)o3)cc2)c1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2393652"	"Inhibition of human recombinant CK1epsilon by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2390816"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2013"	"None"	""	""	""
"CHEMBL2391129"	""	"None"	"447.47"	"1"	"5.38"	"8a"	"O=[N+]([O-])c1ccccc1-c1ccc(CSc2nnc(-c3ccc4c(c3)OCCO4)o2)cc1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2393652"	"Inhibition of human recombinant CK1epsilon by FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4937"	"Casein kinase I epsilon"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2390816"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2013"	"None"	""	""	""
