"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL175002"	""	"None"	"511.58"	"2"	"5.29"	"23"	"Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL771457"	"Concentration required to inhibit RNA dependent RNA polymerase was determined from polio virus"	"B"	"BAO_0000357"	"single protein format"	"Human enterovirus C"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL369000"	""	"None"	"598.66"	"2"	"5.95"	"32"	"CC(C)(Oc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1)C(=O)O"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL771457"	"Concentration required to inhibit RNA dependent RNA polymerase was determined from polio virus"	"B"	"BAO_0000357"	"single protein format"	"Human enterovirus C"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL174836"	""	"None"	"321.38"	"0"	"4.30"	"27"	"O=C(O)c1ccc2c(c1)nc(-c1ccncc1)n2C1CCCCC1"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL768022"	"Inhibitory activity against calf thymus RNA polymerase"	"B"	"BAO_0000357"	"single protein format"	"Bos taurus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149223"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL184023"	"DESMETHYL MYXOPYRONIN B"	"None"	"417.50"	"0"	"4.80"	"1a"	"CCCC/C(C)=C/C=C(\C)C(=O)c1c(O)cc(CCC/C=C/NC(=O)OC)oc1=O"	"IC50"	"'='"	"340.0"	"nM"	"6.47"	""	""	"UO_0000065"	"15.49"	"0.29"	"1.67"	"6.11"	"0"	"CHEMBL832977"	"In vitro inhibitory activity against RNA polymerase of Escherichia coli"	"B"	"BAO_0000357"	"single protein format"	"Escherichia coli"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1138635"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL368852"	""	"None"	"643.64"	"2"	"5.97"	"25"	"O=C(N[C@@H](Cc1c[nH]c2ccc(NS(=O)(=O)C(F)(F)F)cc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1"	"IC50"	"'>'"	"250000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL771457"	"Concentration required to inhibit RNA dependent RNA polymerase was determined from polio virus"	"B"	"BAO_0000357"	"single protein format"	"Human enterovirus C"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL368852"	""	"None"	"643.64"	"2"	"5.97"	"25"	"O=C(N[C@@H](Cc1c[nH]c2ccc(NS(=O)(=O)C(F)(F)F)cc12)C(=O)O)c1ccc2c(c1)nc(-c1ccoc1)n2C1CCCCC1"	"IC50"	"'>'"	"250000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL768020"	"Concentration required to inhibit DNA dependent RNA polymerase was determined from calf thymus"	"B"	"BAO_0000357"	"single protein format"	"Bos taurus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL174629"	""	"None"	"326.42"	"0"	"4.97"	"34"	"O=C(O)c1ccc2c(c1)nc(-c1cccs1)n2C1CCCCC1"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL768022"	"Inhibitory activity against calf thymus RNA polymerase"	"B"	"BAO_0000357"	"single protein format"	"Bos taurus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149223"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL174670"	""	"None"	"553.62"	"2"	"5.67"	"26"	"CC(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1"	"IC50"	"'>'"	"250000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL768020"	"Concentration required to inhibit DNA dependent RNA polymerase was determined from calf thymus"	"B"	"BAO_0000357"	"single protein format"	"Bos taurus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL177073"	""	"None"	"589.67"	"2"	"5.08"	"24"	"CS(=O)(=O)Nc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL771457"	"Concentration required to inhibit RNA dependent RNA polymerase was determined from polio virus"	"B"	"BAO_0000357"	"single protein format"	"Human enterovirus C"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL366574"	""	"None"	"570.60"	"2"	"5.17"	"31"	"O=C(O)COc1ccc2[nH]cc(C[C@H](NC(=O)c3ccc4c(c3)nc(-c3ccoc3)n4C3CCCCC3)C(=O)O)c2c1"	"IC50"	"'='"	"100000.0"	"nM"	"4.00"	""	""	"UO_0000065"	"7.01"	"0.13"	"-1.17"	"2.51"	"0"	"CHEMBL771457"	"Concentration required to inhibit RNA dependent RNA polymerase was determined from polio virus"	"B"	"BAO_0000357"	"single protein format"	"Human enterovirus C"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1852"	"DNA-directed RNA polymerase beta chain"	"Escherichia coli K-12"	"SINGLE PROTEIN"	"CHEMBL1149207"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
