"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL488271"	""	"None"	"455.54"	"0"	"3.89"	"11b"	"CNC(=N)SCCCn1c(=O)c2c(c1=O)n1c3ccccc3cc1c1cccc3ccn2c31"	"IC50"	"'='"	"3900.0"	"nM"	"5.41"	""	""	"UO_0000065"	"11.87"	"0.22"	"1.52"	"6.46"	"0"	"CHEMBL962244"	"Inhibition of human EPHB4"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1151764"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL1242208"	""	"None"	"304.36"	"0"	"3.20"	"PP131"	"CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21"	"IC50"	"'='"	"12000.0"	"nM"	"4.92"	""	""	"UO_0000065"	"16.17"	"0.29"	"1.72"	"5.96"	"0"	"CHEMBL1243978"	"Inhibition of recombinant EphB4R by radioactive phosphotransfer assay in presence of 10 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1240340"	"1"	"Scientific Literature"	"Nat Chem Biol"	"2008"	"None"	""	""	""
"CHEMBL1241771"	""	"None"	"296.31"	"0"	"2.67"	"PP151"	"CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21"	"IC50"	"'='"	"14000.0"	"nM"	"4.85"	""	""	"UO_0000065"	"16.38"	"0.30"	"2.18"	"5.20"	"0"	"CHEMBL1243978"	"Inhibition of recombinant EphB4R by radioactive phosphotransfer assay in presence of 10 uM ATP"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1240340"	"1"	"Scientific Literature"	"Nat Chem Biol"	"2008"	"None"	""	""	""
"CHEMBL4454065"	""	"None"	"330.37"	"0"	"4.19"	"BD10"	"Fc1ccccc1-c1cn(Cc2ccc(-c3cccnc3)cc2)nn1"	"IC50"	"'='"	"96.86"	"nM"	"7.01"	""	""	"UO_0000065"	"21.23"	"0.38"	"2.82"	"16.09"	"0"	"CHEMBL4330410"	"Inhibition of EPHB4 (unknown origin) after 4 hrs by ADP-Glo reagent based luminescent assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4330058"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL3321812"	""	"None"	"504.47"	"1"	"4.83"	"7c"	"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-n1c(N)c(C(N)=O)c2nc3ccccc3nc21"	"IC50"	"'='"	"14.0"	"nM"	"7.85"	""	""	"UO_0000065"	"15.57"	"0.29"	"3.02"	"6.09"	"0"	"CHEMBL3361798"	"Inhibition of phosphorylation of full-length myc-tagged human EphB4 overexpressed in mouse embryonic fibroblasts after 90 mins by sandwich ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3351817"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3321814"	""	"None"	"584.56"	"2"	"5.33"	"7e"	"Cc1cn(-c2cc(C(=O)Nc3ccc(C)c(-n4c(N)c(C(N)=O)c5nc6ccccc6nc54)c3)cc(C(F)(F)F)c2)cn1"	"IC50"	"'='"	"170.0"	"nM"	"6.77"	""	""	"UO_0000065"	"11.58"	"0.22"	"1.44"	"4.61"	"0"	"CHEMBL3361798"	"Inhibition of phosphorylation of full-length myc-tagged human EphB4 overexpressed in mouse embryonic fibroblasts after 90 mins by sandwich ELISA"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3351817"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL6246"	"ELLAGIC ACID"	"2.0"	"302.19"	"0"	"1.31"	"EA"	"O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23"	"IC50"	"'='"	"1830.0"	"nM"	"5.74"	""	""	"UO_0000065"	"18.99"	"0.36"	"4.43"	"4.06"	"0"	"CHEMBL1961281"	"Inhibition of human recombinant EPHB4 expressed in Sf9 cells using poly(E,Y)4:1 as substrate after 80 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1955824"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2012"	"CHEMBL3308860"	""	""	""
"CHEMBL1081916"	""	"None"	"537.93"	"2"	"6.72"	"64"	"O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1ccc(Cl)c(C(F)(F)F)c1"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	"11.01"	"0.21"	"-0.80"	"6.15"	"0"	"CHEMBL1109419"	"Inhibition of EphB4 after 1 hr"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153704"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""
"CHEMBL1076138"	""	"None"	"562.03"	"2"	"7.49"	"57"	"O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(Cl)ccc1Oc1ccccc1"	"IC50"	"'='"	"138.0"	"nM"	"6.86"	""	""	"UO_0000065"	"12.21"	"0.23"	"-0.63"	"6.50"	"0"	"CHEMBL1109419"	"Inhibition of EphB4 after 1 hr"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153704"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""
"CHEMBL1079794"	""	"None"	"538.83"	"2"	"7.01"	"69"	"O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cc(Cl)c(Cl)cc1Cl"	"IC50"	"'='"	"517.0"	"nM"	"6.29"	""	""	"UO_0000065"	"11.67"	"0.24"	"-0.72"	"6.53"	"0"	"CHEMBL1109419"	"Inhibition of EphB4 after 1 hr"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL5147"	"Ephrin type-B receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153704"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""
