"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL599224"	""	"None"	"369.43"	"0"	"0.50"	"50"	"CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1072220"	"Inhibition of PERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157561"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL2171123"	""	"None"	"413.48"	"0"	"3.36"	"37"	"COc1cccc(CC(=O)N2CCc3cc(-c4cn(C)c5ncnc(N)c45)ccc32)c1"	"IC50"	"'='"	"0.5"	"nM"	"9.30"	""	""	"UO_0000065"	"22.49"	"0.41"	"5.94"	"10.78"	"0"	"CHEMBL2172956"	"Inhibition of GST tagged PERK cytoplasmic domain mediated EIF2alpha phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2169840"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"None"	""	""	""
"CHEMBL2171144"	""	"None"	"397.48"	"0"	"3.66"	"33"	"Cc1cccc(CC(=O)N2CCc3cc(-c4cn(C)c5ncnc(N)c45)ccc32)c1"	"IC50"	"'='"	"0.2"	"nM"	"9.70"	""	""	"UO_0000065"	"24.40"	"0.44"	"6.04"	"12.59"	"0"	"CHEMBL2172956"	"Inhibition of GST tagged PERK cytoplasmic domain mediated EIF2alpha phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2169840"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"None"	""	""	""
"CHEMBL1667902"	""	"None"	"366.38"	"0"	"4.32"	"4c"	"c1cnc(-c2oc3cnccc3c2Nc2ccc3c(c2)Cc2c[nH]nc2-3)nc1"	"IC50"	"'='"	"1100.0"	"nM"	"5.96"	""	""	"UO_0000065"	"16.26"	"0.29"	"1.64"	"6.44"	"0"	"CHEMBL1670303"	"Inhibition of pERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1667830"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL1667896"	""	"None"	"365.39"	"0"	"2.95"	"3a"	"CC(C)NC(=O)c1oc2cnccc2c1Nc1ccc2c(c1)CN/C2=N\O"	"IC50"	"'='"	"1300.0"	"nM"	"5.89"	""	""	"UO_0000065"	"16.11"	"0.30"	"2.94"	"5.27"	"0"	"CHEMBL1670303"	"Inhibition of pERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1667830"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL1667898"	""	"None"	"336.35"	"0"	"3.88"	"2a"	"CCOC(=O)c1oc2cnccc2c1Nc1ccc2c(c1)CCC2=O"	"IC50"	"'='"	"6800.0"	"nM"	"5.17"	""	""	"UO_0000065"	"15.36"	"0.28"	"1.29"	"6.35"	"0"	"CHEMBL1670303"	"Inhibition of pERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1667830"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL585927"	""	"None"	"523.55"	"1"	"4.88"	"1"	"CNc1ccn(-c2ccccc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cn1"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1038363"	"Inhibition of PEK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1155349"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""
"CHEMBL2441337"	""	"None"	"384.44"	"0"	"2.74"	"3"	"Cn1cc(-c2ccc3c(c2)CCN3C(=O)Cc2cccnc2)c2c(N)ncnc21"	"IC50"	"'='"	"23.4"	"nM"	"7.63"	""	""	"UO_0000065"	"19.85"	"0.36"	"4.89"	"8.49"	"0"	"CHEMBL2444392"	"Inhibition of GST-tagged PERK cytoplasmic domain (536 to 1116) (unknown origin) assessed as biotinylated His6-tagged EIF2alpha phosphorylation preincubated for 30 mins followed by ATP and eIF2alpha addition measured after 1 hr by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2440009"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2013"	"None"	""	""	""
"CHEMBL1667906"	""	"None"	"348.36"	"0"	"4.61"	"8"	"CCOC(=O)c1oc2cnccc2c1Nc1ccc2c(O)cccc2c1"	"IC50"	"'='"	"54.0"	"nM"	"7.27"	""	""	"UO_0000065"	"20.86"	"0.38"	"2.66"	"8.59"	"0"	"CHEMBL1670303"	"Inhibition of pERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1667830"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL4876496"	""	"None"	"468.50"	"0"	"4.12"	"21"	"Cc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)(C)C)c1"	"IC50"	"'='"	"33.0"	"nM"	"7.48"	""	""	"UO_0000065"	"15.97"	"0.30"	"3.36"	"6.38"	"0"	"CHEMBL4822225"	"Inhibition of human His-tagged PERK expressed in Escherichia coli assessed as eIF2alpha phosphorylation by TR-FRET assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4819104"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2021"	"None"	""	"INHIBITOR"	""
"CHEMBL4870565"	""	"None"	"470.48"	"0"	"3.43"	"29"	"COc1cc(NC(=O)[C@H](O)c2cc(F)cc(F)c2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1"	"IC50"	"'='"	"85.0"	"nM"	"7.07"	""	""	"UO_0000065"	"15.03"	"0.28"	"3.64"	"5.59"	"0"	"CHEMBL4822225"	"Inhibition of human His-tagged PERK expressed in Escherichia coli assessed as eIF2alpha phosphorylation by TR-FRET assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4819104"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2021"	"None"	""	"INHIBITOR"	""
"CHEMBL1667915"	""	"None"	"328.34"	"0"	"3.90"	"20"	"c1cnc(-c2oc3cnccc3c2Nc2cccc3[nH]ncc23)nc1"	"IC50"	"'='"	"2500.0"	"nM"	"5.60"	""	""	"UO_0000065"	"17.06"	"0.31"	"1.70"	"6.05"	"0"	"CHEMBL1670303"	"Inhibition of pERK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1667830"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL4868021"	""	"None"	"432.52"	"0"	"3.62"	"12"	"Cc1cc(NC(=O)[C@](C)(O)c2ccccc2)ccc1-c1cnc(N)c(C(=O)NC(C)C)c1"	"IC50"	"'='"	"130.0"	"nM"	"6.89"	""	""	"UO_0000065"	"15.92"	"0.29"	"3.27"	"5.87"	"0"	"CHEMBL4822225"	"Inhibition of human His-tagged PERK expressed in Escherichia coli assessed as eIF2alpha phosphorylation by TR-FRET assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL6030"	"Eukaryotic translation initiation factor 2-alpha kinase 3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4819104"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2021"	"None"	""	"INHIBITOR"	""
