"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4092508"	""	"None"	"658.56"	"2"	"5.74"	"2t"	"COc1cc(OC)c(Cl)c(N2Cc3cnc(Nc4ccc(F)cc4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl"	"IC50"	"'='"	"78.1"	"nM"	"7.11"	""	""	"UO_0000065"	"10.79"	"0.22"	"1.37"	"6.88"	"0"	"CHEMBL4043780"	"Inhibition of human recombinant His-tagged FGFR4 cytoplasmic domain (781 to 1338 residues) expressed in baculovirus using Tyr-4 peptide after 1 hr by FRET-based Z'-Lyte assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4043093"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4060079"	""	"None"	"648.59"	"1"	"4.45"	"2k"	"COc1cc(OC)c(Cl)c(N2Cc3cnc(NC4CCOCC4)nc3N(C3CCN(C(=O)/C=C/CN(C)C)CC3)C2=O)c1Cl"	"IC50"	"'='"	"166.0"	"nM"	"6.78"	""	""	"UO_0000065"	"10.45"	"0.21"	"2.33"	"6.02"	"0"	"CHEMBL4043780"	"Inhibition of human recombinant His-tagged FGFR4 cytoplasmic domain (781 to 1338 residues) expressed in baculovirus using Tyr-4 peptide after 1 hr by FRET-based Z'-Lyte assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4043093"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4591002"	""	"None"	"373.42"	"0"	"3.39"	"6k"	"C=CC(=O)N1CCC(n2cc(-c3cc4ccccc4o3)c3c(N)ncnc32)C1"	"IC50"	"'='"	"779.0"	"nM"	"6.11"	""	""	"UO_0000065"	"16.36"	"0.30"	"2.72"	"6.77"	"0"	"CHEMBL4382840"	"Inhibition of recombinant FGFR4 (unknown origin) using poly (Glu,Tyr) 4:1 as substrate after 60 mins by ELISA"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4382193"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL3912831"	""	"None"	"500.48"	"1"	"3.86"	"375"	"COc1cc(OC)cc(N(CCNC(=O)C(F)(F)F)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"6.457"	"nM"	"8.19"	""	""	"UO_0000065"	"16.36"	"0.31"	"4.33"	"8.68"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3973321"	""	"None"	"486.58"	"0"	"4.20"	"132"	"COc1cc(OC)cc(N(CCCN2CCCC2=O)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"18.62"	"nM"	"7.73"	""	""	"UO_0000065"	"15.89"	"0.29"	"3.53"	"9.03"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3915268"	""	"None"	"472.59"	"0"	"4.58"	"398"	"COc1cc(OC)cc(N(CCC2CCNCC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"16.93"	"0.31"	"3.42"	"10.35"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3962549"	""	"None"	"407.45"	"0"	"3.70"	"401"	"CCOc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"72.44"	"nM"	"7.14"	""	""	"UO_0000065"	"17.52"	"0.33"	"3.44"	"9.36"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3979996"	""	"None"	"457.53"	"0"	"4.63"	"411"	"COc1cc(C2OCCO2)cc(N(CC2CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"1000.0"	"nM"	"6.00"	""	""	"UO_0000065"	"13.11"	"0.24"	"1.37"	"8.05"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3922586"	""	"None"	"439.90"	"0"	"3.83"	"423"	"COc1cc(OC)c(Cl)c(N(CCO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"6.607"	"nM"	"8.18"	""	""	"UO_0000065"	"18.60"	"0.36"	"4.35"	"9.56"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3934039"	""	"None"	"508.57"	"1"	"4.92"	"431"	"COc1cc(OC)cc(N(CCN2CCC(F)(F)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"32.36"	"nM"	"7.49"	""	""	"UO_0000065"	"14.73"	"0.28"	"2.57"	"10.93"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3944739"	""	"None"	"432.31"	"0"	"3.81"	"453"	"COc1ccc(Cl)c(N(CCO)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1.Cl"	"IC50"	"'='"	"131.83"	"nM"	"6.88"	""	""	"UO_0000065"	"17.38"	"0.34"	"3.07"	"7.89"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3909551"	""	"None"	"540.07"	"1"	"3.39"	"134"	"CNC(=O)Cn1cc(-c2cnc3ccc(N(CCNC(C)C)c4cc(OC)cc(OC)c4)cc3n2)cn1.Cl"	"IC50"	"'='"	"8.318"	"nM"	"8.08"	""	""	"UO_0000065"	"16.04"	"0.30"	"4.69"	"7.59"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3986036"	""	"None"	"494.55"	"0"	"4.91"	"44a"	"COc1cc(OC)cc(N(CCCN2CCC(F)(F)C2)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1"	"IC50"	"'='"	"30.9"	"nM"	"7.51"	""	""	"UO_0000065"	"15.19"	"0.28"	"2.60"	"9.46"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3893070"	""	"None"	"472.59"	"0"	"4.53"	"465"	"COc1cc(OC)cc(N(CC2CCN(C)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"39.81"	"nM"	"7.40"	""	""	"UO_0000065"	"15.66"	"0.29"	"2.87"	"10.80"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3981077"	""	"None"	"379.40"	"0"	"3.30"	"477"	"COc1cc(F)cc(N(CCO)c2ccc3ncc(-c4cn[nH]c4)nc3c2)c1"	"IC50"	"'='"	"34.67"	"nM"	"7.46"	""	""	"UO_0000065"	"19.66"	"0.36"	"4.16"	"8.56"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3970423"	""	"None"	"514.67"	"2"	"5.70"	"480"	"COc1cc(OC)cc(N(CCC2CCN(C(C)C)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"15.54"	"0.29"	"2.30"	"11.67"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
"CHEMBL3939764"	""	"None"	"435.48"	"0"	"2.54"	"98"	"COc1cc(OC)cc(N(C[C@H](O)CO)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1"	"IC50"	"'='"	"5.754"	"nM"	"8.24"	""	""	"UO_0000065"	"18.92"	"0.35"	"5.70"	"7.79"	"0"	"CHEMBL3880340"	"Inhibition of human FGFR4 using Btn-Flt3 as substrate after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3973"	"Fibroblast growth factor receptor 4"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3879910"	"38"	"Patent Bioactivity Data"	""	"2014"	"None"	""	""	""
