"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL281872"	"ZD-4190"	"1.0"	"459.28"	"0"	"3.95"	"34"	"COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1"	"IC50"	"'='"	"1500.0"	"nM"	"5.82"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL690705"	"Inhibition of FGF-stimulated HUVEC cell proliferation"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"HUVEC"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1132549"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"CHEMBL3307501"	""	""	""
"CHEMBL106966"	""	"None"	"418.46"	"0"	"2.87"	"26"	"COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL676889"	"Inhibition of Fibroblast growth factor receptor kinase"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1135502"	"1"	"Scientific Literature"	"J Med Chem"	"2002"	"None"	""	""	""
"CHEMBL139653"	""	"None"	"473.62"	"0"	"4.89"	"72"	"O=c1ccc2cnc(Nc3ccc(N4CCC(CCCO)CC4)cc3)nc2n1C1CC2CCC1C2"	"IC50"	"'='"	"8620.0"	"nM"	"5.06"	""	""	"UO_0000065"	"10.69"	"0.20"	"0.17"	"6.08"	"0"	"CHEMBL676968"	"Inhibition of Fibroblast growth factor receptor (FGFr)"	"B"	"BAO_0000224"	"protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133535"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL140808"	""	"None"	"418.55"	"0"	"3.79"	"70"	"CN1CCN(c2ccc(Nc3ncc4ccc(=O)n(C5CCCCC5)c4n3)cc2)CC1"	"IC50"	"'='"	"51.0"	"nM"	"7.29"	""	""	"UO_0000065"	"17.42"	"0.32"	"3.50"	"11.00"	"0"	"CHEMBL676968"	"Inhibition of Fibroblast growth factor receptor (FGFr)"	"B"	"BAO_0000224"	"protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133535"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL316556"	""	"None"	"597.45"	"None"	"None"	"18"	"COC(=O)C1=C(c2ccccc2)c2cc(Cl)ccc2C1=O.COC(=O)C1=C(c2ccccc2)c2ccc(Cl)cc2C1=O"	"IC50"	"'='"	"6200.0"	"nM"	"5.21"	""	""	"UO_0000065"	"8.72"	"None"	"None"	"None"	"0"	"CHEMBL676885"	"Inhibitory activity against fibroblast growth factor receptor (FGFr)"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1129223"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1997"	"None"	""	""	""
"CHEMBL190281"	""	"None"	"469.39"	"0"	"3.82"	"16"	"O=c1c(Br)cc2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n1C1CCCC1"	"IC50"	"'='"	"80.0"	"nM"	"7.10"	""	""	"UO_0000065"	"15.12"	"0.32"	"3.28"	"9.45"	"0"	"CHEMBL827895"	"Inhibition of Fibroblast growth factor receptor"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1143566"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL1908963"	""	"None"	"531.40"	"1"	"3.37"	"50"	"Cc1c(I)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cn3)ncc12"	"IC50"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3880708"	"Inhibition of FGFR (unknown origin) using poly (4:1) glutamate-tyrosine substrate and [gamma32P]ATP incubated for 10 mins by beta plate counter based assay"	"B"	"BAO_0000224"	"protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL3880393"	"38"	"Patent Bioactivity Data"	""	"2003"	"None"	""	""	""
"CHEMBL189937"	""	"None"	"483.41"	"0"	"4.13"	"15'"	"Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12"	"IC50"	"'='"	"1740.0"	"nM"	"5.76"	""	""	"UO_0000065"	"11.91"	"0.25"	"1.63"	"7.67"	"0"	"CHEMBL3880708"	"Inhibition of FGFR (unknown origin) using poly (4:1) glutamate-tyrosine substrate and [gamma32P]ATP incubated for 10 mins by beta plate counter based assay"	"B"	"BAO_0000224"	"protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL3880393"	"38"	"Patent Bioactivity Data"	""	"2003"	"None"	""	""	""
"CHEMBL99352"	""	"None"	"263.30"	"0"	"2.43"	"11"	"CNC(=O)C1=C(c2ccccc2)c2ccccc2C1=O"	"IC50"	"'='"	"21000.0"	"nM"	"4.68"	""	""	"UO_0000065"	"17.77"	"0.32"	"2.25"	"10.13"	"0"	"CHEMBL676885"	"Inhibitory activity against fibroblast growth factor receptor (FGFr)"	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1129223"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1997"	"None"	""	""	""
"CHEMBL189584"	"PD-173074"	"None"	"523.68"	"2"	"5.16"	"12"	"CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1"	"IC50"	"'='"	"13000.0"	"nM"	"4.89"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL834816"	"Inhibition of human FGF receptor expressing ovarian carcinoma cell proliferation "	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2095217"	"Fibroblast growth factor receptor"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1145157"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
