"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL320646"	""	"None"	"288.31"	"0"	"2.96"	"18"	"O=C1Nc2ncc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1"	"IC50"	"'='"	"350.0"	"nM"	"6.46"	""	""	"UO_0000065"	"22.39"	"0.40"	"3.50"	"9.14"	"0"	"CHEMBL704113"	"Inhibitory activity against Janus Kinase 3 protein tyrosine kinase."	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1136217"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2003"	"None"	""	""	""
"CHEMBL1934353"	""	"None"	"568.10"	"1"	"3.85"	"14b"	"CN(c1ccccc1-c1cc(Cl)c2cnc(Nc3ccc(C4CCN(CC(N)=O)CC4)cc3)nn12)S(C)(=O)=O"	"IC50"	"'='"	"2.9"	"nM"	"8.54"	""	""	"UO_0000065"	"15.03"	"0.30"	"4.69"	"6.78"	"0"	"CHEMBL1935988"	"Inhibition of JAK3"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1932974"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2012"	"None"	""	""	""
"CHEMBL1938659"	""	"None"	"517.68"	"1"	"2.68"	"25"	"CC(C)(C)NS(=O)(=O)c1ccc(-c2cc3c(N)ncc(C(=O)NCCN4CCOCC4)c3s2)cc1"	"IC50"	"'='"	"963.0"	"nM"	"6.02"	""	""	"UO_0000065"	"11.62"	"0.23"	"3.34"	"4.75"	"0"	"CHEMBL1941385"	"Inhibition of human recombinant N-terminal GST-tagged JAK3 expressed in Sf9 cells using Biotin-LC-EQEDEPEGDYFEWLE as substrate after 90 mins by TR-FRET assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1938231"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"CHEMBL3308860"	""	""	""
"CHEMBL449888"	""	"None"	"385.48"	"0"	"3.52"	"3"	"CN1CCN(c2ccc(Nc3ncc4[nH]nc(-c5ccccc5)c4n3)cc2)CC1"	"IC50"	"'='"	"98.0"	"nM"	"7.01"	""	""	"UO_0000065"	"18.18"	"0.33"	"3.49"	"9.61"	"0"	"CHEMBL987114"	"Inhibition of JAK3"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142524"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL3652315"	""	"None"	"435.59"	"0"	"2.64"	"BDBM113125"	"COCC1CCN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)CC1"	"IC50"	"'='"	"434.0"	"nM"	"6.36"	""	"234429"	"UO_0000065"	"14.61"	"0.29"	"3.72"	"6.96"	"0"	"CHEMBL3706146"	"Enzymatic Assay: A peptide mobility shift assay was used to quantify the phosphorylation of the JAKtide (JAK2 and JAK3) or the IRS-1 peptide (JAK1 and Tyk2). Reactions were carried out in a 384-well plate (Matrical MP-101) in a 10 L total volume. Reaction mixtures contained 20 mM HEPES, pH 7.4, 10 mM magnesium chloride, 0.01% bovine serum albumin (BSA), 0.0005% Tween-20, ATP (4 M for JAK2 and JAK3, 40 M for JAK1 and 7 M for Tyk2)), 2% DMSO and 1 M peptide substrate (JAKtide for JAK2 and JAK3 and IRS-1 peptide for JAK1 and Tyk2). Compounds were diluted serially in 100% dimethyl sulfoxide and tested in an 11 point dose response in duplicate or quadruplicate (200 nl of compound/DMSO was added per 10 L reaction). The reactions were initiated by the addition of enzyme to the final concentration of 2 nM JAK2, 1 nM JAK3, 12 nM Tyk2 or 20 nM JAK1. The assay was run for 240 minutes for JAK1, 150 minutes for JAK2, 90 minutes for JAK3 and 70 minutes for Tyk2."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639159"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL1630797"	""	"None"	"343.43"	"0"	"1.67"	"18f"	"CC1CCN(C(=O)C2CCOC2)CC1N(C)c1ncnc2[nH]ccc12"	"IC50"	"'='"	"40.0"	"nM"	"7.40"	""	""	"UO_0000065"	"21.54"	"0.40"	"5.73"	"9.95"	"0"	"CHEMBL1641115"	"Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1629452"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308860"	""	""	""
"CHEMBL1630768"	""	"None"	"242.33"	"0"	"2.73"	"2d"	"c1nc(N2CCC3CCCCC32)c2cc[nH]c2n1"	"IC50"	"'='"	"350.0"	"nM"	"6.46"	""	""	"UO_0000065"	"26.64"	"0.49"	"3.73"	"14.41"	"0"	"CHEMBL1641115"	"Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1629452"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308860"	""	""	""
"CHEMBL1630776"	""	"None"	"300.45"	"0"	"4.53"	"6e"	"CCCCCC1CCCCC1N(C)c1ncnc2[nH]ccc12"	"IC50"	"'='"	"800.0"	"nM"	"6.10"	""	""	"UO_0000065"	"20.29"	"0.38"	"1.57"	"13.61"	"0"	"CHEMBL1641115"	"Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1629452"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308860"	""	""	""
"CHEMBL1630777"	""	"None"	"314.48"	"0"	"4.64"	"6f"	"CC(C)CCC1CCC(C)CC1N(C)c1ncnc2[nH]ccc12"	"IC50"	"'='"	"2000.0"	"nM"	"5.70"	""	""	"UO_0000065"	"18.12"	"0.34"	"1.06"	"12.72"	"0"	"CHEMBL1641115"	"Inhibition of GST-tagged human JAK3 catalytic domain expressed in Sf9 cells by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1629452"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"CHEMBL3308860"	""	""	""
"CHEMBL3642384"	""	"None"	"506.66"	"1"	"3.89"	"BDBM99662"	"CN1CCN(c2ccc(Nc3nc4c(NCC5CCN(C(=O)OC(C)(C)C)C5)cccn4n3)cc2)CC1"	"IC50"	"'='"	"3256.6"	"nM"	"5.49"	""	"216714"	"UO_0000065"	"10.83"	"0.20"	"1.60"	"6.08"	"0"	"CHEMBL3707951"	"In Vitro Enzyme Assay: The ability of compounds to inhibit the kinase activity of baculovirus-expressed human FAK and JAK kinase using the time-resolved fluorescence (TRF) assay system."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638802"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
"CHEMBL3652337"	""	"None"	"484.65"	"0"	"1.28"	"BDBM113148"	"CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@H](CS(N)(=O)=O)C2)CC1"	"IC50"	"'='"	"128.0"	"nM"	"6.89"	""	"234452"	"UO_0000065"	"14.22"	"0.29"	"5.61"	"4.84"	"0"	"CHEMBL3706146"	"Enzymatic Assay: A peptide mobility shift assay was used to quantify the phosphorylation of the JAKtide (JAK2 and JAK3) or the IRS-1 peptide (JAK1 and Tyk2). Reactions were carried out in a 384-well plate (Matrical MP-101) in a 10 L total volume. Reaction mixtures contained 20 mM HEPES, pH 7.4, 10 mM magnesium chloride, 0.01% bovine serum albumin (BSA), 0.0005% Tween-20, ATP (4 M for JAK2 and JAK3, 40 M for JAK1 and 7 M for Tyk2)), 2% DMSO and 1 M peptide substrate (JAKtide for JAK2 and JAK3 and IRS-1 peptide for JAK1 and Tyk2). Compounds were diluted serially in 100% dimethyl sulfoxide and tested in an 11 point dose response in duplicate or quadruplicate (200 nl of compound/DMSO was added per 10 L reaction). The reactions were initiated by the addition of enzyme to the final concentration of 2 nM JAK2, 1 nM JAK3, 12 nM Tyk2 or 20 nM JAK1. The assay was run for 240 minutes for JAK1, 150 minutes for JAK2, 90 minutes for JAK3 and 70 minutes for Tyk2."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639159"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL3652306"	""	"None"	"469.63"	"0"	"1.65"	"BDBM113115"	"C[C@H]1CN(S(=O)(=O)C[C@H]2CC[C@H](N(C)c3ncnc4[nH]ccc34)CC2)C[C@H]1S(C)(=O)=O"	"IC50"	"'='"	"275.0"	"nM"	"6.56"	""	"234420"	"UO_0000065"	"13.97"	"0.29"	"4.91"	"5.64"	"0"	"CHEMBL3706146"	"Enzymatic Assay: A peptide mobility shift assay was used to quantify the phosphorylation of the JAKtide (JAK2 and JAK3) or the IRS-1 peptide (JAK1 and Tyk2). Reactions were carried out in a 384-well plate (Matrical MP-101) in a 10 L total volume. Reaction mixtures contained 20 mM HEPES, pH 7.4, 10 mM magnesium chloride, 0.01% bovine serum albumin (BSA), 0.0005% Tween-20, ATP (4 M for JAK2 and JAK3, 40 M for JAK1 and 7 M for Tyk2)), 2% DMSO and 1 M peptide substrate (JAKtide for JAK2 and JAK3 and IRS-1 peptide for JAK1 and Tyk2). Compounds were diluted serially in 100% dimethyl sulfoxide and tested in an 11 point dose response in duplicate or quadruplicate (200 nl of compound/DMSO was added per 10 L reaction). The reactions were initiated by the addition of enzyme to the final concentration of 2 nM JAK2, 1 nM JAK3, 12 nM Tyk2 or 20 nM JAK1. The assay was run for 240 minutes for JAK1, 150 minutes for JAK2, 90 minutes for JAK3 and 70 minutes for Tyk2."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639159"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL3645051"	""	"None"	"467.50"	"1"	"5.63"	"BDBM99818"	"COc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc(C4CCNCC4)cc3)nc12"	"IC50"	"'='"	"740.39"	"nM"	"6.13"	""	"216839"	"UO_0000065"	"13.11"	"0.25"	"0.50"	"9.66"	"0"	"CHEMBL3707951"	"In Vitro Enzyme Assay: The ability of compounds to inhibit the kinase activity of baculovirus-expressed human FAK and JAK kinase using the time-resolved fluorescence (TRF) assay system."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638802"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
"CHEMBL1835141"	""	"None"	"400.49"	"0"	"3.82"	"52"	"Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(NC(C4CC4)C4CC4)c23)cn1"	"IC50"	"'='"	"280.0"	"nM"	"6.55"	""	""	"UO_0000065"	"16.36"	"0.30"	"2.73"	"6.45"	"0"	"CHEMBL1840263"	"Inhibition of JAK3 using biotin-EQEDEPEGDYFEWLE- NH2 as substrate"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1833803"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"None"	""	""	""
"CHEMBL1835142"	""	"None"	"428.42"	"0"	"3.97"	"53"	"Cn1cc(-c2ccc3c(c2)[nH]c2c(C(N)=O)cnc(N[C@H](C4CC4)C(F)(F)F)c23)cn1"	"IC50"	"'='"	"230.0"	"nM"	"6.64"	""	""	"UO_0000065"	"15.49"	"0.29"	"2.67"	"6.53"	"0"	"CHEMBL1840263"	"Inhibition of JAK3 using biotin-EQEDEPEGDYFEWLE- NH2 as substrate"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1833803"	"1"	"Scientific Literature"	"J Med Chem"	"2011"	"None"	""	""	""
"CHEMBL3665180"	""	"None"	"430.54"	"0"	"1.86"	"BDBM112574"	"CC(C)CS(=O)(=O)N1CCC[C@H](Nc2nc(N)ncc2-c2cnc3[nH]ccc3n2)C1"	"IC50"	"'='"	"0.001155"	"nM"	""	"Outside typical range"	"233694"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3705847"	"Inhibition Assay: The kinase activity of all three JAK kinases is measured using a radioactive, end-point assay and with trace amounts of 33P-ATP."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638973"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
"CHEMBL3665174"	""	"None"	"406.90"	"0"	"2.51"	"BDBM112567"	"CS(=O)(=O)N1CCC[C@H](Nc2ncccc2-c2cnc3[nH]cc(Cl)c3n2)C1"	"IC50"	"'='"	"0.00773"	"nM"	""	"Outside typical range"	"233687"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3705847"	"Inhibition Assay: The kinase activity of all three JAK kinases is measured using a radioactive, end-point assay and with trace amounts of 33P-ATP."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2148"	"Tyrosine-protein kinase JAK3"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3638973"	"37"	"BindingDB Database"	""	"2013"	"None"	""	""	""
