"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3774951"	""	"None"	"311.34"	"0"	"3.40"	"27"	"COc1cc2ncnc(Nc3cc(O)ccc3C)c2cc1OC"	"IC50"	"'='"	"460.0"	"nM"	"6.34"	""	""	"UO_0000065"	"20.35"	"0.38"	"2.94"	"8.28"	"0"	"CHEMBL3778240"	"Inhibition of KIF5B/RET (unknown origin) expressed in mouse BA/F3 cells assessed as reduction in cell viability after 48 hrs by Cell titre glo-based luminescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3774350"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3775940"	""	"None"	"329.33"	"0"	"3.54"	"36"	"COc1cc2ncnc(Nc3c(F)ccc(O)c3C)c2cc1OC"	"IC50"	"'='"	"2100.0"	"nM"	"5.68"	""	""	"UO_0000065"	"17.24"	"0.32"	"2.14"	"7.42"	"0"	"CHEMBL3778240"	"Inhibition of KIF5B/RET (unknown origin) expressed in mouse BA/F3 cells assessed as reduction in cell viability after 48 hrs by Cell titre glo-based luminescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3774350"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3797688"	""	"None"	"428.46"	"0"	"3.25"	"37"	"COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCN1CCOCC1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3804159"	"Inhibition of recombinant KIF5B/RET (unknown origin) expressed in IL3 deficient BAF3 cells assessed as reduction in cell viability after 48 hrs by CellTiter-Glo assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3797122"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3799933"	""	"None"	"442.49"	"0"	"3.64"	"38"	"COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCOCC1"	"IC50"	"'='"	"4000.0"	"nM"	"5.40"	""	""	"UO_0000065"	"12.20"	"0.23"	"1.76"	"6.07"	"0"	"CHEMBL3804159"	"Inhibition of recombinant KIF5B/RET (unknown origin) expressed in IL3 deficient BAF3 cells assessed as reduction in cell viability after 48 hrs by CellTiter-Glo assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3797122"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3775086"	""	"None"	"311.34"	"0"	"3.40"	"24"	"COc1cc2ncnc(Nc3cc(C)cc(O)c3)c2cc1OC"	"IC50"	"'='"	"1500.0"	"nM"	"5.82"	""	""	"UO_0000065"	"18.71"	"0.35"	"2.42"	"7.61"	"0"	"CHEMBL3778240"	"Inhibition of KIF5B/RET (unknown origin) expressed in mouse BA/F3 cells assessed as reduction in cell viability after 48 hrs by Cell titre glo-based luminescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3774350"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3774913"	""	"None"	"329.33"	"0"	"3.54"	"35"	"COc1cc2ncnc(Nc3cc(F)cc(O)c3C)c2cc1OC"	"IC50"	"'='"	"2100.0"	"nM"	"5.68"	""	""	"UO_0000065"	"17.24"	"0.32"	"2.14"	"7.42"	"0"	"CHEMBL3778240"	"Inhibition of KIF5B/RET (unknown origin) expressed in mouse BA/F3 cells assessed as reduction in cell viability after 48 hrs by Cell titre glo-based luminescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3774350"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL3774904"	""	"None"	"315.30"	"0"	"3.24"	"25"	"COc1cc2ncnc(Nc3cc(O)ccc3F)c2cc1OC"	"IC50"	"'='"	"53.0"	"nM"	"7.28"	""	""	"UO_0000065"	"23.08"	"0.43"	"4.04"	"9.51"	"0"	"CHEMBL3778240"	"Inhibition of KIF5B/RET (unknown origin) expressed in mouse BA/F3 cells assessed as reduction in cell viability after 48 hrs by Cell titre glo-based luminescence assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3774350"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL4877264"	""	"None"	"439.95"	"0"	"2.78"	"10"	"CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4ccc(Cl)c(N)c4)c4c(N)ncnc43)C2)CC1"	"IC50"	"'='"	"44.0"	"nM"	"7.36"	""	""	"UO_0000065"	"16.72"	"0.32"	"4.58"	"6.92"	"0"	"CHEMBL4834259"	"Inhibition of KIF5B-RET fusion protein (unknown origin) expressed in mouse BaF3 cells assessed as reduction in cell proliferation incubated for 48 hrs by cell proliferation assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL4831559"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2021"	"None"	"TIME = 48.0 hr"	"INHIBITOR"	""
"CHEMBL3799244"	""	"None"	"440.52"	"0"	"4.79"	"30"	"COc1cc2c(Nc3c(F)ccc(O)c3C)ncnc2cc1OCCCN1CCCCC1"	"IC50"	"'='"	"5100.0"	"nM"	"5.29"	""	""	"UO_0000065"	"12.01"	"0.23"	"0.50"	"6.64"	"0"	"CHEMBL3804159"	"Inhibition of recombinant KIF5B/RET (unknown origin) expressed in IL3 deficient BAF3 cells assessed as reduction in cell viability after 48 hrs by CellTiter-Glo assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL3797122"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2016"	"CHEMBL3307634"	""	""	""
"CHEMBL4636056"	""	"None"	"579.75"	"2"	"5.32"	"9; YA-14-WJ39"	"CN1C(C)(C)CC(Nc2nc3c(-c4ccc(C(=O)N5C[C@@H]6C[C@H]5CO6)cc4)cnn3c(N)c2-c2ccccc2)CC1(C)C"	"IC50"	"'='"	"5.4"	"nM"	"8.27"	""	""	"UO_0000065"	"14.26"	"0.26"	"2.95"	"8.18"	"0"	"CHEMBL4605789"	"Inhibition of KIF5B-RET (unknown origin) transfected in mouse Ba/F3 cells assessed as reduction in cell viability incubated for 48 hrs by brightglo-luciferase reporter gene assay"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"BaF3"	"None"	""	""	""	"CHEMBL3430888"	"Kinesin-1 heavy chain/ Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"CHIMERIC PROTEIN"	"CHEMBL4602715"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2020"	"CHEMBL3307634"	""	""	""
