"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL2419669"	""	"None"	"621.66"	"2"	"7.11"	"28"	"COc1cc2c(Oc3ccc(NC(=O)N/N=C/c4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCC(C)CC1"	"IC50"	"'='"	"18.7"	"nM"	"7.73"	""	""	"UO_0000065"	"12.43"	"0.23"	"0.62"	"7.94"	"0"	"CHEMBL2421432"	"Inhibition of RON (unknown origin) using poly(Glu,Tyr) as substrate after 30 mins by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2417367"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2013"	"None"	""	""	""
"CHEMBL4438748"	""	"None"	"457.49"	"0"	"4.13"	"12j"	"CN(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4379420"	"Inhibition of recombinant human Ron (983 to end residues) using GGMEDIYFEFMGGKKK as substrate incubated for 40 mins in presence of [gamma33P]ATP by radiometric scintillation counting analysis"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4376834"	"1"	"Scientific Literature"	"J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL4082724"	""	"None"	"706.75"	"2"	"6.28"	"41"	"COc1cc2c(Oc3ccc(NC(=O)c4nc5ccccc5n(-c5ccc(F)cc5)c4=O)cc3F)ccnc2cc1OCCCN1CCN(C)CC1"	"IC50"	"'='"	"82.56"	"nM"	"7.08"	""	""	"UO_0000065"	"10.02"	"0.19"	"0.80"	"6.38"	"0"	"CHEMBL4057891"	"Inhibition of Ron (unknown origin) using poly (Glu, Tyr) 4:1 as substrate after 30 mins by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4052772"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2017"	"None"	""	""	""
"CHEMBL1095036"	""	"None"	"709.75"	"2"	"7.49"	"15"	"CS(=O)(=O)CCNCc1ccc(-c2cc3nccc(Oc4ccc(NC(=O)c5cnn(-c6ccccc6)c5C(F)(F)F)cc4F)c3s2)cc1"	"IC50"	"'='"	"80.0"	"nM"	"7.10"	""	""	"UO_0000065"	"10.00"	"0.20"	"-0.39"	"6.16"	"0"	"CHEMBL1103914"	"Inhibition of TPR-tagged RON catalytic domain expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157925"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"CHEMBL3307715"	""	""	""
"CHEMBL1095358"	""	"None"	"714.74"	"2"	"8.13"	"18"	"CN(C)[C@H]1CCN(C(=O)c2ccc(-c3cc4nccc(Oc5ccc(NC(=O)c6cnn(-c7ccccc7)c6C(F)(F)F)cc5F)c4s3)cc2)C1"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	"9.79"	"0.19"	"-1.13"	"7.56"	"0"	"CHEMBL1103914"	"Inhibition of TPR-tagged RON catalytic domain expressed in HEK293 cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HEK293"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1157925"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"CHEMBL3307715"	""	""	""
"CHEMBL1230609"	"FORETINIB"	"2.0"	"632.66"	"2"	"5.77"	"Foretinib"	"COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1"	"IC50"	"'='"	"3.62"	"nM"	"8.44"	""	""	"UO_0000065"	"13.34"	"0.25"	"2.67"	"7.59"	"1"	"CHEMBL4686391"	"Inhibition of Ron (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4680235"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2020"	"None"	""	"INHIBITOR"	""
"CHEMBL3608551"	""	"None"	"587.64"	"2"	"7.13"	"28"	"Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)c5cnn(-c6ccccc6)c5-c5cccnc5)cc4F)c3s2)c1"	"IC50"	"'='"	"14.0"	"nM"	"7.85"	""	""	"UO_0000065"	"13.37"	"0.25"	"0.72"	"7.87"	"0"	"CHEMBL3610848"	"Inhibition of human RON"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3608230"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL3608547"	""	"None"	"604.64"	"2"	"7.87"	"24"	"Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=O)c5cnn(-c6ccccc6)c5-c5ccccc5F)cc4F)c3s2)c1"	"IC50"	"'='"	"25.0"	"nM"	"7.60"	""	""	"UO_0000065"	"12.57"	"0.24"	"-0.27"	"8.75"	"0"	"CHEMBL3610848"	"Inhibition of human RON"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3608230"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL602472"	""	"None"	"419.28"	"1"	"5.41"	"14"	"C[C@@H](Oc1ccc2ncc(C3CC3C(N)=O)cc2c1)c1c(Cl)ccc(F)c1Cl"	"IC50"	"'='"	"230.0"	"nM"	"6.64"	""	""	"UO_0000065"	"15.83"	"0.32"	"1.23"	"10.18"	"0"	"CHEMBL1066398"	"Inhibition of recombinant RON by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156877"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""
"CHEMBL4786951"	""	"None"	"702.81"	"2"	"6.84"	"11c"	"CCCCNC(=O)N1CCC(Oc2cc3nccc(Oc4ccc(NC(=O)NN5C(=O)CSC5c5ccc(F)cc5)cc4)c3cc2OC)CC1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL4709091"	"Inhibition of Ron (unknown origin) using FAM-labelled peptide and ATP incubated for 10 mins by mobility shift assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2689"	"Macrophage-stimulating protein receptor"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4706527"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2020"	"None"	"TIME = 0.1667 hr"	""	""
