"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL608076"	""	"None"	"416.44"	"1"	"-0.32"	"54b"	"COc1ccc(CCNc2nc(N)nc3c2ncn3C2O[C@H](CO)[C@@H](O)[C@H]2O)cc1"	"IC50"	"'='"	"1500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL765582"	"evaluated for the inhibition of Trypanosoma brucei Phosphoglycerate kinase (PGK)"	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL609202"	""	"None"	"324.34"	"0"	"-1.16"	"5c"	"CC(C)Nc1nc(N)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766246"	"Inhibition of Trypanosoma brucei Phosphoglycerate kinase (PGK)."	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL608368"	""	"None"	"324.34"	"0"	"-1.16"	"5b"	"CC(C)Nc1nc(N)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766247"	"Inhibition of Trypanosoma brucei phosphoglycerate kinase (PGK); inactive at 4 mM"	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL607739"	""	"None"	"354.37"	"2"	"-1.80"	"14c"	"Nc1nc(NCCCCO)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766247"	"Inhibition of Trypanosoma brucei phosphoglycerate kinase (PGK); inactive at 4 mM"	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL609255"	""	"None"	"590.55"	"3"	"-3.93"	"18a'"	"OC[C@@H]1OC(n2cnc3c(NCC(O)CNc4ncnc5c4ncn5C4O[C@H](CO)[C@@H](O)[C@H]4O)ncnc32)[C@@H](O)[C@H]1O"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766245"	"Inhibition of Trypanosoma brucei Phosphoglycerate kinase (PGK)."	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL610438"	""	"None"	"462.55"	"1"	"1.02"	"78"	"OC[C@H]1OC(n2cnc3c(NCC4CCCO4)nc(NCC4CCCCC4)nc32)[C@H](O)[C@@H]1O"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766245"	"Inhibition of Trypanosoma brucei Phosphoglycerate kinase (PGK)."	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL608666"	""	"None"	"455.30"	"0"	"0.98"	"51b"	"Nc1nc(NCCc2ccc(Cl)cc2Cl)c2ncn(C3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1"	"IC50"	""	""	"nM"	""	""	"Not Active"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL766247"	"Inhibition of Trypanosoma brucei phosphoglycerate kinase (PGK); inactive at 4 mM"	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL356436"	""	"None"	"302.11"	"0"	"1.98"	"5"	"O=P(O)(O)C(F)c1cccc(C(F)P(=O)(O)O)c1"	"IC50"	"'='"	"1300.0"	"nM"	"5.89"	""	""	"UO_0000065"	"19.48"	"0.45"	"3.91"	"5.12"	"0"	"CHEMBL825022"	"Inhibitory activity against 3-phosphoglycerate kinase."	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1131405"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""
"CHEMBL610098"	""	"None"	"339.36"	"2"	"-2.22"	"17b"	"NCCCNc1nc(N)nc2c1ncn2C1O[C@H](CO)[C@@H](O)[C@H]1O"	"IC50"	"'='"	"4000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL765582"	"evaluated for the inhibition of Trypanosoma brucei Phosphoglycerate kinase (PGK)"	"B"	"BAO_0000224"	"protein format"	"Trypanosoma brucei"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1133593"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL358865"	""	"None"	"266.13"	"0"	"1.04"	"13"	"O=P(O)(O)Cc1ccc(CP(=O)(O)O)cc1"	"IC50"	"'='"	"193000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL825022"	"Inhibitory activity against 3-phosphoglycerate kinase."	"B"	"BAO_0000224"	"protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2096677"	"Phosphoglycerate kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1131405"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"1998"	"None"	""	""	""
