"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL413155"	""	"None"	"729.70"	"2"	"3.35"	"32"	"CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)N[C@H](C)c1ccc(Br)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)c1nccs1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"10.96"	"0.23"	"4.65"	"3.78"	"0"	"CHEMBL907029"	"Inhibition of plasma kallikrein"	"B"	"BAO_0000366"	"cell-free format"	"None"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138224"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL3982813"	""	"None"	"429.53"	"0"	"3.01"	"BDBM212114"	"Cc1cnn(Cc2ccc(Cn3cc(C(=O)NCc4c(C)cc(N)nc4C)cn3)cc2)c1"	"IC50"	"'='"	"0.04"	"nM"	"10.40"	""	"373675"	"UO_0000065"	"24.21"	"0.44"	"7.39"	"10.03"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3914375"	""	"None"	"375.44"	"0"	"2.10"	"BDBM211998"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2cn3ccccc3n2)c1"	"IC50"	"'='"	"204.0"	"nM"	"6.69"	""	"373559"	"UO_0000065"	"17.82"	"0.33"	"4.59"	"6.49"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3969639"	""	"None"	"442.52"	"0"	"2.67"	"BDBM212110"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2ccc(Cn3ccccc3=O)cc2)c1"	"IC50"	"'='"	"0.0224"	"nM"	"10.65"	""	"373671"	"UO_0000065"	"24.07"	"0.44"	"7.98"	"9.88"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3914910"	""	"None"	"386.46"	"0"	"3.00"	"BDBM212123"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2cnc3ccccc3c2)c1"	"IC50"	"'='"	"3.0"	"nM"	"8.52"	""	"373684"	"UO_0000065"	"22.05"	"0.40"	"5.52"	"8.63"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3985779"	""	"None"	"420.90"	"0"	"3.66"	"BDBM212125"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2ccc3ccc(Cl)cc3n2)c1"	"IC50"	"'='"	"2.0"	"nM"	"8.70"	""	"373686"	"UO_0000065"	"20.67"	"0.40"	"5.04"	"8.81"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3959212"	""	"None"	"394.44"	"0"	"1.01"	"BDBM212045"	"Cc1nc(N)cc(OCC(N)=O)c1CNC(=O)c1cnn(Cc2ccccc2)c1"	"IC50"	"'='"	"72.0"	"nM"	"7.14"	""	"373606"	"UO_0000065"	"18.11"	"0.34"	"6.13"	"5.17"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3956826"	""	"None"	"371.39"	"0"	"2.73"	"BDBM212058"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2ccc(F)c(F)c2)c1"	"IC50"	"'='"	"2000.0"	"nM"	"5.70"	""	"373619"	"UO_0000065"	"15.34"	"0.29"	"2.97"	"6.64"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3984312"	""	"None"	"407.47"	"0"	"2.62"	"BDBM212063"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2cccc3c2OCCCO3)c1"	"IC50"	"'='"	"485.0"	"nM"	"6.31"	""	"373624"	"UO_0000065"	"15.50"	"0.29"	"3.69"	"6.05"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL3958591"	""	"None"	"379.42"	"0"	"2.18"	"BDBM212071"	"Cc1cc(N)nc(C)c1CNC(=O)c1cnn(Cc2ccc3c(c2)OCO3)c1"	"IC50"	"'='"	"299.0"	"nM"	"6.52"	""	"373632"	"UO_0000065"	"17.20"	"0.32"	"4.34"	"6.26"	"0"	"CHEMBL3888103"	"In-vitro Plasma Kallikrein Inhibition: Enzymatic reactions were conducted in â¿¿assay bufferâ¿¿, comprising 50 mM Hepes/NaOH at pH 7.8, 150 mM NaCl, 1 mM EDTA and 0.05% (w/v) CHAPS. For the determination of IC50 values, the assays were performed at room temperature in 384-well plates with a total assay volume of 25.25 ul per well. The test compound was dissolved in 90% (v/v) DMSO/water. For the assays, 250 nL of the 90% (v/v) DMSO/water solution or compound solution were added per well, followed by the addition of 12.5 ul protease solution (protease in assay buffer). The final assay concentration of the human plasma kallikrein was nominally 25 pM, the 11 compound concentrations in the dilution series were in the range form 1 nM to 100 uM. After 1 hour of pre-incubation at room temperature, the reactions were started by the addition of 12.5 ul substrate solution (in assay buffer, final assay concentration was 0.5 uM). After the addition of the substrate solution, the final DMSO concentration in the assay was 0.9% (v/v)."	"B"	"BAO_0000366"	"cell-free format"	"Homo sapiens"	"CHEMBL3559721"	"Plasma"	"None"	"None"	""	""	""	"CHEMBL2000"	"Plasma kallikrein"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886577"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
