"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL224166"	""	"None"	"295.39"	"0"	"2.97"	"24s"	"c1c[nH]c(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1"	"IC50"	"'='"	"11.0"	"nM"	"7.96"	""	""	"UO_0000065"	"26.94"	"0.49"	"4.99"	"13.32"	"0"	"CHEMBL918244"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144500"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL387625"	""	"None"	"318.42"	"0"	"3.50"	"30-R"	"Nc1cccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)c1"	"IC50"	"'='"	"25.0"	"nM"	"7.60"	""	""	"UO_0000065"	"23.87"	"0.43"	"4.10"	"14.03"	"0"	"CHEMBL915970"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144546"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL225492"	""	"None"	"351.88"	"0"	"4.96"	"21c"	"Clc1ccc(CN2CCCC(Nc3cccc4cnccc34)C2)cc1"	"IC50"	"'='"	"185.0"	"nM"	"6.73"	""	""	"UO_0000065"	"19.13"	"0.37"	"1.77"	"23.91"	"0"	"CHEMBL915970"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144546"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL224417"	""	"None"	"345.49"	"0"	"4.79"	"8c syn"	"c1ccc(CCN[C@H]2CC[C@@H](Nc3cccc4cnccc34)CC2)cc1"	"IC50"	"'='"	"580.0"	"nM"	"6.24"	""	""	"UO_0000065"	"18.05"	"0.33"	"1.45"	"16.88"	"0"	"CHEMBL915970"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144546"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL224360"	""	"None"	"283.42"	"0"	"3.96"	"8a syn"	"CCCN[C@H]1CC[C@@H](Nc2cccc3cnccc23)CC1"	"IC50"	"'='"	"180.0"	"nM"	"6.75"	""	""	"UO_0000065"	"23.80"	"0.44"	"2.78"	"18.25"	"0"	"CHEMBL915970"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144546"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL4460511"	""	"None"	"333.39"	"0"	"3.64"	"24"	"COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncn3)cc2)c1"	"IC50"	"'='"	"415.0"	"nM"	"6.38"	""	""	"UO_0000065"	"19.14"	"0.35"	"2.74"	"9.95"	"0"	"CHEMBL4328676"	"Inhibition of ROCK1/2 in human PANC1 cells assessed as reduction in MYPT1 phosphorylation after 1 hr by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4325872"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4584824"	""	"None"	"333.39"	"0"	"3.64"	"25"	"COc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccnnc3)cc2)c1"	"IC50"	"'='"	"7830.0"	"nM"	"5.11"	""	""	"UO_0000065"	"15.32"	"0.28"	"1.47"	"7.96"	"0"	"CHEMBL4328676"	"Inhibition of ROCK1/2 in human PANC1 cells assessed as reduction in MYPT1 phosphorylation after 1 hr by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4325872"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4469434"	""	"None"	"360.46"	"1"	"5.03"	"44"	"CCCOc1cccc([C@@H](C)NC(=O)c2ccc(-c3ccncc3)cc2)c1"	"IC50"	"'='"	"56.0"	"nM"	"7.25"	""	""	"UO_0000065"	"20.12"	"0.37"	"2.22"	"14.16"	"0"	"CHEMBL4328676"	"Inhibition of ROCK1/2 in human PANC1 cells assessed as reduction in MYPT1 phosphorylation after 1 hr by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4325872"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL225226"	""	"None"	"349.44"	"0"	"3.35"	"8"	"O=C(Nc1ccc2[nH]ncc2c1)NC1CCN(Cc2ccccc2)CC1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL918244"	"Inhibition of Rho kinase"	"B"	"BAO_0000223"	"protein complex format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL1144500"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL4575880"	""	"None"	"332.40"	"0"	"4.25"	"17"	"COc1cccc([C@H](C)NC(=O)c2ccc(-c3ccncc3)cc2)c1"	"IC50"	"'='"	"49800.0"	"nM"	"4.30"	""	""	"UO_0000065"	"12.94"	"0.24"	"0.05"	"8.40"	"0"	"CHEMBL4328676"	"Inhibition of ROCK1/2 in human PANC1 cells assessed as reduction in MYPT1 phosphorylation after 1 hr by ELISA"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2111459"	"Rho-associated protein kinase"	"Homo sapiens"	"PROTEIN FAMILY"	"CHEMBL4325872"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
