"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL101917"	""	"None"	"374.23"	"1"	"5.17"	"2a"	"COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3Cl)c2cc1OC"	"IC50"	"'='"	"5200.0"	"nM"	"5.28"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL783717"	"Inhibition of Src-transformed rat fibroblast proliferation in anchorage independent assay"	"F"	"BAO_0000019"	"assay format"	"Rattus norvegicus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134365"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL295902"	""	"None"	"663.68"	"3"	"-2.11"	"1"	"COC(=O)C(=O)C(=O)c1ccc(CC(NC(C)=O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(N)=O)[C@@H](C)O)cc1"	"IC50"	"'='"	"8600.0"	"nM"	"5.07"	""	""	"UO_0000065"	"7.63"	"0.15"	"7.18"	"1.83"	"0"	"CHEMBL818888"	"Binding affinity for wild type Src SH2 domain using BIAcore binding assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134113"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL2111833"	""	"None"	"601.64"	"1"	"3.85"	"(S,S)-5"	"CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@H]1CCCCc2cc(OCC3CCCCC3)c(C(N)=O)cc21"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	"11.63"	"0.23"	"3.15"	"3.95"	"0"	"CHEMBL806418"	"Binding affinity against Src SH2 domain in competitive fluorescence polarization assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133687"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL77303"	""	"None"	"226.24"	"0"	"2.44"	"27"	"Oc1ccc2c(ncn2-c2ccccc2)c1O"	"IC50"	"'='"	"460.0"	"nM"	"6.34"	""	""	"UO_0000065"	"28.01"	"0.51"	"3.90"	"10.87"	"0"	"CHEMBL822804"	"Inhibition of [32P]ATP incorporated (phosphorylation) into glutamate-tyrosine copolymer substrate by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132255"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
"CHEMBL128705"	""	"None"	"561.86"	"2"	"5.38"	"2d"	"COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCOCC4)c(OC)cc23)c(Br)cc1Cl"	"IC50"	"'='"	"0.95"	"nM"	"9.02"	""	""	"UO_0000065"	"16.06"	"0.35"	"3.64"	"10.15"	"0"	"CHEMBL818278"	"Inhibition against Src kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134270"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL311318"	""	"None"	"250.30"	"0"	"3.59"	"11"	"C=CCOc1ccc2c(c1)ncn2-c1ccccc1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL822804"	"Inhibition of [32P]ATP incorporated (phosphorylation) into glutamate-tyrosine copolymer substrate by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132255"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
"CHEMBL218738"	""	"None"	"341.42"	"0"	"4.76"	"31"	"Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccccn3)nnc2c1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL908982"	"Inhibition of human recombinant Src kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139689"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL1421"	"DASATINIB"	"4.0"	"488.02"	"0"	"3.31"	"13, BMS-354825"	"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1"	"IC50"	"'='"	"0.5"	"nM"	"9.30"	""	""	"UO_0000065"	"19.06"	"0.38"	"5.99"	"8.73"	"0"	"CHEMBL914495"	"Inhibition of src kinase"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149291"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
"CHEMBL373582"	""	"None"	"426.33"	"1"	"6.89"	"11"	"COc1cc(Nc2c(C#N)cnc3cc(-c4ccccc4)sc23)c(Cl)cc1Cl"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL914869"	"Inhibition of Src-mediated proliferation of rat 2 fibroblasts"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149293"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
"CHEMBL222548"	""	"None"	"524.48"	"2"	"6.65"	"16"	"COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(N5CCN(C)CC5)c4)sc23)c(Cl)cc1Cl"	"IC50"	"'='"	"1200.0"	"nM"	"5.92"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL914869"	"Inhibition of Src-mediated proliferation of rat 2 fibroblasts"	"F"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149293"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
"CHEMBL75964"	""	"None"	"210.24"	"0"	"2.73"	"4"	"Oc1cccc2c1ncn2-c1ccccc1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL822804"	"Inhibition of [32P]ATP incorporated (phosphorylation) into glutamate-tyrosine copolymer substrate by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1132255"	"1"	"Scientific Literature"	"J Med Chem"	"1999"	"None"	""	""	""
"CHEMBL297523"	""	"None"	"512.44"	"2"	"5.77"	"62"	"CCN(CC)CCOc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1"	"IC50"	"'='"	"17.0"	"nM"	"7.77"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL818275"	"Inhibition of c-Src tyrosine kinase"	"F"	"BAO_0000019"	"assay format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL424664"	""	"None"	"530.03"	"1"	"4.09"	"13"	"COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC4CCOCC4)c23)n1"	"IC50"	"'='"	"70.0"	"nM"	"7.16"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL854323"	"Inhibition of Src-transfected 3T3 cell proliferation"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"3T3"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141956"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"CHEMBL3833622"	""	""	""
"CHEMBL381206"	""	"None"	"487.00"	"0"	"4.92"	"5"	"COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCOCC4)cc(OC(C)C)c23)c1"	"IC50"	"'='"	"150.0"	"nM"	"6.82"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL854323"	"Inhibition of Src-transfected 3T3 cell proliferation"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"3T3"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141956"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2005"	"CHEMBL3833622"	""	""	""
"CHEMBL269884"	""	"None"	"408.85"	"1"	"5.38"	"51"	"COc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)c2c(N)noc12"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL947979"	"Inhibition of SRC by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142358"	"1"	"Scientific Literature"	"J Med Chem"	"2008"	"None"	""	""	""
"CHEMBL267941"	""	"None"	"357.41"	"0"	"4.11"	"15"	"CN(c1ccccc1)c1cc2c(cc1N(C)c1ccccc1)C(=O)NC2=O"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL821534"	"Inhibitory activity against c-src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1127678"	"1"	"Scientific Literature"	"J Med Chem"	"1994"	"None"	""	""	""
"CHEMBL78249"	"TRYPHOSTIN"	"None"	"222.27"	"0"	"1.69"	"Tryphostin"	"N#CC(Cc1ccc(O)c(O)c1)C(=N)S"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL816861"	"In vitro inhibition of the c-src tyrosine kinase activity in A431 membranes using angiotensin II as phosphate acceptor as substrate"	"B"	"BAO_0000249"	"cell membrane format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1128740"	"1"	"Scientific Literature"	"J Med Chem"	"1995"	"None"	""	""	""
"CHEMBL435293"	""	"None"	"472.49"	"0"	"2.32"	"14a"	"COc1ccc(CNC(=O)[C@H](CC(C)C)NC(=O)COc2cc(C(=O)O)cc(C(=O)O)c2)cc1"	"IC50"	"'='"	"864000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL831481"	"Inhibition of fluorescent (GpYEEI) binding to Src protein tyrosine kinase SH2 domain"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137152"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2004"	"None"	""	""	""
"CHEMBL88606"	""	"None"	"343.22"	"0"	"4.15"	"4b"	"O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2"	"IC50"	"'='"	"4920.0"	"nM"	"5.31"	""	""	"UO_0000065"	"15.47"	"0.35"	"1.16"	"11.82"	"0"	"CHEMBL843061"	"Evaluated for inhibitory activity towards p60 c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133768"	"1"	"Scientific Literature"	"J Med Chem"	"2000"	"None"	""	""	""
"CHEMBL26128"	"PHENYL DIHYDROGEN PHOSPHATE"	"None"	"174.09"	"0"	"1.16"	"1a"	"O=P(O)(O)Oc1ccccc1"	"IC50"	"'='"	"2500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL808038"	"The compound was evaluated for its binding affinity towards phosphotyrosine binding pocket of Src protein tyrosine kinase SH2 domain"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135868"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2002"	"None"	""	""	""
"CHEMBL24231"	"p-NITROPHENYLPHOSPHATE"	"None"	"219.09"	"0"	"1.07"	"1j"	"O=[N+]([O-])c1ccc(OP(=O)(O)O)cc1"	"IC50"	"'='"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL808038"	"The compound was evaluated for its binding affinity towards phosphotyrosine binding pocket of Src protein tyrosine kinase SH2 domain"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1135868"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2002"	"None"	""	""	""
"CHEMBL430262"	""	"None"	"751.88"	"2"	"7.80"	"8"	"CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OP(=O)(O)OCc2ccccc2)cc1)C(=O)NC1CSc2ccccc2N(CCCC2CCCCC2)C1=O"	"IC50"	"'='"	"26000.0"	"nM"	"4.58"	""	""	"UO_0000065"	"6.10"	"0.12"	"-3.21"	"3.20"	"0"	"CHEMBL808041"	"Binding affinity was determined on Src protein tyrosine kinase SH2 domain using fluorescence polarization assay with 2% DMSO in buffer solution"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1133907"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL106664"	""	"None"	"604.51"	"2"	"-1.44"	"14a"	"CC(C)[C@H](NC(=O)C[C@@H](CCC(=O)O)NC(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccc(OP(=O)(O)O)cc1)C(=O)O)C(=O)O"	"IC50"	"'='"	"83200.0"	"nM"	"4.08"	""	""	"UO_0000065"	"6.75"	"0.14"	"5.52"	"1.40"	"0"	"CHEMBL821541"	"Concentration of compound required for inhibiting the binding of the fluorescent probe to the c-Src tyrosine kinase SH2 domain by 50%"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL267"	"Tyrosine-protein kinase SRC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148323"	"1"	"Scientific Literature"	"J Med Chem"	"2004"	"None"	""	""	""
