"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3903725"	""	"None"	"450.38"	"0"	"3.29"	"BDBM236557"	"Nc1ccc(-c2ccc3ncc4c(=O)[nH]c(=O)n(-c5cccc(C(F)(F)F)c5)c4c3n2)cn1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	"412035"	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3888678"	"Mobility Shift Assay: Agents: 1-fold kinase buffer without MnCl2: 50 mM HEPES, pH 7.5, 0.0015% Brij-35, 10 mM MgCl2, 2 mM DTT. 1-fold kinase buffer with MnCl2: 50 mM HEPES, pH 7.5, 0.0015% Brij-35, 10 mM MgCl2, 10 mM MnCl2, 2 mM DTT. Termination solution: 100 mM HEPES, pH 7.5, 0.0015% Brij-35, 0.2% Coating Reagent#3, 50 mM EDTA. 2.5-fold kinase solution: The kinase was added to the 1-fold kinase buffer to form a 2.5-fold kinase solution. 2.5-fold substrate solution: FAM fluorescence-labelled polypeptide and ATP were added to the 1-fold kinase buffer to form a 2.5-fold substrate solution. Compounds: The final test concentration of the compound was 10 μM at maximum. Firstly, a 50-fold concentration (i.e. 500 μM) was prepared with 100% DMSO. The compound was diluted with 100% DMSO by 5 folds at 5 concentrations (successively 500 μM, 100 μM, 20 μM, 4 μM, and 0.8 μM). After diluting with 1-fold kinase buffer by 10 folds, 5 μl of the samples were transferred to a 384-well reaction plate. Two negative control wells and two positive control wells were set at each line respectively. Replication was made in a 96-well plate in five concentrations of 5-fold compound. 10% DMSO was added to the positive control well, and 5 μl of EDTA (250 mM) was added to the negative control well. Procedure: To the 384-well reaction plate was added 5-fold compound dissolved in 10% DMSO at 5 μl/well. To the 384-well reaction plate was added 2.5-fold kinase solution at 10 Î¼l/well. The plate was incubated at room temperature for 10 mins. To the 384-well reaction plate was added 2.5-fold substrate solution at 10 μl/well. The plate was incubated at 28° C. for a certain period. 25 μl termination solution was added to terminate the reaction."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3886794"	"37"	"BindingDB Database"	""	"2016"	"None"	""	""	""
"CHEMBL103667"	"DORAMAPIMOD"	"2.0"	"527.67"	"2"	"5.99"	"2, BIRB-796"	"Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1"	"IC50"	"'>'"	"30000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1931516"	"Inhibition of MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1926590"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL388978"	"STAUROSPORINE"	"None"	"466.54"	"0"	"4.35"	"Staurosporine"	"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4"	"IC50"	"'='"	"0.41"	"nM"	"9.39"	""	""	"UO_0000065"	"20.12"	"0.37"	"5.04"	"13.52"	"0"	"CHEMBL973450"	"Inhibition of MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138507"	"1"	"Scientific Literature"	"J Med Chem"	"2009"	"None"	""	""	""
"CHEMBL3745885"	""	"None"	"467.46"	"0"	"3.66"	"7ao; ON1231320"	"Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3748012"	"Inhibition of human MST2 using MBP as substrate"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3745707"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2016"	"None"	""	""	""
"CHEMBL3393443"	""	"None"	"319.37"	"0"	"2.72"	"32"	"C[C@@H]1CN(c2ncnc3[nH]cc(-c4cccc(C#N)c4)c23)CCO1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL3395732"	"Inhibition of human recombinant MST2 using Ser/Thr peptide 7 substrate after 45 mins by Z-Lyte assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3393009"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""	""
"CHEMBL3393348"	""	"None"	"305.34"	"0"	"2.33"	"14"	"N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOCC4)c23)c1"	"IC50"	"'='"	"22.0"	"nM"	"7.66"	""	""	"UO_0000065"	"25.08"	"0.45"	"5.33"	"9.84"	"0"	"CHEMBL3395732"	"Inhibition of human recombinant MST2 using Ser/Thr peptide 7 substrate after 45 mins by Z-Lyte assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3393009"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""	""
"CHEMBL481969"	""	"None"	"651.79"	"1"	"4.73"	"6d"	"O=C(CS(=O)(=O)c1ccc(Cl)cc1)N/N=C/c1cc(C(=O)O)c(Nc2ccc(I)cc2F)c(F)c1F"	"IC50"	"'>'"	"30000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL963878"	"Binding affinity to MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139272"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2009"	"None"	""	""	""
"CHEMBL4225923"	""	"None"	"459.58"	"0"	"4.50"	"16"	"Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C(NC(C)(C)C)c3ccccn3)ns2)n1"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4222452"	"Inhibition of MST2 (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4219148"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL590109"	""	"None"	"425.52"	"0"	"4.40"	"31a"	"NCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21"	"IC50"	"'='"	"570.0"	"nM"	"6.24"	""	""	"UO_0000065"	"14.67"	"0.28"	"1.84"	"5.60"	"0"	"CHEMBL1072673"	"Inhibition of MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1153138"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""
"CHEMBL4634634"	""	"None"	"365.44"	"0"	"1.44"	"29"	"C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4603635"	"Inhibition of recombinant full length human GST-tagged MST2 expressed in baculovirus expression system using serine/threonine-7 peptide as substrate incubated for 60 mins in presence of ATP by Z'-LYTE assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4602617"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2020"	"None"	""	""	""
"CHEMBL1738710"	""	"None"	"449.84"	"0"	"2.77"	"10"	"Cc1ccc(C(=O)NCCO)cc1-n1cnc(OCc2ccc(F)cc2F)c(Cl)c1=O"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1798990"	"Inhibition of MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1795201"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL2010872"	"CEP-11981"	"2.0"	"477.57"	"0"	"4.73"	"11b, CEP-11981"	"CC(C)Cn1c2ccc(Nc3ncccn3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3"	"IC50"	"'='"	"21.0"	"nM"	"7.68"	""	""	"UO_0000065"	"16.08"	"0.29"	"2.95"	"8.56"	"0"	"CHEMBL2016115"	"Inhibition of human MST2 using ATP as substrate"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2010689"	"1"	"Scientific Literature"	"J Med Chem"	"2012"	"None"	""	""	""
"CHEMBL1938680"	""	"None"	"381.86"	"0"	"4.26"	"1"	"O=C(Nc1ccc(N2CCNCC2)cc1)c1ccc(-c2ccc(Cl)cc2)o1"	"IC50"	"'>'"	"30000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2019911"	"Inhibition of human MST2"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2016522"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL1270795"	""	"None"	"343.44"	"0"	"3.35"	"10i"	"CSc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(C)ns2)n1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1805361"	"Inhibition of MST2"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1799927"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2010"	"None"	""	""	""
"CHEMBL605003"	""	"None"	"371.46"	"0"	"2.64"	"SU-6656"	"CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2"	"IC50"	"'='"	"110.0"	"nM"	"6.96"	""	"Antagonist"	"UO_0000065"	"18.73"	"0.37"	"4.32"	"8.46"	"0"	"CHEMBL1061941"	"Inhibition of MST2 in the presence of 50uM ATP"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1150976"	"1"	"Scientific Literature"	"Biochem J"	"2007"	"None"	""	"ANTAGONIST"	""
"CHEMBL3355482"	""	"None"	"380.47"	"0"	"3.76"	"2"	"CN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3372966"	"Inhibition of MST2 (unknown origin) in presence of 1 mM ATP"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3351882"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL388978"	"STAUROSPORINE"	"None"	"466.54"	"0"	"4.35"	"Staurosporine"	"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4"	"IC50"	"'='"	"4.72"	"nM"	"8.33"	""	""	"UO_0000065"	"17.85"	"0.32"	"3.98"	"11.99"	"0"	"CHEMBL4145885"	"Inhibition of STK3 (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4145442"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL3393447"	""	"None"	"372.39"	"0"	"3.06"	"36"	"N#Cc1cccc(-c2c[nH]c3ncnc(N4CCOC(c5ccno5)C4)c23)c1"	"IC50"	"'='"	"1333.0"	"nM"	"5.88"	""	""	"UO_0000065"	"15.78"	"0.29"	"2.82"	"5.66"	"0"	"CHEMBL3395732"	"Inhibition of human recombinant MST2 using Ser/Thr peptide 7 substrate after 45 mins by Z-Lyte assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4708"	"Serine/threonine-protein kinase MST2"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3393009"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"None"	""	""	""
