"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL1092729"	""	"None"	"293.28"	"0"	"-1.04"	"8a"	"Cc1cn([C@H]2C[C@H](n3ccnn3)[C@@H](CO)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"4700.0"	"nM"	"5.33"	""	""	"UO_0000065"	"18.17"	"0.35"	"6.37"	"4.63"	"0"	"CHEMBL1111768"	"Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156937"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL1090134"	""	"None"	"375.43"	"0"	"0.69"	"8e"	"Cc1cn([C@H]2C[C@H](n3cc(CC4CCCC4)nn3)[C@@H](CO)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"150.0"	"nM"	"6.82"	""	""	"UO_0000065"	"18.18"	"0.35"	"6.13"	"5.93"	"0"	"CHEMBL1111768"	"Inhibition of human recombinant mitochondrial thymidine kinase 2 assessed as inhibition of [methyl-3H]dThd phosphorylation after 30 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156937"	"1"	"Scientific Literature"	"J Med Chem"	"2010"	"None"	""	""	""
"CHEMBL219367"	""	"None"	"482.62"	"1"	"5.80"	"19"	"Cc1cn(CCCCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O"	"IC50"	"'='"	"4700.0"	"nM"	"5.33"	""	""	"UO_0000065"	"11.04"	"0.20"	"-0.47"	"8.31"	"0"	"CHEMBL908767"	"Inhibition of [3H]methyl dThd phosphorylation by TK2"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138227"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
"CHEMBL803"	"CYTARABINE"	"4.0"	"243.22"	"0"	"-2.56"	"AraC, cytarabine"	"Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL886767"	"Inhibition of human TK2 assessed as [methyl-3H]dThd phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139173"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL3143823"	""	"None"	"355.44"	"0"	"0.82"	"24"	"CCCCCCCCO[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc(N)nc1=O"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL815477"	"Inhibitory concentration against mitochondrial thymidine kinase (TK-2)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134069"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL238635"	""	"None"	"475.34"	"0"	"1.43"	"7a"	"CCCCCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(/C=C/Br)c(=O)[nH]c1=O"	"IC50"	"'='"	"6300.0"	"nM"	"5.20"	""	""	"UO_0000065"	"10.94"	"0.24"	"3.77"	"3.97"	"0"	"CHEMBL815477"	"Inhibitory concentration against mitochondrial thymidine kinase (TK-2)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134069"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL400233"	""	"None"	"434.24"	"0"	"-1.20"	"9"	"NCCCC(=O)O[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(/C=C/Br)c(=O)[nH]c1=O"	"IC50"	"'='"	"187000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL886767"	"Inhibition of human TK2 assessed as [methyl-3H]dThd phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1139173"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2007"	"None"	""	""	""
"CHEMBL400411"	""	"None"	"370.45"	"0"	"0.84"	"21"	"CCCCCCCCO[C@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cc(C)c(=O)[nH]c1=O"	"IC50"	"'='"	"120000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL815477"	"Inhibitory concentration against mitochondrial thymidine kinase (TK-2)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134069"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL605255"	""	"None"	"349.14"	"0"	"-1.49"	"BVaraU"	"O=c1[nH]c(=O)n(C2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C\Br"	"IC50"	"'='"	"43000.0"	"nM"	"4.37"	""	""	"UO_0000065"	"12.51"	"0.30"	"5.86"	"3.50"	"0"	"CHEMBL815477"	"Inhibitory concentration against mitochondrial thymidine kinase (TK-2)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1134069"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL216997"	""	"None"	"454.57"	"1"	"5.02"	"17"	"Cc1cn(CCCCCOC(c2ccccc2)(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O"	"IC50"	"'='"	"2500.0"	"nM"	"5.60"	""	""	"UO_0000065"	"12.32"	"0.23"	"0.58"	"8.74"	"0"	"CHEMBL908767"	"Inhibition of [3H]methyl dThd phosphorylation by TK2"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4580"	"Thymidine kinase, mitochondrial"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138227"	"1"	"Scientific Literature"	"J Med Chem"	"2006"	"None"	""	""	""
