"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL534929"	""	"None"	"483.44"	"0"	"3.29"	"12h"	"Cl.Cl.OCCC1CCCCN1CCCCn1cnc2c(O)nc(Nc3ccccc3)nc21"	"IC50"	"'='"	"770.0"	"nM"	"6.11"	""	""	"UO_0000065"	"14.89"	"0.28"	"2.82"	"6.15"	"0"	"CHEMBL832665"	"Inhibitory concentration against herpes simplex virus type 1 thymidine kinase"	"B"	"BAO_0000357"	"single protein format"	"herpes simplex virus type 1"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1139534"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL101020"	""	"None"	"275.70"	"0"	"2.49"	"6"	"Oc1[nH]c(Nc2cccc(CCl)c2)nc2ncnc1-2"	"IC50"	"'='"	"1412.54"	"nM"	"5.85"	""	""	"UO_0000065"	"21.22"	"0.42"	"3.36"	"6.75"	"0"	"CHEMBL814153"	"Inhibitory activity against HSV-1 thymidine kinase isolated from HeLa cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HeLa"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125514"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"CHEMBL3308376"	""	""	""
"CHEMBL287727"	""	"None"	"227.23"	"0"	"1.75"	"15"	"Oc1[nH]c(Nc2ccccc2)nc2ncnc1-2"	"IC50"	"'='"	"7943.28"	"nM"	"5.10"	""	""	"UO_0000065"	"22.44"	"0.41"	"3.35"	"5.88"	"0"	"CHEMBL814153"	"Inhibitory activity against HSV-1 thymidine kinase isolated from HeLa cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HeLa"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125514"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"CHEMBL3308376"	""	""	""
"CHEMBL102001"	""	"None"	"282.27"	"0"	"2.56"	"2"	"[N-]=[N+]=NCc1cccc(Nc2nc3ncnc-3c(O)[nH]2)c1"	"IC50"	"'='"	"794.33"	"nM"	"6.10"	""	""	"UO_0000065"	"21.61"	"0.40"	"3.54"	"4.50"	"0"	"CHEMBL814153"	"Inhibitory activity against HSV-1 thymidine kinase isolated from HeLa cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HeLa"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125514"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"CHEMBL3308376"	""	""	""
"CHEMBL291187"	""	"None"	"407.85"	"0"	"0.76"	"4"	"CCc1cn([C@H]2C[C@H](O)[C@@H](CNC(=O)Cc3ccccc3Cl)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	"17.16"	"0.34"	"6.24"	"6.17"	"0"	"CHEMBL873880"	"Inhibitory activity against HSV-1 Thymidine Kinase (HSV-1 TK)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1134111"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL405761"	""	"None"	"295.22"	"0"	"2.41"	"3"	"O=c1[nH]c(Nc2cccc(C(F)(F)F)c2)nc2[nH]cnc12"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL812473"	"Inhibition of TdR phosphorylation using thymidine kinase assay for herpes simplex virus type 2"	"F"	"BAO_0000019"	"assay format"	"Human alphaherpesvirus 2"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125141"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""	""
"CHEMBL297987"	""	"None"	"387.44"	"0"	"0.41"	"5"	"CCc1cn([C@H]2C[C@H](O)[C@@H](CNC(=O)Cc3ccccc3C)O2)c(=O)[nH]c1=O"	"IC50"	"'='"	"200.0"	"nM"	"6.70"	""	""	"UO_0000065"	"17.29"	"0.33"	"6.29"	"5.91"	"0"	"CHEMBL873880"	"Inhibitory activity against HSV-1 Thymidine Kinase (HSV-1 TK)"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1134111"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL63463"	""	"None"	"275.70"	"0"	"2.76"	"16"	"Cc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1Cl"	"IC50"	"'='"	"12022.64"	"nM"	"4.92"	""	""	"UO_0000065"	"17.85"	"0.35"	"2.16"	"5.67"	"0"	"CHEMBL814153"	"Inhibitory activity against HSV-1 thymidine kinase isolated from HeLa cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"HeLa"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125514"	"1"	"Scientific Literature"	"J Med Chem"	"1992"	"CHEMBL3308376"	""	""	""
"CHEMBL605255"	""	"None"	"349.14"	"0"	"-1.49"	"BVaraU"	"O=c1[nH]c(=O)n(C2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1/C=C\Br"	"IC50"	"'='"	"4300.0"	"nM"	"5.37"	""	""	"UO_0000065"	"15.37"	"0.37"	"6.86"	"4.30"	"0"	"CHEMBL810051"	"Inhibitory concentration against Herpes simplex virus type 1 thymidine kinase(HSV-1 TK)"	"B"	"BAO_0000357"	"single protein format"	"Herpes simplex virus (type 1 / strain SC16)"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1134069"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL36877"	""	"None"	"241.25"	"0"	"2.11"	"10"	"Cc1ccc(Nc2nc(O)c3[nH]cnc3n2)cc1"	"IC50"	"'='"	"6000.0"	"nM"	"5.22"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL812473"	"Inhibition of TdR phosphorylation using thymidine kinase assay for herpes simplex virus type 2"	"F"	"BAO_0000019"	"assay format"	"Human alphaherpesvirus 2"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1820"	"Thymidine kinase"	"Human herpesvirus 1 (strain SC16) (HHV-1) (Human herpes simplex virus1)"	"SINGLE PROTEIN"	"CHEMBL1125141"	"1"	"Scientific Literature"	"J Med Chem"	"1990"	"None"	""	""	""
