"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4237557"	""	"None"	"347.42"	"0"	"3.98"	"27"	"C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1C"	"IC50"	"'='"	"13.0"	"nM"	"7.89"	""	""	"UO_0000065"	"22.70"	"0.41"	"3.91"	"8.96"	"0"	"CHEMBL4235702"	"Inhibition of BMX (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4229517"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4569508"	""	"None"	"529.59"	"2"	"5.28"	"1"	"O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1"	"IC50"	"'='"	"410.0"	"nM"	"6.39"	""	""	"UO_0000065"	"12.06"	"0.24"	"1.11"	"8.90"	"0"	"CHEMBL4479698"	"Inhibition of full-length recombinant human His-tagged BMX expressed in baculovirus expression system by Z'-LYTE assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4477252"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2016"	"None"	""	""	""
"CHEMBL4634634"	""	"None"	"365.44"	"0"	"1.44"	"29"	"C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4603280"	"Inhibition of recombinant full length human His-tagged BMX cytoplasmic domain expressed in baculovirus expression system using tyrosine-1 peptide as substrate incubated for 60 mins in presence of ATP by Z'-LYTE assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4602617"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2020"	"None"	""	""	""
"CHEMBL2348417"	""	"None"	"508.00"	"2"	"5.19"	"19b"	"O=C(NCCO)C1=Cc2c(ncnc2Nc2ccc(Oc3cccc4sccc34)c(Cl)c2)NCC1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2351284"	"Inhibition of N-terminal FLAG-tagged full length BMX (unknown origin) expressed in baculovirus expression system incubated for 5 mins prior to ATP addition measured after 10 mins by Alphascreen assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2346616"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2013"	"None"	""	""	""
"CHEMBL459850"	""	"None"	"456.43"	"0"	"4.21"	"8"	"Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O"	"IC50"	"'='"	"1.4"	"nM"	"8.85"	""	""	"UO_0000065"	"19.40"	"0.37"	"4.64"	"8.48"	"0"	"CHEMBL974014"	"Inhibition of Bmx"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1149823"	"1"	"Scientific Literature"	"Proc Natl Acad Sci U S A"	"2007"	"None"	""	""	""
"CHEMBL4098453"	""	"None"	"435.49"	"0"	"4.37"	"17"	"C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cnn(C)c5)cc4c32)ccc1C"	"IC50"	"'='"	"8.16"	"nM"	"8.09"	""	""	"UO_0000065"	"18.57"	"0.33"	"3.72"	"9.89"	"0"	"CHEMBL4130921"	"Inhibition of recombinant full length His-tagged human BMX expressed in baculovirus expression system using poly (4:1 Glu, Tyr) as substrate preincubated for 1 hr followed by substrate addition measured after 1 hr by ADP-glo assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4130348"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4163399"	""	"None"	"432.48"	"1"	"5.03"	"12"	"C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5cccnc5)cc4c32)ccc1C"	"IC50"	"'='"	"66.1"	"nM"	"7.18"	""	""	"UO_0000065"	"16.60"	"0.30"	"2.15"	"9.34"	"0"	"CHEMBL4130921"	"Inhibition of recombinant full length His-tagged human BMX expressed in baculovirus expression system using poly (4:1 Glu, Tyr) as substrate preincubated for 1 hr followed by substrate addition measured after 1 hr by ADP-glo assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4130348"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4091991"	""	"None"	"524.60"	"2"	"5.01"	"7"	"C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NS(C)(=O)=O)cc5)cc4c32)ccc1C"	"IC50"	"'='"	"7.99"	"nM"	"8.10"	""	""	"UO_0000065"	"15.44"	"0.29"	"3.09"	"7.35"	"0"	"CHEMBL4130921"	"Inhibition of recombinant full length His-tagged human BMX expressed in baculovirus expression system using poly (4:1 Glu, Tyr) as substrate preincubated for 1 hr followed by substrate addition measured after 1 hr by ADP-glo assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4130348"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL233338"	""	"None"	"439.59"	"0"	"4.24"	"16"	"CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN"	"IC50"	"'>'"	"22000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL896379"	"Inhibition of BMX"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1148883"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""
"CHEMBL285063"	""	"None"	"369.22"	"0"	"4.26"	"PD-168393"	"C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1"	"IC50"	"'='"	"1100.0"	"nM"	"5.96"	""	""	"UO_0000065"	"16.14"	"0.35"	"1.70"	"8.91"	"0"	"CHEMBL1026512"	"Inhibition of Bmx"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3834"	"Tyrosine-protein kinase BMX"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1154498"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
