"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3426302"	""	"None"	"481.62"	"0"	"3.79"	"22"	"CC1(C)CCc2c(C(=O)Nc3cnn([C@H](c4ccccc4)C4CCCS(=O)(=O)C4)c3)n[nH]c2C1"	"IC50"	"'='"	"36.0"	"nM"	"7.44"	""	""	"UO_0000065"	"15.46"	"0.30"	"3.65"	"6.78"	"0"	"CHEMBL3428281"	"Inhibition of ITK in TCR stimulated human Jurkat T cells assessed as reduction of PLC-gamma phosphorylation preincubated for 30 mins followed by TCR induction for 2 mins"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Jurkat"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3425442"	"1"	"Scientific Literature"	"J Med Chem"	"2015"	"CHEMBL3307526"	""	""	""
"CHEMBL208165"	""	"None"	"537.71"	"1"	"4.37"	"1a"	"CC(=O)N1CCN(C(=O)c2cccc(CSc3sc(NC(=O)c4ccc(N(C)C)cc4)nc3C)c2)CC1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL861556"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL207830"	""	"None"	"539.68"	"1"	"3.07"	"1h"	"CC(=O)N1CCN(C(=O)c2cccc(C[S+]([O-])c3cnc(NC(=O)c4ccc(N(C)C)cc4)s3)c2)CC1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL861556"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL208353"	""	"None"	"497.65"	"0"	"3.62"	"1q"	"CC(=O)NCCNC(=O)c1cccc(CSc2cnc(NC(=O)c3ccc(N(C)C)cc3)s2)c1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL861556"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL383129"	""	"None"	"623.85"	"1"	"4.72"	"1ao"	"CC(=O)N1CCN(C(=O)c2cc(CSc3cnc(NC(=O)c4ccc(CNC(CO)C(C)C)cc4)s3)cc(C)c2C)CC1"	"IC50"	"'='"	"96.0"	"nM"	"7.02"	""	""	"UO_0000065"	"11.25"	"0.22"	"2.30"	"6.11"	"0"	"CHEMBL861556"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL204624"	""	"None"	"549.69"	"1"	"3.23"	"1w"	"CN(C)c1ccc(C(=O)Nc2ncc(SCc3cccc(C(=O)N4CCN(c5nn[nH]n5)CC4)c3)s2)cc1"	"IC50"	"'='"	"1440.0"	"nM"	"5.84"	""	""	"UO_0000065"	"10.63"	"0.21"	"2.61"	"4.74"	"0"	"CHEMBL861556"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL208255"	""	"None"	"497.65"	"0"	"3.94"	"1ap"	"CC(=O)N1CCN(C(=O)c2cc(CSc3cnc(NC(=O)c4ccc[nH]4)s3)cc(C)c2C)CC1"	"IC50"	"'='"	"2400.0"	"nM"	"5.62"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL861673"	"Inhibition of anti-CD3 antibody-induced IL2 production in human jurkat T cells"	"F"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Jurkat"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147005"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"CHEMBL3307526"	""	""	""
"CHEMBL377750"	""	"None"	"518.62"	"1"	"2.57"	"9x"	"COc1cc(C)c(Sc2cnc(NC(=O)C3CC3C(=O)O)s2)cc1C(=O)N1CCN(C(C)=O)CC1"	"IC50"	"'='"	"320.0"	"nM"	"6.50"	""	""	"UO_0000065"	"12.52"	"0.25"	"3.92"	"5.03"	"0"	"CHEMBL864159"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138957"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL380058"	""	"None"	"568.72"	"1"	"4.96"	"9r"	"COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(OC(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1"	"IC50"	"'='"	"47.0"	"nM"	"7.33"	""	""	"UO_0000065"	"12.88"	"0.26"	"2.37"	"7.25"	"0"	"CHEMBL864159"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138957"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL210599"	""	"None"	"577.65"	"1"	"4.94"	"9k"	"CC(=O)N1CCN(C(=O)c2cc(Sc3cnc(NC(=O)c4ccc(N(C)C)cc4)s3)cc(C(F)(F)F)c2)CC1"	"IC50"	"'='"	"19240.0"	"nM"	"4.72"	""	""	"UO_0000065"	"8.16"	"0.17"	"-0.22"	"5.49"	"0"	"CHEMBL864159"	"Inhibition of Itk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2959"	"Tyrosine-protein kinase ITK/TSK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138957"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
