"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL301612"	""	"None"	"397.26"	"1"	"5.05"	"38"	"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21"	"IC50"	"'='"	"20.0"	"nM"	"7.70"	""	""	"UO_0000065"	"19.38"	"0.39"	"2.65"	"12.87"	"0"	"CHEMBL821535"	"Inhibition of avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL113356"	""	"None"	"411.29"	"0"	"4.91"	"27"	"Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21"	"IC50"	"'='"	"10400.0"	"nM"	"4.98"	""	""	"UO_0000065"	"12.12"	"0.24"	"0.07"	"8.33"	"0"	"CHEMBL821535"	"Inhibition of avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL176702"	""	"None"	"359.43"	"0"	"2.75"	"1p"	"Nc1ncnc2c1c(-c1ccccc1)cn2-c1cccc(CNCCO)c1"	"IC50"	"'='"	"10.0"	"nM"	"8.00"	""	""	"UO_0000065"	"22.26"	"0.40"	"5.25"	"8.99"	"0"	"CHEMBL816696"	"Tested for inhibition of protein tyrosine kinase c-Src phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Gallus gallus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1133080"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2000"	"None"	""	""	""
"CHEMBL192856"	""	"None"	"536.72"	"2"	"6.16"	"26"	"CCN(CC)CCCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1"	"IC50"	"'='"	"3600.0"	"nM"	"5.44"	""	""	"UO_0000065"	"10.14"	"0.19"	"-0.72"	"5.41"	"0"	"CHEMBL828741"	"Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1145157"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL190866"	""	"None"	"585.71"	"2"	"6.19"	"38"	"COc1cc(OC)cc(-c2cc3cnc(N(CCCOCc4ccccc4)C(C)=O)cc3nc2NC(=O)NC(C)(C)C)c1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL828741"	"Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1145157"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL366831"	""	"None"	"300.37"	"0"	"4.13"	"1d"	"CNc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL816696"	"Tested for inhibition of protein tyrosine kinase c-Src phosphorylation"	"B"	"BAO_0000357"	"single protein format"	"Gallus gallus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1133080"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2000"	"None"	""	""	""
"CHEMBL51573"	""	"None"	"320.18"	"0"	"3.61"	"19"	"Cc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"1"	"CHEMBL821535"	"Inhibition of avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL419022"	""	"None"	"511.41"	"2"	"5.93"	"57"	"CCOC(=O)CCCc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1"	"IC50"	"'='"	"300.0"	"nM"	"6.52"	""	""	"UO_0000065"	"12.75"	"0.25"	"0.59"	"7.58"	"0"	"CHEMBL821535"	"Inhibition of avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL168285"	""	"None"	"294.36"	"0"	"2.77"	"13l"	"Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC(O)C1"	"IC50"	"'='"	"50.0"	"nM"	"7.30"	""	""	"UO_0000065"	"24.80"	"0.45"	"4.53"	"9.49"	"0"	"CHEMBL823234"	"Inhibition of p60 c-Src tyrosine kinase activity"	"B"	"BAO_0000357"	"single protein format"	"Gallus gallus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134829"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
"CHEMBL300992"	""	"None"	"516.48"	"1"	"4.79"	"76"	"CCCC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl"	"IC50"	"'='"	"2700.0"	"nM"	"5.57"	""	""	"UO_0000065"	"10.78"	"0.22"	"0.78"	"6.45"	"0"	"CHEMBL820582"	"Ability to prevent phosphorylation of avian c-Src TK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134497"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL322298"	""	"None"	"411.29"	"1"	"5.53"	"39"	"CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21"	"IC50"	"'='"	"53.0"	"nM"	"7.28"	""	""	"UO_0000065"	"17.69"	"0.35"	"1.75"	"12.16"	"0"	"CHEMBL821535"	"Inhibition of avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1131066"	"1"	"Scientific Literature"	"J Med Chem"	"1998"	"None"	""	""	""
"CHEMBL57207"	""	"None"	"531.49"	"1"	"4.58"	"53"	"CC(C)NC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl"	"IC50"	"'='"	"19.0"	"nM"	"7.72"	""	""	"UO_0000065"	"14.53"	"0.29"	"3.14"	"7.85"	"0"	"CHEMBL820582"	"Ability to prevent phosphorylation of avian c-Src TK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134497"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL169519"	""	"None"	"309.37"	"0"	"2.22"	"4k"	"COc1cccc(-c2cn(C3CCNC3)c3ncnc(N)c23)c1"	"IC50"	"'>'"	"5000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL700596"	"Concentration required for inhibition of c-Src mediated phosphorylation of Fak in IC8.1 fibroblast cell assay"	"F"	"BAO_0000219"	"cell-based format"	"Gallus gallus"	"None"	"None"	"Fibroblast"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134003"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3308065"	""	""	""
"CHEMBL368189"	""	"None"	"586.55"	"1"	"4.85"	"79"	"CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NS(=O)(=O)c4ccccc4)nc3n2)CC1"	"IC50"	"'='"	"22.0"	"nM"	"7.66"	""	""	"UO_0000065"	"13.06"	"0.27"	"2.81"	"7.41"	"0"	"CHEMBL820582"	"Ability to prevent phosphorylation of avian c-Src TK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134497"	"1"	"Scientific Literature"	"J Med Chem"	"2001"	"None"	""	""	""
"CHEMBL189325"	""	"None"	"599.73"	"2"	"6.58"	"39"	"COc1cc(OC)cc(-c2cc3cnc(N(CCCCOCc4ccccc4)C(C)=O)cc3nc2NC(=O)NC(C)(C)C)c1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL828741"	"Inhibition of glutamate/tyrosine (4:1) copolymer phosphorylation by avian c-Src tyrosine kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1145157"	"1"	"Scientific Literature"	"J Med Chem"	"2005"	"None"	""	""	""
"CHEMBL263528"	""	"None"	"366.43"	"0"	"1.51"	"5b"	"NC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1"	"IC50"	"'='"	"800.0"	"nM"	"6.10"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL700596"	"Concentration required for inhibition of c-Src mediated phosphorylation of Fak in IC8.1 fibroblast cell assay"	"F"	"BAO_0000219"	"cell-based format"	"Gallus gallus"	"None"	"None"	"Fibroblast"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134003"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"CHEMBL3308065"	""	""	""
"CHEMBL352954"	""	"None"	"278.36"	"0"	"3.80"	"13a"	"Nc1ncnc2c1c(-c1ccccc1)cn2C1CCCC1"	"IC50"	"'='"	"140.0"	"nM"	"6.85"	""	""	"UO_0000065"	"24.62"	"0.45"	"3.05"	"12.08"	"0"	"CHEMBL823234"	"Inhibition of p60 c-Src tyrosine kinase activity"	"B"	"BAO_0000357"	"single protein format"	"Gallus gallus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3655"	"Tyrosine-protein kinase SRC"	"Gallus gallus"	"SINGLE PROTEIN"	"CHEMBL1134829"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2001"	"None"	""	""	""
