"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4282640"	""	"None"	"449.96"	"1"	"5.66"	"3"	"S=C(Nc1ccccc1)N1N=C(c2ccc(Cl)cc2)CC1c1ccc2c(c1)OCCO2"	"IC50"	"'='"	"135000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4272239"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4270537"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4288433"	""	"None"	"494.41"	"1"	"5.77"	"9"	"S=C(Nc1ccccc1)N1N=C(c2ccccc2Br)CC1c1ccc2c(c1)OCCO2"	"IC50"	"'>'"	"200000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4272239"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4270537"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4281642"	""	"None"	"484.41"	"1"	"6.31"	"13"	"S=C(Nc1ccccc1)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1ccc2c(c1)OCCO2"	"IC50"	"'='"	"30600.0"	"nM"	"4.51"	""	""	"UO_0000065"	"9.32"	"0.19"	"-1.80"	"9.79"	"0"	"CHEMBL4272239"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4270537"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL1229517"	"VEMURAFENIB"	"4.0"	"489.93"	"1"	"5.54"	"1"	"CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F"	"IC50"	"'='"	"30.0"	"nM"	"7.52"	""	""	"UO_0000065"	"15.36"	"0.31"	"1.98"	"8.18"	"0"	"CHEMBL4272239"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4270537"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4226162"	""	"None"	"405.84"	"1"	"5.68"	"5o"	"O=C(Nc1cccc(C(=O)Nc2ccc3[nH]ccc3c2)c1)Oc1cccc(Cl)c1"	"IC50"	"'='"	"5320.0"	"nM"	"5.27"	""	""	"UO_0000065"	"13.00"	"0.25"	"-0.41"	"6.34"	"0"	"CHEMBL4222975"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins by Nu-page gel-based phosphor screen analysis"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4219184"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2018"	"None"	""	""	""
"CHEMBL1336"	"SORAFENIB"	"4.0"	"464.83"	"1"	"5.55"	"Sorafenib"	"CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1"	"IC50"	"'='"	"130.0"	"nM"	"6.89"	""	""	"UO_0000065"	"14.81"	"0.29"	"1.34"	"7.46"	"0"	"CHEMBL4222975"	"Inhibition of mouse full length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins by Nu-page gel-based phosphor screen analysis"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4219184"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4210916"	""	"None"	"329.79"	"0"	"3.06"	"5p"	"CCn1cc(NC(=O)Cn2ccc(-c3cccc(Cl)c3)n2)cn1"	"IC50"	"'='"	"1190.0"	"nM"	"5.92"	""	""	"UO_0000065"	"17.96"	"0.35"	"2.86"	"9.15"	"0"	"CHEMBL4195691"	"Inhibition of full-length GST-tagged mouse BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins by Nu-page gel-based phosphor screen analysis"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4190403"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4215335"	""	"None"	"346.39"	"0"	"3.47"	"5n"	"COc1cccc(-n2cc(NC(=O)Cn3ccc4ccccc43)cn2)c1"	"IC50"	"'='"	"460.0"	"nM"	"6.34"	""	""	"UO_0000065"	"18.30"	"0.33"	"2.87"	"10.38"	"0"	"CHEMBL4195691"	"Inhibition of full-length GST-tagged mouse BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins by Nu-page gel-based phosphor screen analysis"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4190403"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4209989"	""	"None"	"337.38"	"0"	"3.07"	"5d"	"COc1ccc(CC(=O)Nc2cnn(-c3ccccc3)c2)cc1OC"	"IC50"	"'='"	"730.0"	"nM"	"6.14"	""	""	"UO_0000065"	"18.19"	"0.34"	"3.07"	"9.39"	"0"	"CHEMBL4195691"	"Inhibition of full-length GST-tagged mouse BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 1 hr followed by substrate addition measured after 25 mins by Nu-page gel-based phosphor screen analysis"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4190403"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4214496"	""	"None"	"328.80"	"0"	"3.15"	"3d"	"O=C(NC(CO)Cc1ccccc1)c1cc2cc(Cl)ccc2[nH]1"	"IC50"	"'='"	"4800.0"	"nM"	"5.32"	""	""	"UO_0000065"	"16.18"	"0.32"	"2.17"	"8.17"	"0"	"CHEMBL4196286"	"Inhibition of mouse full-length GST-tagged BRAF V600E mutant using recombinant human full length N-terminal His-tagged MEK1 as substrate preincubated for 60 mins followed by substrate addition and measured after 25 mins by ELISA"	"B"	"BAO_0000357"	"single protein format"	"Mus musculus"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2331061"	"Serine/threonine-protein kinase B-raf"	"Mus musculus"	"SINGLE PROTEIN"	"CHEMBL4196002"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
