"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL3108835"	""	"None"	"454.34"	"0"	"4.30"	"6"	"Cc1cc(NS(=O)(=O)c2ccc(N(C)C(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"1300.0"	"nM"	"5.89"	""	""	"UO_0000065"	"12.96"	"0.28"	"1.59"	"6.36"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108862"	""	"None"	"507.40"	"2"	"5.15"	"34"	"CCOC(=O)c1cccc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)c1"	"IC50"	"'>'"	"57000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108846"	""	"None"	"473.86"	"0"	"4.64"	"17"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(C(F)(F)F)c3)cc2)no1"	"IC50"	"'='"	"920.0"	"nM"	"6.04"	""	""	"UO_0000065"	"12.74"	"0.27"	"1.40"	"5.96"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108848"	""	"None"	"423.85"	"0"	"3.76"	"19"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(F)c(Cl)c3)cc2)no1"	"IC50"	"'='"	"460.0"	"nM"	"6.34"	""	""	"UO_0000065"	"14.95"	"0.31"	"2.58"	"6.26"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108845"	""	"None"	"440.31"	"0"	"4.27"	"16"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc(Cl)cc3Cl)cc2)no1"	"IC50"	"'='"	"14600.0"	"nM"	"4.84"	""	""	"UO_0000065"	"10.98"	"0.24"	"0.57"	"4.77"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108842"	""	"None"	"371.42"	"0"	"2.97"	"13"	"Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccccc3)cc2)no1"	"IC50"	"'='"	"20600.0"	"nM"	"4.69"	""	""	"UO_0000065"	"12.62"	"0.25"	"1.72"	"4.63"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108840"	""	"None"	"404.25"	"0"	"4.72"	"11"	"Cc1cc(NC(=O)c2ccc(NC(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'>'"	"57000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108832"	""	"None"	"432.33"	"0"	"3.27"	"3"	"Cc1cc(NS(=O)(=O)C2CCN(C(=O)Cc3ccc(Cl)c(Cl)c3)CC2)no1"	"IC50"	"'='"	"13000.0"	"nM"	"4.89"	""	""	"UO_0000065"	"11.30"	"0.25"	"1.62"	"5.28"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108870"	""	"None"	"426.88"	"0"	"3.31"	"42"	"O=C(Cc1ccc(F)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2nncs2)cc1"	"IC50"	"'='"	"172.0"	"nM"	"6.76"	""	""	"UO_0000065"	"15.85"	"0.34"	"3.45"	"6.69"	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3108838"	""	"None"	"476.36"	"0"	"4.03"	"9"	"Cc1cc(NS(=O)(=O)c2ccc(NS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)cc2)no1"	"IC50"	"'>'"	"57000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3110579"	"Inhibition of Trypanosoma cruzi PFK"	"B"	"BAO_0000357"	"single protein format"	"Trypanosoma cruzi"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL3108659"	"6-phospho-1-fructokinase, putative"	"Trypanosoma cruzi"	"SINGLE PROTEIN"	"CHEMBL3108713"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2014"	"None"	""	""	""
