"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4474792"	""	"None"	"329.36"	"0"	"1.88"	"Table 2a, F3"	"COCCNc1c(-c2nc[nH]c2C)nc2ccc(C(=O)OC)cn12"	"IC50"	"'='"	"44010.0"	"nM"	"4.36"	""	""	"UO_0000065"	"13.23"	"0.25"	"2.48"	"4.66"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4526107"	""	"None"	"377.40"	"0"	"3.57"	"Table 2a, F6"	"COC(=O)c1ccc2nc(-c3nc[nH]c3C)c(Nc3ccc(OC)cc3)n2c1"	"IC50"	"'='"	"19350.0"	"nM"	"4.71"	""	""	"UO_0000065"	"12.49"	"0.23"	"1.14"	"5.04"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4451041"	""	"None"	"405.30"	"0"	"2.54"	"Table 2a, F10"	"Cc1[nH]cnc1-c1nc2ccc(Br)cn2c1NCCN1CCOCC1"	"IC50"	"'='"	"26180.0"	"nM"	"4.58"	""	""	"UO_0000065"	"11.31"	"0.25"	"2.04"	"6.50"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4471132"	""	"None"	"443.31"	"0"	"4.90"	"Table 2a, G11"	"N#Cc1ccc(CNc2c(-c3ccc4nccn4c3)nc3ccc(Br)cn23)cc1"	"IC50"	"'='"	"48130.0"	"nM"	"4.32"	""	""	"UO_0000065"	"9.74"	"0.20"	"-0.58"	"6.13"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4465774"	""	"None"	"570.65"	"2"	"5.70"	"Table 2a, H2"	"CCCOc1ccn2c(C(C)=O)cc(-c3nc4ccc(C(=O)OC)cn4c3NCCc3ccc(OC)c(OC)c3)c2c1"	"IC50"	"'='"	"12200.0"	"nM"	"4.91"	""	""	"UO_0000065"	"8.61"	"0.16"	"-0.79"	"4.69"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4446283"	""	"None"	"319.37"	"0"	"3.79"	"Table 2a, B6"	"COc1ccc(Nc2c(-c3nc[nH]c3C)nc3ccccn23)cc1"	"IC50"	"'='"	"641.0"	"nM"	"6.19"	""	""	"UO_0000065"	"19.39"	"0.35"	"2.40"	"9.21"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4592980"	""	"None"	"226.23"	"0"	"2.86"	"Fig 11A, G8"	"O=Cc1cccc(-c2ccc(C(=O)O)cc2)c1"	"IC50"	"'='"	"335.7"	"nM"	"6.47"	""	""	"UO_0000065"	"28.62"	"0.52"	"3.61"	"11.91"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4455919"	""	"None"	"413.48"	"0"	"4.32"	"Table 2a, C2"	"COc1ccc(CCNc2c(-c3ccc4nccn4c3)nc3ccccn23)cc1OC"	"IC50"	"'='"	"24870.0"	"nM"	"4.60"	""	""	"UO_0000065"	"11.14"	"0.20"	"0.28"	"7.07"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4588207"	""	"None"	"332.41"	"0"	"3.79"	"Table 2a, C7"	"c1cn2c(NC3CCCCC3)c(-c3ccc4nccn4c3)nc2cn1"	"IC50"	"'='"	"168900.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
"CHEMBL4440814"	""	"None"	"431.54"	"1"	"5.39"	"Table 2a, D7"	"CCCOc1ccn2c(C(C)=O)cc(-c3nc4cnccn4c3NC3CCCCC3)c2c1"	"IC50"	"'='"	"80020.0"	"nM"	"4.10"	""	""	"UO_0000065"	"9.49"	"0.17"	"-1.29"	"5.62"	"0"	"CHEMBL4418855"	"Inhibition of recombinant TRIM33 PHD bromodomain (unknown origin) using biotinylated H3 peptide (H3K9me3K18ac) by AlphaScreen assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2176772"	"E3 ubiquitin-protein ligase TRIM33"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4418499"	"38"	"Patent Bioactivity Data"	""	"2018"	"None"	""	""	""
