"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL1682392"	""	"None"	"198.22"	"0"	"0.81"	"5, 1,2-threo"	"COc1cc([C@H](O)[C@H](C)O)ccc1O"	"IC50"	"'='"	"9100.0"	"nM"	"5.04"	""	""	"UO_0000065"	"25.43"	"0.49"	"4.23"	"7.21"	"0"	"CHEMBL1685414"	"Inhibition of pig pancreatic lipase assessed as p-NPB hydrolysis by ELISA"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL1681646"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL460647"	"SOPHORAFLAVANONE B"	"None"	"340.38"	"0"	"4.02"	"13"	"CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O"	"IC50"	"'='"	"76900.0"	"nM"	"4.11"	""	""	"UO_0000065"	"12.09"	"0.22"	"0.09"	"4.73"	"0"	"CHEMBL3610636"	"Inhibition of porcine pancreatic lipase pre-incubated for 15 mins before p-nitrophenylbutyrate substrate addition by microplate reader based method"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL3608203"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL311498"	"CIANIDANOL"	"4.0"	"290.27"	"0"	"1.55"	"CIANIDANOL [+-catechin]"	"Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2"	"IC50"	"'>'"	"500000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4390541"	"Inhibition of porcine pancreatic lipase using pNPB as substrate measured after 30 mins"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4387782"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2019"	"None"	""	""	""
"CHEMBL4168757"	""	"None"	"489.66"	"1"	"6.07"	"6a"	"C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)C1C/C=C(/C=O)CC(=O)OCc1cn(Cc2ccccc2)nn1"	"IC50"	"'='"	"5350.0"	"nM"	"5.27"	""	""	"UO_0000065"	"10.77"	"0.20"	"-0.80"	"7.12"	"0"	"CHEMBL4151252"	"Inhibition of porcine pancreatic lipase using p-nitrophenyl butyrate as substrate pretreated for 15 mins followed by substrate addition and measured after 60 mins"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4145664"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL2238077"	""	"None"	"392.40"	"0"	"3.77"	"10f"	"O=C1NC(=O)/C(=C/c2cn(-c3ccccc3)nc2-c2ccc([N+](=O)[O-])cc2)S1"	"IC50"	"'='"	"17320.0"	"nM"	"4.76"	""	""	"UO_0000065"	"12.13"	"0.23"	"0.99"	"4.44"	"0"	"CHEMBL4057171"	"Inhibition of porcine pancreatic lipase using p-nitrophenyl butyrate as substrate preincubated for 5 mins followed by substrate addition measured after 5 mins by spectrophotometric analysis"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4052758"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
"CHEMBL4072697"	""	"None"	"500.51"	"2"	"5.82"	"11d"	"O=C1S/C(=C\c2cn(-c3ccccc3)nc2-c2ccc(F)cc2)C(=O)N1Cc1ccc([N+](=O)[O-])cc1"	"IC50"	"'='"	"5420.0"	"nM"	"5.27"	""	""	"UO_0000065"	"10.52"	"0.20"	"-0.55"	"5.35"	"0"	"CHEMBL4057171"	"Inhibition of porcine pancreatic lipase using p-nitrophenyl butyrate as substrate preincubated for 5 mins followed by substrate addition measured after 5 mins by spectrophotometric analysis"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4052758"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
"CHEMBL1682390"	"CURCULACTONE A"	"None"	"222.24"	"0"	"1.82"	"2, 4,5-Erythro"	"COc1cc([C@H]2CC(=O)O[C@H]2C)ccc1O"	"IC50"	"'='"	"231500.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1685414"	"Inhibition of pig pancreatic lipase assessed as p-NPB hydrolysis by ELISA"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL1681646"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL4756815"	""	"None"	"296.32"	"0"	"3.23"	"B1"	"COc1ccc2c(c1)C(=O)/C(=C/c1ccc(O)c(OC)c1)C2"	"IC50"	"'='"	"37150.0"	"nM"	"4.43"	""	""	"UO_0000065"	"14.95"	"0.28"	"1.20"	"7.94"	"0"	"CHEMBL4688056"	"Inhibition of porcine pancreatic lipase preincubated for 10 mins followed by 4-MUO addition and measured at 60 sec interval for 40 mins by multi plate micro plate reader"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4680290"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2021"	"None"	"TIME = 0.8333 hr"	"INHIBITOR"	""
"CHEMBL4745825"	""	"None"	"324.38"	"0"	"4.01"	"B3"	"COc1cc(/C=C2\Cc3ccc(OC(C)C)cc3C2=O)ccc1O"	"IC50"	"'='"	"8610.0"	"nM"	"5.07"	""	""	"UO_0000065"	"15.61"	"0.29"	"1.05"	"9.08"	"0"	"CHEMBL4688056"	"Inhibition of porcine pancreatic lipase preincubated for 10 mins followed by 4-MUO addition and measured at 60 sec interval for 40 mins by multi plate micro plate reader"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4680290"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2021"	"None"	"TIME = 0.8333 hr"	"INHIBITOR"	""
"CHEMBL4078162"	""	"None"	"884.84"	"3"	"-0.50"	"2"	"O=C(CCc1ccc(O)cc1)c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c(Cc2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(C(=O)CCc3ccc(O)cc3)c2O)c1O"	"IC50"	"'='"	"257100.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4047726"	"Inhibition of porcine pancreatic lipase using p-nitrophenyl butyrate as substrate pretreated for 15 mins followed by substrate addition measured after 15 mins by spectrophotometric method"	"B"	"BAO_0000357"	"single protein format"	"Sus scrofa"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL1687677"	"Pancreatic triacylglycerol lipase"	"Sus scrofa"	"SINGLE PROTEIN"	"CHEMBL4043262"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
