"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL1836850"	""	"None"	"462.95"	"0"	"3.44"	"20b"	"O=C(c1ccc(Nc2nc(C3CC3)cn3c(-c4cn[nH]c4)cnc23)c(Cl)c1)N1CCNCC1"	"IC50"	"'='"	"63.0"	"nM"	"7.20"	""	""	"UO_0000065"	"15.55"	"0.30"	"3.76"	"6.97"	"0"	"CHEMBL1839617"	"Inhibition of BRK pretreated for 30 mins by microplate reader"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1833859"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL1836757"	""	"None"	"368.78"	"0"	"3.52"	"14a"	"Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2ccc(C(=O)O)c(Cl)c2)n1"	"IC50"	"'='"	"97.0"	"nM"	"7.01"	""	""	"UO_0000065"	"19.02"	"0.37"	"3.49"	"6.48"	"0"	"CHEMBL1839617"	"Inhibition of BRK pretreated for 30 mins by microplate reader"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1833859"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
"CHEMBL3133832"	""	"None"	"467.55"	"0"	"2.46"	"12c"	"O=S(=O)(c1ccc2[nH]c3nccc(Nc4cccc(O)c4)c3c2c1)N1CCN(CCO)CC1"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3134836"	"Inhibition of human recombinant GST-fused Brk expressed in baculovirus Sf9 insect cells using poly(Glu,Tyr) as substrate after 60 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3132748"	"1"	"Scientific Literature"	"Medchemcomm"	"2014"	"CHEMBL3308860"	""	""	""
"CHEMBL3133833"	""	"None"	"354.21"	"0"	"4.93"	"14a"	"Oc1cccc(Nc2ccnc3[nH]c4ccc(Br)cc4c23)c1"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3134836"	"Inhibition of human recombinant GST-fused Brk expressed in baculovirus Sf9 insect cells using poly(Glu,Tyr) as substrate after 60 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3132748"	"1"	"Scientific Literature"	"Medchemcomm"	"2014"	"CHEMBL3308860"	""	""	""
"CHEMBL3238091"	""	"None"	"311.39"	"1"	"5.11"	"4b"	"C1=CCc2cc(Nc3ccnc4[nH]c5ccccc5c34)ccc2C1"	"IC50"	"'='"	"43.5"	"nM"	"7.36"	""	""	"UO_0000065"	"23.64"	"0.42"	"2.25"	"18.08"	"0"	"CHEMBL3241182"	"Inhibition of Brk (unknown origin) using [gamma-33P]-ATP after 60 mins by scintillation counting"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3232836"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2014"	"None"	""	""	""
"CHEMBL3133826"	""	"None"	"452.54"	"0"	"3.88"	"10c"	"CCOc1cccc(Nc2ccnc3[nH]c4ccc(S(=O)(=O)N5CCOCC5)cc4c23)c1"	"IC50"	"'='"	"410.0"	"nM"	"6.39"	""	""	"UO_0000065"	"14.11"	"0.27"	"2.51"	"6.62"	"0"	"CHEMBL3134836"	"Inhibition of human recombinant GST-fused Brk expressed in baculovirus Sf9 insect cells using poly(Glu,Tyr) as substrate after 60 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3132748"	"1"	"Scientific Literature"	"Medchemcomm"	"2014"	"CHEMBL3308860"	""	""	""
"CHEMBL3133824"	""	"None"	"424.48"	"0"	"3.19"	"10a"	"O=S(=O)(c1ccc2[nH]c3nccc(Nc4cccc(O)c4)c3c2c1)N1CCOCC1"	"IC50"	"'>'"	"1000000.0"	"nM"	""	"Outside typical range"	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3134836"	"Inhibition of human recombinant GST-fused Brk expressed in baculovirus Sf9 insect cells using poly(Glu,Tyr) as substrate after 60 mins by scintillation counting"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3132748"	"1"	"Scientific Literature"	"Medchemcomm"	"2014"	"CHEMBL3308860"	""	""	""
"CHEMBL1949788"	""	"None"	"361.83"	"0"	"2.60"	"32f"	"COc1ccc(C(=O)NC[C@@H](O)CO)cc1/C=C/c1ccc(Cl)cc1"	"IC50"	"'>'"	"50000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL1953281"	"Inhibition of BRK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1949587"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2012"	"None"	""	""	""
"CHEMBL388978"	"STAUROSPORINE"	"None"	"466.54"	"0"	"4.35"	"Staurosporine"	"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4"	"IC50"	"'='"	"162.0"	"nM"	"6.79"	""	""	"UO_0000065"	"14.55"	"0.26"	"2.44"	"9.78"	"0"	"CHEMBL4720824"	"Inhibition of human BRK using poly[Glu:Tyr](4:1) as substrate by [gamma-33P]-ATP assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4715818"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2018"	"None"	""	"INHIBITOR"	""
"CHEMBL1421"	"DASATINIB"	"4.0"	"488.02"	"0"	"3.31"	"3, Sprycel"	"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1"	"IC50"	"'='"	"9.0"	"nM"	"8.05"	""	""	"UO_0000065"	"16.49"	"0.33"	"4.74"	"7.55"	"0"	"CHEMBL1839617"	"Inhibition of BRK pretreated for 30 mins by microplate reader"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4601"	"Tyrosine-protein kinase BRK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1833859"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2011"	"None"	""	""	""
