"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL388978"	"STAUROSPORINE"	"None"	"466.54"	"0"	"4.35"	"Staurospoine"	"CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4"	"IC50"	"'='"	"43.1"	"nM"	"7.37"	""	""	"UO_0000065"	"15.79"	"0.29"	"3.02"	"10.61"	"0"	"CHEMBL4328629"	"Inhibition of human TEC using poly[Glu:Tyr] (4:1) as substrate by [gamma-33P]-ATP assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4325871"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2019"	"None"	""	""	""
"CHEMBL1421"	"DASATINIB"	"4.0"	"488.02"	"0"	"3.31"	"dasatinib"	"Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1"	"IC50"	"'='"	"297.0"	"nM"	"6.53"	""	""	"UO_0000065"	"13.37"	"0.27"	"3.22"	"6.13"	"0"	"CHEMBL924605"	"Inhibition of recombinant Tec kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147060"	"1"	"Scientific Literature"	"Proc Natl Acad Sci U S A"	"2007"	"None"	""	""	""
"CHEMBL4076024"	""	"None"	"571.54"	"1"	"4.14"	"24"	"COCC(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1"	"IC50"	"'='"	"63.0"	"nM"	"7.20"	""	""	"UO_0000065"	"12.60"	"0.24"	"3.06"	"5.64"	"0"	"CHEMBL4057974"	"Inhibition of TEC (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4052776"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
"CHEMBL4277610"	""	"None"	"448.48"	"0"	"3.30"	"32"	"N#CN[C@H]1C[C@@H](NS(=O)(=O)c2cccc(F)c2)c2ccc(-c3ncnc4[nH]ccc34)cc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4265592"	"Inhibition of TEC (unknown origin) in presence of 1 mM ATP concentration"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4261650"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL209148"	""	"None"	"623.85"	"2"	"5.69"	"3"	"COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1"	"IC50"	"'='"	"17000.0"	"nM"	"4.77"	""	""	"UO_0000065"	"7.65"	"0.15"	"-0.92"	"4.59"	"0"	"CHEMBL865399"	"Inhibition of Tec"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138957"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL3621496"	""	"None"	"430.48"	"0"	"3.61"	"6"	"CN1CCN(C(=O)c2ccc3c(c2)[nH]c2c(C(N)=O)ccc(-c4ccccc4F)c23)CC1"	"IC50"	"'='"	"116.0"	"nM"	"6.94"	""	""	"UO_0000065"	"16.11"	"0.30"	"3.33"	"8.41"	"0"	"CHEMBL3627426"	"Inhibition of TEC (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3621099"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL485203"	""	"None"	"475.94"	"0"	"4.09"	"19"	"CN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1ccc(Cl)cc1)n2CCC(N)=O"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL992550"	"Inhibition of Tec kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142466"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL4237557"	""	"None"	"347.42"	"0"	"3.98"	"27"	"C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1C"	"IC50"	"'='"	"6.4"	"nM"	"8.19"	""	""	"UO_0000065"	"23.58"	"0.43"	"4.21"	"9.31"	"0"	"CHEMBL4235703"	"Inhibition of TEC (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4229517"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL460824"	""	"None"	"466.50"	"0"	"3.31"	"10"	"CN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2CCC(N)=O"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL992550"	"Inhibition of Tec kinase"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142466"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL3290148"	""	"None"	"617.59"	"2"	"5.29"	"38"	"C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1"	"IC50"	"'='"	"6.3"	"nM"	"8.20"	""	""	"UO_0000065"	"13.28"	"0.25"	"2.91"	"5.32"	"0"	"CHEMBL3292444"	"Inhibition of Tec (unknown origin) after 1 hr by HTRF assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3286193"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3745885"	""	"None"	"467.46"	"0"	"3.66"	"7ao; ON1231320"	"Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL3750180"	"Inhibition of human TEC using poly[Glu:Tyr] (4:1) as substrate"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3745707"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2016"	"None"	""	""	""
"CHEMBL3263640"	""	"None"	"589.70"	"2"	"6.09"	"8"	"Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1nc(Nc2ccc(C(=O)N3CCOCC3)cc2)c2nc[nH]c2n1"	"IC50"	"'='"	"14.0"	"nM"	"7.85"	""	""	"UO_0000065"	"13.32"	"0.24"	"1.76"	"6.28"	"1"	"CHEMBL4152875"	"Inhibition of TEC (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4152198"	"1"	"Scientific Literature"	"Eur J Med Chem"	"2018"	"None"	""	""	""
"CHEMBL4237800"	""	"None"	"506.61"	"1"	"4.82"	"10"	"Cc1c(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)cccc1-n1cnc2ccccc2c1=O"	"IC50"	"'='"	"56.0"	"nM"	"7.25"	""	""	"UO_0000065"	"14.31"	"0.26"	"2.43"	"6.36"	"0"	"CHEMBL4235703"	"Inhibition of TEC (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4229517"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4101977"	""	"None"	"371.80"	"0"	"4.00"	"8"	"C=CC(=O)Nc1cccc(-c2n[nH]c(NCc3c(F)cccc3Cl)n2)c1"	"IC50"	"'='"	"306.45"	"nM"	"6.51"	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4020208"	"Inhibition of human TEC using poly[Glu:Tyr] as substrate preincubated for 20 mins followed by [gamma-33P]-ATP addition by filter binding method"	"A"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4017534"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4085457"	"RITLECITINIB"	"4.0"	"285.35"	"0"	"1.94"	"11"	"C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C"	"IC50"	"'='"	"592.0"	"nM"	"6.23"	""	""	"UO_0000065"	"21.82"	"0.41"	"4.29"	"8.43"	"0"	"CHEMBL4005778"	"Inhibition of full length human His-tagged TEC in presence of 1 mM ATP by KT178 probe based TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4246"	"Tyrosine-protein kinase TEC"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4004825"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
