"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL4075954"	""	"None"	"571.54"	"1"	"4.34"	"23"	"CC(C)C(=O)N1CCO[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1"	"IC50"	"'='"	"464.0"	"nM"	"6.33"	""	""	"UO_0000065"	"11.08"	"0.21"	"1.99"	"4.96"	"0"	"CHEMBL4057976"	"Inhibition of TXK (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4052776"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
"CHEMBL4085457"	"RITLECITINIB"	"4.0"	"285.35"	"0"	"1.94"	"11"	"C=CC(=O)N1C[C@H](Nc2ncnc3[nH]ccc23)CC[C@@H]1C"	"IC50"	"'='"	"193.0"	"nM"	"6.71"	""	""	"UO_0000065"	"23.53"	"0.44"	"4.77"	"9.08"	"0"	"CHEMBL4005777"	"Inhibition of recombinant human N-terminal GST-tagged TXK using GEPLYWSFPAKKK as substrate in presence of 1 mM ATP measured every 60 secs for 1 hr by PK/LDH coupled spectrophotometric assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4004825"	"1"	"Scientific Literature"	"J Med Chem"	"2017"	"None"	""	""	""
"CHEMBL4211372"	""	"None"	"473.56"	"0"	"4.74"	"16"	"C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3ccc(-c4cnco4)s3)nc3ccccc31)C2"	"IC50"	"'='"	"0.21"	"nM"	"9.68"	""	""	"UO_0000065"	"20.44"	"0.39"	"4.94"	"10.38"	"0"	"CHEMBL4199504"	"Inhibition of TXK (unknown origin) using fluorescently labeled peptide as substrate after 3 hrs by microfluidic mobility shift assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4196110"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4204572"	""	"None"	"470.55"	"1"	"5.20"	"30"	"C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3ccc(C(C)(F)F)s3)nc3ccccc31)C2"	"IC50"	"'='"	"0.29"	"nM"	"9.54"	""	""	"UO_0000065"	"20.27"	"0.39"	"4.34"	"14.19"	"0"	"CHEMBL4199504"	"Inhibition of TXK (unknown origin) using fluorescently labeled peptide as substrate after 3 hrs by microfluidic mobility shift assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4196110"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL4206765"	""	"None"	"499.60"	"0"	"4.45"	"97"	"C=CC(=O)N1CC[C@]2(C1)C[C@H](n1c(NC(=O)c3ccc(-c4cc[nH]c(=O)c4)s3)nc3ccccc31)C2"	"IC50"	"'='"	"0.14"	"nM"	"9.85"	""	""	"UO_0000065"	"19.72"	"0.37"	"5.40"	"9.85"	"0"	"CHEMBL4199504"	"Inhibition of TXK (unknown origin) using fluorescently labeled peptide as substrate after 3 hrs by microfluidic mobility shift assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4196110"	"1"	"Scientific Literature"	"ACS Med Chem Lett"	"2018"	"None"	""	""	""
"CHEMBL209148"	""	"None"	"623.85"	"2"	"5.69"	"3"	"COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(CNC(C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1"	"IC50"	"'='"	"11000.0"	"nM"	"4.96"	""	""	"UO_0000065"	"7.95"	"0.16"	"-0.73"	"4.77"	"0"	"CHEMBL865398"	"Inhibition of Txk"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1138957"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2006"	"None"	""	""	""
"CHEMBL4076024"	""	"None"	"571.54"	"1"	"4.14"	"24"	"COCC(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1"	"IC50"	"'='"	"45.0"	"nM"	"7.35"	""	""	"UO_0000065"	"12.85"	"0.24"	"3.21"	"5.75"	"0"	"CHEMBL4057976"	"Inhibition of TXK (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4052776"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2017"	"None"	""	""	""
"CHEMBL3621515"	""	"None"	"483.57"	"0"	"3.74"	"25"	"CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4cc(C(=O)N5CCN(C)CC5)ccc4c23)c1C"	"IC50"	"'='"	"172.0"	"nM"	"6.76"	""	""	"UO_0000065"	"13.99"	"0.26"	"3.02"	"6.07"	"0"	"CHEMBL3627427"	"Inhibition of TXK (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3621099"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2015"	"None"	""	""	""
"CHEMBL462301"	""	"None"	"480.53"	"0"	"3.70"	"27"	"CCN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2CCC(N)=O"	"IC50"	"'='"	"310.0"	"nM"	"6.51"	""	""	"UO_0000065"	"13.54"	"0.25"	"2.81"	"4.85"	"0"	"CHEMBL992551"	"Inhibition of TXK"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1142466"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2008"	"None"	""	""	""
"CHEMBL4277610"	""	"None"	"448.48"	"0"	"3.30"	"32"	"N#CN[C@H]1C[C@@H](NS(=O)(=O)c2cccc(F)c2)c2ccc(-c3ncnc4[nH]ccc34)cc21"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL4265593"	"Inhibition of TXK (unknown origin) in presence of 1 mM ATP concentration"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL4367"	"Tyrosine-protein kinase TXK"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL4261650"	"1"	"Scientific Literature"	"J Med Chem"	"2018"	"None"	""	""	""
