"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"	"Action Type"	"Standard Text Value"
"CHEMBL597177"	""	"None"	"292.29"	"0"	"3.61"	"37"	"Nc1ccc2c(c1)/C(=C\c1ccc(-c3ccoc3)o1)C(=O)N2"	"IC50"	"'='"	"34000.0"	"nM"	"4.47"	""	""	"UO_0000065"	"15.29"	"0.28"	"0.86"	"5.49"	"0"	"CHEMBL1071417"	"Inhibition of human recombinant His-tagged RET expressed in Sf9 insect cells"	"B"	"BAO_0000219"	"cell-based format"	"Homo sapiens"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1156925"	"1"	"Scientific Literature"	"Bioorg Med Chem"	"2010"	"CHEMBL3308860"	""	""	""
"CHEMBL3687191"	""	"None"	"453.59"	"0"	"2.35"	"BDBM144321"	"CCc1nc(C(N)=O)c(Nc2ccc(N3CCN(C)CC3)cc2)nc1N[C@H]1CC[C@H](O)CC1"	"IC50"	"'='"	"1.1"	"nM"	"8.96"	""	"280622"	"UO_0000065"	"19.75"	"0.37"	"6.61"	"7.49"	"0"	"CHEMBL3706336"	"Inhibition Assay: A partial protein of only a kinase domain of RET protein was purchased from Carna Biosciences Inc., Japan. The phosphorylation activity toward a peptide substrate was investigated using an EZ reader (Caliper). Test compounds were each mixed with a protein solution to give 8 final concentrations from 100 nM to 0.03 nM, followed by addition of a mixed liquid of ATP and substrate peptide (Caliper) and reaction for 30 minutes. The ATP concentration used was 100 µM. A reaction liquid which contained protein but no test compound (in which the solvent DMSO alone was added at 0.8% in place of the test compound) was prepared, followed by reaction in the same manner with or without ATP addition. In the absence of the test compound, the phosphorylation peptide peak without ATP addition and with ATP addition was assumed to be 100% inhibition and 0% inhibition, respectively."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639105"	"37"	"BindingDB Database"	""	"2015"	"None"	""	""	""
"CHEMBL3128229"	""	"None"	"527.43"	"2"	"5.70"	"8b"	"O=C(Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1)c1ccc(Br)cc1"	"IC50"	"'='"	"9310.0"	"nM"	"5.03"	""	""	"UO_0000065"	"9.54"	"0.20"	"-0.67"	"5.94"	"0"	"CHEMBL3130573"	"Inhibition of recombinant human RET V804L mutant incubated for 5 mins with substrate prior to protein addition by fluorescence assay"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	"P07949"	"V804L"	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124801"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3128222"	""	"None"	"502.58"	"1"	"4.62"	"10c"	"O=S(=O)(Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1)c1ccc(F)cc1"	"IC50"	"'='"	"4830.0"	"nM"	"5.32"	""	""	"UO_0000065"	"10.58"	"0.20"	"0.70"	"5.22"	"0"	"CHEMBL3130575"	"Inhibition of recombinant human RET incubated for 5 mins with substrate prior to protein addition by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124801"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3128221"	""	"None"	"563.48"	"2"	"5.24"	"10b"	"O=S(=O)(Nc1cccc(CNc2ncnc3c2cnn3CCc2ccccc2)c1)c1ccc(Br)cc1"	"IC50"	"'='"	"12850.0"	"nM"	"4.89"	""	""	"UO_0000065"	"8.68"	"0.19"	"-0.35"	"4.80"	"0"	"CHEMBL3130575"	"Inhibition of recombinant human RET incubated for 5 mins with substrate prior to protein addition by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124801"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL3128233"	""	"None"	"508.58"	"1"	"4.95"	"8f"	"COc1ccc(C(=O)Nc2cccc(CNc3ncnc4c3cnn4CCc3ccccc3)c2)cc1OC"	"IC50"	"'='"	"28100.0"	"nM"	"4.55"	""	""	"UO_0000065"	"8.95"	"0.16"	"-0.40"	"4.41"	"0"	"CHEMBL3130575"	"Inhibition of recombinant human RET incubated for 5 mins with substrate prior to protein addition by fluorescence assay"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3124801"	"1"	"Scientific Literature"	"J Med Chem"	"2014"	"None"	""	""	""
"CHEMBL2376650"	""	"None"	"519.40"	"1"	"4.96"	"12b"	"C[C@@H](Oc1c[nH]c(=O)c(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)c1)c1c(Cl)ccc(F)c1Cl"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL2379871"	"Inhibition of RET (unknown origin)"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2375342"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2013"	"None"	""	""	""
"CHEMBL3671320"	""	"None"	"582.60"	"1"	"4.88"	"BDBM130921"	"Cc1c2c(cc3[nH]c(-c4c(NC(C)Cc5c(F)c(F)cc(F)c5F)cc[nH]c4=O)nc13)C(=O)N(C1CCN(C)CC1)C2"	"IC50"	"'='"	"11.15"	"nM"	"7.95"	""	"263076"	"UO_0000065"	"13.65"	"0.26"	"3.07"	"8.19"	"0"	"CHEMBL3707688"	"In Vitro Kinase Activity Assay: Compounds to be tested were dissolved in 100% DMSO in a range of concentrations from 10-8 to 10-3 M including negative control (DMSO), then diluted with Kinase Buffer (50 mM HEPES, pH 7.5, 1 mM EGTA, 10 mM MgCl2, 0.01% Tween-20, and 2 mM DTT, added fresh) to 4x the final concentration. The final curve included 11 concentrations (10-11 to 10-5 M) plus negative control DMSO tested in triplicate.Kinase and ATP concentrations necessary for optimal activity were determined in separate experiments. (Table 2). Briefly, increasing concentrations of kinase were incubated in a fixed concentration of ATP (200 uM) in Kinase Buffer to determine maximal activity at various time points (30-120 min). The concentration of kinase that resulted in maximal activity with the shortest incubation time was then incubated in Kinase Buffer with increasing concentrations of ATP."	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL3639188"	"37"	"BindingDB Database"	""	"2014"	"None"	""	""	""
"CHEMBL393115"	""	"None"	"395.38"	"1"	"6.07"	"29"	"Cc1ccc(O)cc1Nc1cc(C(F)(F)F)nc2cc(-c3ccncc3)ccc12"	"IC50"	"'>'"	"1000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL899077"	"Inhibition of RET kinase in Sf9 cells"	"B"	"BAO_0000219"	"cell-based format"	"None"	"None"	"None"	"Sf9"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1137530"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"CHEMBL3308860"	""	""	""
"CHEMBL249501"	""	"None"	"406.41"	"0"	"4.41"	"10b"	"O=C(O)c1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12"	"IC50"	"'>'"	"100000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL888279"	"Inhibition of RET"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2041"	"Tyrosine-protein kinase receptor RET"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1140014"	"1"	"Scientific Literature"	"Bioorg Med Chem Lett"	"2007"	"None"	""	""	""
